Site_ID,Center_Name,Permit_Holder,Address,Borough,Zip_Code,Phone,Permit_Number,Permit_Expiration_Date,Permit_Status,Age_Range,Maximum_Capacity,Certified_to_Administer_Medication,Site_Type,Number_Of_Violations,Hazard_Violations,Critical_Violations,General_Violations,Number_Of_Visits
DC1124,DOWNTOWN  LITTLE  SCHOOL,DOWNTOWN LITTLE SCHOOL,15 DUTCH STREET,MANHATTAN,10038,212-791-1300,7167,2015-09-12,Permitted,2 YEARS - 5 YEARS,75,No,Private,12,2,5,5,5
DC14796,DR C.R. JOHNSON CHRISTIAN DAY CARE,"BROOKLYN TABERNACLE DELIVERANCE CENTER, INC.",600 LAFAYETTE AVENUE,BROOKLYN,11216,718-732-1531,5021,2014-01-18,Expired-InRenewal,2 YEARS - 5 YEARS,29,No,Private,11,1,0,10,7
DC14237,DR. KATHARINE DODGE BROWNELL SCHOOL,"LEAKE AND WATTS SERVICES, INC.",450 CASTLE HILL AVENUE,BRONX,10473,718-430-7938,5963,2015-09-19,Permitted,2 YEARS - 5 YEARS,113,No,Private,11,2,2,7,6
DC21458,DREAMLAND DAY CARE CENTER,DREAMLAND DAY CARE CENTER INC.,1379 WEST 7TH STREET,BROOKLYN,11204,718-232-8155,8228,2014-12-23,Permitted,2 YEARS - 5 YEARS,40,No,Private,41,6,19,16,10
DC14814,DUFFIELD CHILDREN'S CENTER,BROOKLYN BUREAU OF COMMUNITY SERVICE,101 FLEET PLACE,BROOKLYN,11201,718-522-5296,5895,2014-06-14,Permitted,2 YEARS - 5 YEARS,77,No,ACS Contracted Preschools,31,8,8,15,11
DC1938,DUFFIELD CHILDREN'S CENTER HEAD START PROGRAM,BROOKLYN BUREAU OF COMMUNITY SERVICE,101 FLEET PLACE,BROOKLYN,11201,718-522-5296,6518,2014-06-29,Permitted,2 YEARS - 5 YEARS,36,No,Head Start (Direct Fed. Funding),16,5,5,6,8
DC23168,DVORA/PRESCHOOL,"DVORA,INC.",2817 WEST 12TH STREET,BROOKLYN,11224,718-265-4596,35757,2015-03-20,Permitted,2 YEARS - 5 YEARS,35,No,Private,4,3,1,0,2
DC14959,DWIGHT EARLY CHILDHOOD DIVISION,WOODSIDE PRESCHOOL RIVERSIDE BLVD. LLC,140  RIVERSIDE BLVD,MANHATTAN,10069,212-362-2350,7540,2015-12-09,Permitted,2 YEARS - 5 YEARS,75,No,Private,18,2,11,5,5
DC2256,EARLY CHILDHOOD LEARNING CENTER PROGRAMS,LA GUARDIA COMMUNITY COLLEGE -ECLC PROGRAMS INC,31-10 THOMSON AVENUE,QUEENS,11101,718-482-5295,7063,2014-11-17,Permitted,0 YEARS - 2 YEARS,30,No,Private,3,1,1,1,10
DC24612,EARLY LIFE,LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK,110 WEST 146TH STREET,MANHATTAN,10039,646-478-7949,24818,2014-10-12,Permitted,2 YEARS - 5 YEARS,110,Yes,ACS Contracted Preschools,8,1,7,0,4
DC24609,EARLY LIFE,LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK,1175 GATES AVENUE,BROOKLYN,11221,212-870-1100,24538,2014-10-10,Permitted,2 YEARS - 5 YEARS,136,No,ACS Contracted Preschools,12,0,5,7,6
DC24614,EARLY LIFE,"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC.",151-157 WEST 136TH STREET,MANHATTAN,10030,212-933-1815,24797,2014-10-12,Permitted,2 YEARS - 5 YEARS,66,No,ACS Contracted Preschools,4,0,3,1,3
DC24607,EARLY LIFE,LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK,200 WEST TREMONT AVENUE,BRONX,10453,917-962-4344,26157,2014-10-24,Permitted,2 YEARS - 5 YEARS,175,Yes,ACS Contracted Preschools,11,1,3,7,3
DC22393,EARLY LIFE,"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC.",2125 WATSON AVENUE,BRONX,10472,718-943-0580,28757,2014-12-06,Permitted,2 YEARS - 5 YEARS,115,No,ACS Contracted Preschools,4,1,1,2,4
DC24615,EARLY LIFE,LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK,218 WEST 147TH STREET,MANHATTAN,10039,646-360-4093,26578,2014-10-26,Permitted,2 YEARS - 5 YEARS,264,No,ACS Contracted Preschools,17,2,11,4,3
DC24610,EARLY LIFE,"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC.",265 MARCUS GARVEY BLVD.,BROOKLYN,11221,347-689-8303,24777,2014-10-12,Permitted,2 YEARS - 5 YEARS,116,No,ACS Contracted Preschools,9,1,4,4,5
DC24613,EARLY LIFE,"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC.",510-516 WEST 145TH STREET,MANHATTAN,10031,646-449-0814,26441,2014-10-25,Permitted,2 YEARS - 5 YEARS,149,No,ACS Contracted Preschools,9,0,5,4,3
DC24606,EARLY LIFE,"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC.",80 EAST 181ST STREET,BRONX,10453,718-365-6247,26737,2014-10-31,Permitted,2 YEARS - 5 YEARS,240,Yes,ACS Contracted Preschools,13,0,6,7,3
DC24608,EARLY LIFE,LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK,888 WESTCHESTER AVENUE,BRONX,10459,718-450-3556,26118,2014-10-24,Permitted,2 YEARS - 5 YEARS,145,Yes,ACS Contracted Preschools,13,3,3,7,4
DC2975,EARLY SUNRISE PRESCHOOL AND KINDERGARTEN,"EARLY SUNRISE PRE-SCHOOL AND KINDERGARTEN,INC.",187-08 HILLSIDE AVENUE,QUEENS,11432,718-736-9064,6827,2014-10-25,Permitted,2 YEARS - 5 YEARS,29,No,Private,6,1,4,1,11
DC1178,"EARLY SUNRISE PRESCHOOL&KINDERGARTEN,INC.","EARLY SUNRISE PRESCHOOL&KINDERGARTEN,INC.",187-10 HILLSIDE AVENUE,QUEENS,11432,718-736-9064,7000,2014-07-07,Permitted,2 YEARS - 5 YEARS,29,No,Private,7,0,7,0,8
DC18943,EAST BRONX DAY CARE,TREMONT CROTONA DAY CARE CENTER INC.,1113 COLGATE AVENUE,BRONX,10472,718-617-2900,7942,2014-09-12,Permitted,2 YEARS - 5 YEARS,80,No,ACS Contracted Preschools,39,8,10,21,14
DC1493,EAST CALVARY DAY CARE CENTER INC.,EAST CALVARY DAY CARE CENTER INC.,1 WEST 112 STREET,MANHATTAN,10026,212-534-5249,1483,2015-03-27,Permitted,2 YEARS - 5 YEARS,59,No,ACS Contracted Preschools,15,0,5,10,8
DC2419,EAST CHELSEA CHILDRENS WORKSHOP,JACQUELYN MARKS,17 EAST 16 STREET,MANHATTAN,10003,212-691-8964,4869,2015-07-15,Permitted,2 YEARS - 5 YEARS,29,No,Private,15,2,5,8,5
DC1242,EAST HARLEM BILINGUAL   HEAD START,"EAST HARLEM COUNCIL FOR HUMAN SERVICES,INC.",440 EAST 116 STREET,MANHATTAN,10029,212-427-9010,4529,2014-10-26,Permitted,2 YEARS - 5 YEARS,160,No,ACS Head Start,6,0,5,1,8
DC1285,EAST HARLEM BLOCK  NURSERY #2,EAST HARLEM BLOCK SCHOOLS,2112 MADISON AVENUE,MANHATTAN,10037,212-234-3333,879,2014-05-04,Expired-InRenewal,2 YEARS - 5 YEARS,79,No,ACS Contracted Preschools,47,6,20,21,9
DC2153,EAST HARLEM BLOCK NURSERY #1,"EAST HARLEM BLOCK NURSERY,INC.",215 EAST 106 STREET,MANHATTAN,10029,212-427-2571,2261,2015-07-02,Permitted,2 YEARS - 5 YEARS,56,No,ACS Contracted Preschools,15,2,10,3,7
DC21651,EAST HARLEM BLOCK NURSERY/GRANT DAY CARE CENTER,"EAST HARLEM BLOCK NURSERY, INC.",1299 AMSTERDAM AVENUE,MANHATTAN,10027,212-666-6000,8281,2015-05-23,Permitted,2 YEARS - 5 YEARS,68,No,ACS Contracted Preschools,20,4,11,5,9
DC11067,EAST HARLEM COUNCIL FOR HUMAN SERVICES INC.BILINGUAL HEAD START,EAST HARLEM COUNCIL FOR HUMAN SERVICES INC.,30 EAST 111 STREET,MANHATTAN,10029,212-860-7201,6385,2015-01-24,Permitted,2 YEARS - 5 YEARS,87,No,ACS Head Start,11,3,6,2,8
DC1785,EAST MIDWOOD HEBREW DAY SCHOOL,RABBI HARRY HALPERN DAY SCHOOL,1256 EAST 21 STREET,BROOKLYN,11210,718-253-1555,1465,2014-10-28,Permitted,2 YEARS - 5 YEARS,83,No,Private,11,0,5,6,5
DC2635,EAST RIVER CHILD DEVELOPMENT CENTER,EAST RIVER CHILD DEVELOPMENT CENTER,570 GRAND STREET,MANHATTAN,10002,212-254-7301,6952,2016-02-29,Permitted,2 YEARS - 5 YEARS,37,No,Private,6,0,3,3,4
DC1446,EAST RIVER CHILD DEVELOPMENT CENTER,EAST RIVER CHILD DEVELOPMENT CENTER,577 GRAND STREET,MANHATTAN,10002,212-254-7300,4149,2015-07-18,Permitted,2 YEARS - 5 YEARS,77,No,Private,7,0,3,4,6
DC181,EAST SIDE HOUSE SETTLEMENT HEAD START/DAY CARE,EAST SIDE HOUSE SETTLEMENT,201 ST. ANN'S AVENUE,BRONX,10454,718-993-4854,4636,2014-07-17,Permitted,2 YEARS - 5 YEARS,27,No,ACS Head Start,4,2,1,1,7
DC182,EAST SIDE HOUSE SETTLEMENT HEAD START/DAY CARE,EAST SIDE HOUSE SETTLEMENT,375 EAST 143RD STREET,BRONX,10454,718-292-5335,2094,2014-11-10,Permitted,2 YEARS - 5 YEARS,80,No,ACS Head Start,12,2,6,4,5
DC14111,EAST SIDE SETTLEMENT HOUSE HEAD START/ DAY CARE,EAST SIDE HOUSE SETTLEMENT,414 MORRIS AVENUE,BRONX,10451,718-401-4242,7400,2015-06-28,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,3,0,2,1,6
DC1643,EAST TREMONT CHILD CARE AND DEVELOPMENT CENTER,EAST TREMONT CHILD CARE AND DEVELOPMENT CENTER,1811 CROTONA AVENUE,BRONX,10457,718-731-4166,1956,2014-08-17,Permitted,2 YEARS - 5 YEARS,60,Yes,ACS Contracted Preschools,16,4,6,6,10
DC979,"EAST TREMONT HEAD START ALUMNI DCC, INC./ PAUL T. MATSON HEAD START SITE I I I",EAST TREMONT HEAD START ALUMNI DCC,2431 MORRIS AVENUE,BRONX,10468,718-563-5139,6209,2015-09-10,Permitted,2 YEARS - 5 YEARS,55,Yes,ACS Contracted Preschools,9,1,5,3,7
DC1484,EAST VILLAGE CHILD CARE CENTER,EAST VILLAGE CHILD CARE CENTER,297 EAST 10 STREET,MANHATTAN,10009,212-982-8701,5039,2016-02-06,Permitted,2 YEARS - 5 YEARS,15,No,Private,4,2,1,1,4
DC17787,EASTER SEALS CHILD DEVELOPMENT CENTER,"EASTER SEALS NEW YORK, INC.",2433 EAST TREMONT AVENUE,BRONX,10461,718-409-4227,7815,2015-10-15,Permitted,2 YEARS - 5 YEARS,121,No,ACS Contracted Preschools,16,2,5,9,6
DC15104,ECDO  CHILDSTART CENTER,ECUMENICAL COMMUNITY DEVELOPMENT ORGANIZATION,249 WEST 144TH STREET,MANHATTAN,10030,212-234-8135,7439,2015-09-23,Permitted,2 YEARS - 5 YEARS,69,No,ACS Head Start,12,1,7,4,8
DC1832,EDEN CHRISTIAN ACADEMY & EARLY CHILDHOOD CENTER,EDEN CHRISTIAN ACADEMY & EARLY CHILDHOOD CENTER,1509 MORRIS AVENUE,BRONX,10457,718-684-2962,7142,2016-03-08,Permitted,2 YEARS - 5 YEARS,27,No,Private,123,19,55,49,15
DC2095,EDUCATIONAL ALLIANCE  HEAD START,THE EDUCATIONAL ALLIANCE,333 EAST 4 STREET,MANHATTAN,10009,212-254-2614,7272,2015-02-26,Permitted,2 YEARS - 5 YEARS,40,No,Head Start (Direct Fed. Funding),8,0,6,2,4
DC1642,EDWARDS L. CLEAVELAND DAY CARE CENTER,BROOKLYN KINDERGARTEN SOCIETY,1185 PARK PLACE,BROOKLYN,11213,718-778-6559,1848,2015-02-27,Permitted,2 YEARS - 5 YEARS,74,No,ACS Contracted Preschools,38,2,24,12,15
DC18141,EFFIE B'S EARLY CHILDHOOD DEVELOPMENT CENTER,EFFIE B'S EARLY CHILDHOOD DEVELOPMENT CENTER CORP.,1173 EASTERN PARKWAY,BROOKLYN,11213,718-735-5500,8096,2015-11-16,Permitted,0 YEARS - 2 YEARS,28,No,Private,40,7,22,11,12
DC20208,"EFFIE B'S EARLY CHILDHOOD DEVELOPMENT CENTER, PRESCHOOL",EFFIE B'S EARLY CHILDHOOD DEVELOPMENT CENTER CORP.,1173 EASTERN PARKWAY,BROOKLYN,11213,718-735-5500,8095,2015-11-16,Permitted,2 YEARS - 5 YEARS,35,No,Private,30,5,11,14,13
DC25918,EL SHADDAI INTERNATIONAL,VIOLET APPLEWHITE,1475 HAMMERSLEY AVENUE,BRONX,10469,718-515-5004,52818,2015-10-04,Permitted,2 YEARS - 5 YEARS,95,No,Private,0,0,0,0,0
DC22613,ELADIA'S  KIDS,ELADIA'S KIDS PARENT LLC,266 FLATBUSH AVENUE,BROOKLYN,11217,718-230-7560,21817,2014-08-31,Permitted,2 YEARS - 5 YEARS,42,No,Private,3,2,0,1,9
DC15647,ELADIA'S KIDS,ELADIA'S KIDS PARENT LLC,147 5TH AVENUE,BROOKLYN,11217,718-622-3316,7767,2015-06-11,Permitted,0 YEARS - 2 YEARS,18,No,Private,8,3,3,2,7
DC23039,ELADIA'S KIDS,"ELADIA'S KIDS PARENT, LLC",175 VANDERBILT AVENUE,BROOKLYN,11205,718-230-7560,43797,2015-06-14,Permitted,0 YEARS - 2 YEARS,14,No,Private,6,1,2,3,2
DC23041,ELADIA'S KIDS,ELADIA'S KIDS PARENT LLC,175 VANDERBILT AVENUE,BROOKLYN,11205,718-522-6361,43777,2015-06-14,Permitted,2 YEARS - 5 YEARS,35,No,Private,0,0,0,0,2
DC20505,ELADIA'S KIDS,ELADIA'S KIDS PARENTS LLC,266 FLATBUSH AVENUE,BROOKLYN,11217,718-230-7560,8186,2016-06-10,Permitted,0 YEARS - 2 YEARS,27,No,Private,19,0,10,9,9
DC17543,ELADIA'S KIDS PRESCHOOL,ELADIA'S KIDS PARENT LLC,147 5TH AVENUE,BROOKLYN,11217,718-633-3316,7786,2015-08-07,Permitted,2 YEARS - 5 YEARS,16,No,Private,10,1,4,5,7
DC434,ELF DAY CARE CENTER,ELF SERVICES LLC,550 OCEAN PARKWAY,BROOKLYN,11218,718-871-4301,7285,2015-08-02,Permitted,0 YEARS - 2 YEARS,18,No,Private,27,7,11,9,9
DC14457,ELF SERVICES DAY CARE CENTER,"ELF SERVICES, LLC",550 OCEAN PARKWAY,BROOKLYN,11218,718-871-4301,7283,2014-08-02,Permitted,2 YEARS - 5 YEARS,78,No,Private,49,18,17,14,14
DC2750,ELISHAMA CHILDREN'S PREP SCHOOL,ELISHAMA CHILDREN'S PREP SCHOOL,206-18 HOLLIS AVENUE,QUEENS,11429,718-468-8744,6469,2015-08-29,Permitted,2 YEARS - 5 YEARS,72,No,Private,2,0,1,1,9
DC14381,ELITE DAY CARE LEARNING CENTER,"KONVA,INC.",4239 RICHMOND AVENUE,STATEN ISLAND,10312,718-608-1833,7581,2014-11-25,Permitted,2 YEARS - 5 YEARS,26,No,Private,32,13,11,8,13
DC17243,ELITE DAY CARE LEARNING CENTER,"KONVA,INC.",990 HYLAN BLVD,STATEN ISLAND,10305,718-448-5075,7915,2014-09-02,Permitted,2 YEARS - 5 YEARS,61,No,Private,74,36,33,5,22
DC21975,ELIZABETH SETON PRE-SCHOOL,NEW YORK FOUNDLING,245 EAST 92ND  STREET,MANHATTAN,10128,212-369-9626,15457,2014-04-26,Expired-InRenewal,2 YEARS - 5 YEARS,70,No,Private,3,1,2,0,3
DC397,ELLA BAKER / CHARLES ROMAIN CHILD DEVELOPMENT CENTER,"ELLA BAKER/CHARLES ROMAIN CHILD DEVELOPMENT CENTER, INC.",1150 CARROLL STREET,BROOKLYN,11225,718-270-6017,5121,2013-11-10,Expired-InRenewal,2 YEARS - 5 YEARS,29,No,Private,8,1,5,2,7
DC19699,EMILIA'S KIDS,EMILIA'S KIDS INC,84-03 57TH AVENUE,QUEENS,11373,718-899-9060,8232,2014-11-18,Permitted,2 YEARS - 5 YEARS,35,No,Private,3,0,3,0,8
DC947,EMMANUEL DAY CARE CENTER KINDERGARTEN,EMMANUEL BAPTIST CHURCH,279 LAFAYETTE AVENUE,BROOKLYN,11238,718-622-1233,1760,2015-09-28,Permitted,2 YEARS - 5 YEARS,30,No,Private,11,1,5,5,7
DC14234,EPIPHANY COMMUNITY NURSERY SCHOOL,EPIPHANY COMMUNITY NURSERY SCHOOL,510 EAST 74TH STREET,MANHATTAN,10021,212-737-2977,6488,2014-04-07,Expired-InRenewal,2 YEARS - 5 YEARS,123,No,Private,13,1,5,7,5
DC22345,EPISCOPAL SOCAL SERVICES EARLY HEADSTART,EPISCOPAL SOCIAL SERVICES,500 BERGEN AVENUE,BRONX,10455,718-401-5192,23717,2014-10-01,Permitted,2 YEARS - 5 YEARS,65,No,ACS Contracted Preschools,7,1,2,4,3
DC16726,EPISCOPAL SOCIAL SERVICE THERAPEUTIC NURSERY SCHOOL,"EPISCOPAL SOCIAL SERVICE OF NEW YORK, INC.",2289 5TH AVENUE,MANHATTAN,10037,212-283-3100,7839,2015-11-08,Permitted,2 YEARS - 5 YEARS,64,No,ACS Contracted Preschools,32,7,14,11,8
DC15234,EPISCOPAL SOCIAL SERVICES EARLY HEAD START,EPISCOPAL SOCIAL SERVICES,500 BERGEN AVENUE,BRONX,10455,718-401-5192,7637,2014-09-08,Permitted,0 YEARS - 2 YEARS,36,No,Head Start (Direct Fed. Funding),5,3,1,1,4
DC24687,EPISCOPAL SOCIAL SERVICES/LENOX AVENUE,"EPISCOPAL SOCIAL SERVICES, INC.",669 LENOX AVENUE,MANHATTAN,10037,212-491-8501,24557,2014-10-11,Permitted,2 YEARS - 5 YEARS,136,No,ACS Contracted Preschools,15,7,6,2,5
DC25953,ESCALERA HEAD START,THE CHILD CENTER OF NEW YORK,169 WEST 87TH STREET,MANHATTAN,10024,212-799-2440,52257,2015-09-19,Permitted,2 YEARS - 5 YEARS,52,No,ACS Head Start,0,0,0,0,0
DC20894,ESCUELA HISPANA  MONTESSORI,ESCUELA HISPANA MONTESSORI,180 SUFFOLK STREET,MANHATTAN,10002,212-982-6650,8173,2014-05-25,Expired-InRenewal,2 YEARS - 5 YEARS,201,No,ACS Head Start,26,3,16,7,7
DC2294,ESCUELA HISPANA MONTESSORI HEAD START,ESCUELA HISPANA MONTESSORI,185 AVENUE D,MANHATTAN,10009,212-982-6651,6968,2014-07-14,Permitted,2 YEARS - 5 YEARS,89,No,ACS Head Start,9,4,3,2,5
DC24696,ESS WILLIAMSBURG EARLY CHILDHOOD DEVELOPMENT CENTER,"EPISCOPAL SOCIAL SERVICES OF NEW YORK, INC.",110 TAYLOR STREET,BROOKLYN,11249,347-943-7682,26218,2014-10-24,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,6,0,3,3,5
DC14228,ESTHER  ASHKENAS CENTRAL PARK EARLY LEARNING CENTER,"NYSARC, INC. NEW YORK CITY CHAPTER",15 WEST 65TH STREET,MANHATTAN,10023,212-787-5400,5892,2014-04-02,Expired-InRenewal,2 YEARS - 5 YEARS,162,No,Private,9,1,2,6,7
DC10516,EUREKA NURSERY & DAY CARE,EUREKA NURSERY & DAY CARE,2502 CLARENDON ROAD,BROOKLYN,11226,718-284-2155,7347,2016-05-10,Permitted,2 YEARS - 5 YEARS,25,No,Private,7,1,4,2,6
DC14603,EXCEL  PRESCHOOL INFANT/TODDLER PROGRAM,DR. SYNG Y. KWAK,2144 RICHMOND AVENUE,STATEN ISLAND,10314,718-370-3784,7152,2015-11-01,Permitted,0 YEARS - 2 YEARS,6,No,Private,9,2,4,3,5
DC2935,EXCEL PRESCHOOL,SYNG YONG KWAK,2144 RICHMOND AVENUE,STATEN ISLAND,10314,718-370-3784,6859,2014-12-21,Permitted,2 YEARS - 5 YEARS,30,No,Private,7,1,3,3,4
DC84,F.V.M. BETHEL DAY CARE (I/T),"FERNANDE VALME MINISTRIES, INC. (I/T)",1120 FLATBUSH AVENUE,BROOKLYN,11226,718-824-1809,7220,2015-09-21,Permitted,0 YEARS - 2 YEARS,9,No,Private,22,7,9,6,11
DC14724,F.V.M. BETHEL DAY CARE (P.S.),"FERNANDE VALME MINISTRIES, INC.",1120 FLATBUSH AVENUE,BROOKLYN,11226,718-284-1809,7221,2015-10-03,Permitted,2 YEARS - 5 YEARS,19,No,Private,24,9,6,9,10
DC10606,"FACES OF THE FUTURE DAY CARE CENTER, LLC","FACES OF THE FUTURE DAY CARE CENTER, LLC",5302 CLARENDON RD,BROOKLYN,11203,718-451-9474,7226,2016-04-05,Permitted,2 YEARS - 5 YEARS,26,No,Private,13,3,5,5,8
DC26207,"FACES OF THE FUTURE EARLY LEARNING CENTER, LLC.","FACES OF THE FUTURE EARLY LEARNING CENTER, LLC",1080 UTICA AVENUE,BROOKLYN,11203,646-409-8030,59057,2016-03-18,Permitted,2 YEARS - 5 YEARS,30,No,Private,0,0,0,0,0
DC1814,FAITH CHRISTIAN ACADEMY,1137 E. 223RD STREET CORPORATION,1137 EAST 223 STREET,BRONX,10466,718-881-1085,6514,2015-09-29,Permitted,2 YEARS - 5 YEARS,18,No,Private,31,11,14,6,11
DC14424,FALU  FOUNDATION,"DR. FALU FOUNDATION, INC.",333 EAST 118 STREET,MANHATTAN,10035,212-828-6699,7520,2016-01-03,Permitted,2 YEARS - 5 YEARS,11,No,Private,6,2,3,1,6
DC2639,FAMILY  SCHOOL  WEST,THE MONTESSORI FAMILY SCHOOL OF MANHATTAN,308 WEST 46 STREET,MANHATTAN,10036,212-582-1240,5645,2015-01-20,Permitted,2 YEARS - 5 YEARS,28,No,Private,10,1,8,1,6
DC21658,FAMILY CENTER AT BROOKLYN FRIENDS,BROOKLYN FRIENDS SCHOOL,189 SCHERMERHORN STREET,BROOKLYN,11201,718-852-1029,8399,2015-09-29,Permitted,2 YEARS - 5 YEARS,36,No,Private,4,2,2,0,7
DC184,FAMILY HEAD START,NATIONAL ASSOCIATION OF FAMILY DEVELOPMENT CENTERS,293 NEPTUNE AVENUE,BROOKLYN,11235,718-332-8524,5076,2014-11-08,Permitted,2 YEARS - 5 YEARS,192,No,ACS Head Start,10,0,5,5,6
DC14754,FAMILY HEAD START,NATIONAL ASSOCIATION OF FAMILY DEVELOPMENT CENTERS,3017 GLENWOOD ROAD,BROOKLYN,11210,718-859-7720,4595,2014-11-09,Permitted,2 YEARS - 5 YEARS,133,No,ACS Head Start,11,1,8,2,8
DC10755,FAMILY HEAD START/ EARLY LEARN,"NATIONAL ASSOCIATION OF FAMILY DEVELOPMENT CENTERS, INC.",8885 26 AVENUE,BROOKLYN,11214,718-258-7767,5800,2015-07-14,Permitted,2 YEARS - 5 YEARS,69,No,ACS Head Start,4,0,2,2,7
DC776,FANTASIA DAY CARE CENTER,"FANTASM, INC.",2743 OCEAN AVENUE,BROOKLYN,11229,718-646-6738,6134,2016-03-31,Permitted,2 YEARS - 5 YEARS,53,No,Private,63,12,37,14,14
DC416,FARBER-BRUCH EARLY CHILDHOOD CENTER,"EDITH & CARL MARKS JEWISH COMMUNITY HOUSE OF BENSONHURST, INC",7802 BAY PARKWAY,BROOKLYN,11214,718-943-6333,1567,2015-09-28,Permitted,2 YEARS - 5 YEARS,55,No,Private,10,2,5,3,6
DC21449,"FED KIDS CHILD CARE CENTER, MANAGED BY BRIGHT HORIZONS","BRIGHT HORIZONS CHILDREN'S CENTER, L L C",26 FEDERAL PLAZA,MANHATTAN,10007,212-264-4277,8332,2014-11-01,Permitted,2 YEARS - 5 YEARS,58,No,Private,9,0,7,2,7
DC21450,"FED KIDS CHILD CARE CENTER, MANAGED BY BRIGHT HORIZONS","BRIGHT HORIZONS CHILDREN'S CENTER, L L C",26 FEDERAL PLAZA,MANHATTAN,10007,212-264-4277,8242,2014-11-01,Permitted,0 YEARS - 2 YEARS,51,No,Private,31,6,15,10,9
DC21851,FIAF A PETIS PAS PRESCHOOL,FRENCH INSTITUTE ALLIANCE FRANCAISE,22 EAST 60TH STREET,MANHATTAN,10022,212-355-6100,22557,2014-09-14,Permitted,2 YEARS - 5 YEARS,15,No,Private,5,0,0,5,2
DC21764,FINGER PAINTED HANDS PRESCHOOL,"FINGER PAINTED HANDS, INC.",126 WEST 83RD STREET,MANHATTAN,10024,212-595-5200,32077,2015-02-05,Permitted,2 YEARS - 5 YEARS,22,No,Private,0,0,0,0,2
DC1355,FIRST  PRESBYTERIAN CHURCH,CIRCLE OF FRIENDS EARLY LEARNING CENTER,41-54 MURRAY STREET,QUEENS,11355,718-359-3993,5288,2015-11-30,Permitted,2 YEARS - 5 YEARS,20,No,Private,0,0,0,0,9
DC1024,"FIRST CHOICE ACADEMY DAY CARE, INC.","FIRST CHOICE ACADEMY DAY CARE, INC.",192 EAST 58TH STREET,BROOKLYN,11203,718-451-3565,6686,2015-07-21,Permitted,2 YEARS - 5 YEARS,51,No,Private,9,3,1,5,6
DC2658,FIRST FRIENDS PRE-SCHOOL,FIRST FRIENDS PRE-SCHOOL INC.,245 WEST 74 STREET,MANHATTAN,10023,212-769-1088,5213,2014-09-29,Permitted,2 YEARS - 5 YEARS,26,No,Private,5,0,2,3,5
DC1876,FIRST IMPRESSIONS NURSERY SCHOOL,"STEPHANIE,NORMA, AND FAY TROWERS",2513 BEDFORD AVENUE,BROOKLYN,11226,718-469-9792,5824,2014-03-16,Expired-InRenewal,2 YEARS - 5 YEARS,29,No,Private,10,0,6,4,9
DC2422,FIRST PRESBYTERIAN CHURCH NURSERY SCHOOL,THE FIRST PRESBYTERIAN CHURCH IN THE CITY OF N.Y.,12 WEST 12 STREET,MANHATTAN,10011,212-691-3432,1957,2016-03-21,Permitted,2 YEARS - 5 YEARS,79,Yes,Private,6,1,4,1,5
DC12360,FIRST STAR DAY CARE LEARNING CENTER - INFANT/TODDLER,FIRST STAR DAY CARE LEARNING CENTER - INFANT/TODDLER,145-88 GUY R BREWER BOULEVARD,QUEENS,11434,718-528-3363,7016,2015-04-13,Permitted,0 YEARS - 2 YEARS,10,No,Private,0,0,0,0,8
DC17299,FIRST STEPPING STONES,FIRST STEPPING STONE LLC,4017 CHURCH AVENUE,BROOKLYN,11203,347-309-9493,8055,2015-08-15,Permitted,2 YEARS - 5 YEARS,10,No,Private,24,9,9,6,7
DC22082,FIRST STEPS AT CLINTON,FIRST STEPS AT CLINTON,19 CLINTON STREET,MANHATTAN,10002,212-792-5770,8838,2015-11-23,Permitted,2 YEARS - 5 YEARS,25,No,Private,3,1,2,0,5
DC23034,FIRST STEPS AT CLINTON,FIRST STEPS AT CLINTON,19 CLINTON STREET,MANHATTAN,10002,212-792-5770,24657,2014-10-12,Permitted,0 YEARS - 2 YEARS,18,No,Private,3,0,2,1,3
DC17594,FIRST STEPS DAY CARE CENTER,"LATINO PASTORAL ACTION CENTER, INC.",15 EAST CLARKE PLACE,BRONX,10452,347-591-3711,8048,2015-08-14,Permitted,2 YEARS - 5 YEARS,40,No,Private,21,3,9,9,8
DC26046,FIRSTSTEPNYC@PS/IS 41,SCO FAMILY OF SERVICES,411 THATFORD STREET,BROOKLYN,11212,347-758-0433,51758,2015-09-09,Permitted,0 YEARS - 2 YEARS,28,No,Private,2,2,0,0,3
