Site_ID,Center_Name,Permit_Holder,Address,Borough,Zip_Code,Phone,Permit_Number,Permit_Expiration_Date,Permit_Status,Age_Range,Maximum_Capacity,Certified_to_Administer_Medication,Site_Type,Number_Of_Violations,Hazard_Violations,Critical_Violations,General_Violations,Number_Of_Visits,Mean_Violations_Per_Visit,Score,Mean_Rank,Mean_Cat,Score_Rank,Score_Cat,Number_Of_Permits,Average_Mean_Violations_Per_Visit,Average_Score,Lat,Lon
DC1000,BILLY MARTIN CHILD DEVELOPMENT CENTER,BILLY MARTIN CHILD DEVELOPMENT CENTER,333 CLASSON AVENUE,BROOKLYN,11205,718-857-5630,2165,2014-04-06,Expired-InRenewal,2 YEARS - 5 YEARS,70,No,ACS Contracted Preschools,13,2,3,8,7,1.85714,2.85714,1387,Bottom 30%,1246,Average,1,1.85714,2.85714,40.68966710000001,-73.9601565
DC3081,BIRCH FAMILY SERVICES - MANHATTAN EARLY CHILDHOOD CENTER,"HERBERT G. BIRCH SERVICES, INC,",554 FORT WASHINGTON AVENUE,MANHATTAN,10033,212-740-5157,5997,2016-03-13,Permitted,2 YEARS - 5 YEARS,169,No,ACS Head Start,13,2,7,4,5,2.6,4.8,1748,Bottom 30%,1738,Bottom 30%,1,2.6,4.8,40.853747,-73.93682199999999
DC10244,BIRCH FAMILY SERVICES - WESTERN QUEENS EARLY CHILDHOOD CENTER,BIRCH FAMILY SERVICES - WESTERN QUEENS EARLY CHILDHOOD CENTER,10-24 49 AVENUE,QUEENS,11101,718-786-1104,6700,2015-12-04,Permitted,2 YEARS - 5 YEARS,135,Yes,Private,4,1,1,2,5,0.8,1.4,729,Average,682,Average,1,0.8,1.4,40.7432564,-73.9530712
DC2980 / DC11138,"BIRCH FAMILY SERVICES, INC. / BIRCH FAMILY SERVICES INC","BIRCH FAMILY SERVICES, INC. / BIRCH FAMILY SERVICES INC.",145-02 FARMERS BOULEVARD,QUEENS,11434,718-527-5220 / 718-527-5220,2272 / 6603,2015-03-14 / 2014-10-29,Permitted / Permitted,2 YEARS - 5 YEARS / 2 YEARS - 5 YEARS,98 / 135,Yes / Yes,Private / ACS Head Start,3 / 4,1 / 1,2 / 1,0 / 2,8 / 5,0.375 / 0.8,0.875 / 1.4,428 / 713,Top 30% / Average,505 / 675,Top 30% / Average,3,0.5875,1.2249999999999999,40.666049,-73.76799
DC107,BIRCH FAMILY SERVICES INC,"BIRCH FAMILY SERVICES, INC",475 EAST 57TH STREET,BROOKLYN,11203,718-451-5213,7295,2014-11-20,Permitted,2 YEARS - 5 YEARS,60,No,Head Start (Direct Fed. Funding),13,7,3,3,6,2.16667,5.0,1561,Bottom 30%,1776,Bottom 30%,1,2.16667,5.0,40.643774,-73.9222829
DC797,"BIRCH FAMILY SERVICES, INC. / MILL BASIN EARLY CHILDHOOD CENTER","BIRCH FAMILY SERVICES, INC.",2075 EAST 68TH STREET,BROOKLYN,11234,718-968-7866,6378,2015-07-18,Permitted,2 YEARS - 5 YEARS,76,No,Private,4,0,0,4,4,1.0,1.0,829,Average,532,Top 30%,1,1.0,1.0,40.618793,-73.9097254
DC2000,BIRCH WATSON AVENUE EARLY CHILDHOOD CENTER,"BIRCH FAMILY SERVICES,INC.",1880 WATSON AVENUE,BRONX,10472,718-828-9400,6497,2016-03-03,Permitted,2 YEARS - 5 YEARS,180,No,ACS Contracted Preschools,5,1,2,2,5,1.0,1.8,828,Average,841,Average,1,1.0,1.8,40.82800599999999,-73.861277
DC1569,BISHOP SEXTON HEAD START,ST. MARK'S METHODIST EPISCOPAL CHURCH,933 HERKIMER STREET,BROOKLYN,11233,718-778-0292,6675,2015-09-08,Permitted,2 YEARS - 5 YEARS,134,Yes,ACS Head Start,19,2,13,4,8,2.375,4.5,1651,Bottom 30%,1680,Bottom 30%,1,2.375,4.5,40.6783447,-73.9224193
DC14133 / DC17160,BLAKE-MILFORD DAY CARE CENTER-P/S / BLAKE-MILFORD DAY CARE CENTER-I/T,CHRISTINA DAY CARE INC. / CHRISTINA DAY CARE INC.,334 MILFORD STREET,BROOKLYN,11208,718-277-2003 / 718-277-2003,7704 / 7709,2015-01-22 / 2016-01-22,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,36 / 14,Yes / Yes,Private / Private,1 / 3,0 / 0,1 / 3,0 / 0,7 / 7,0.142857 / 0.428571,0.285714 / 0.857143,238 / 475,Top 15% / Top 30%,266 / 504,Top 15% / Top 30%,3,0.285714,0.6666666666666666,40.670926,-73.876459
DC2283,BLANCHE COMMUNITY PROGRESS DAY CARE CENTER INC.,"BLANCHE COMMUNITY  PROGRESS DAY CARE CENTER, INC.",109-60 202 STREET,QUEENS,11412,718-479-1800,6776,2014-11-18,Permitted,2 YEARS - 5 YEARS,114,No,ACS Contracted Preschools,18,3,9,6,9,2.0,3.66667,1412,Bottom 30%,1458,Bottom 30%,1,2.0,3.66667,40.7061349,-73.7555996
DC3109,BLANCHE COMMUNITY PROGRESS DCC #2,"BLANCHE COMMUNITY PROGRESS DAY CARE,INC.",44-02 BEACH CHANNEL DRIVE,QUEENS,11691,718-471-7881,7083,2015-03-07,Permitted,2 YEARS - 5 YEARS,166,No,ACS Contracted Preschools,6,1,0,5,14,0.428571,0.571429,469,Top 30%,401,Top 30%,1,0.428571,0.571429,40.5956804,-73.7757786
DC20106,BLOCK ACADEMY,BLOCK INSTITUTE SCHOOL,133 27TH AVENUE,BROOKLYN,11214,347-649-3601,8353,2015-07-01,Permitted,2 YEARS - 5 YEARS,109,Yes,Private,0,0,0,0,3,0.0,0.0,86,Top 5%,82,Top 5%,1,0.0,0.0,40.590598,-73.98715399999999
DC10875,BLOCK INSTITUTE SCHOOL,BLOCK INSTITUTE SCHOOL,376 BAY 44 STREET,BROOKLYN,11214,718-906-5432,6006,2016-01-27,Permitted,2 YEARS - 5 YEARS,165,Yes,Private,4,1,3,0,4,1.0,2.25,827,Average,1021,Average,1,1.0,2.25,40.587743,-73.99414
DC2029,BLONDELL JOYNER DAY CARE CENTER,"SOUTH EAST BRONX NEIGHBORHOOD CENTER, INC.",901-909 TINTON AVENUE,BRONX,10456,718-665-7791,1843,2015-09-05,Permitted,2 YEARS - 5 YEARS,60,Yes,ACS Contracted Preschools,23,3,8,12,4,5.75,9.25,2143,Bottom 5%,2120,Bottom 5%,1,5.75,9.25,40.8218873,-73.9034746
DC2997,BLOOMINGDALE  FAMILY PROGRAM  HEAD START,"BLOOMINGDALE FAMILY PROGRAM, INC.",987 COLUMBUS AVENUE,MANHATTAN,10025,212-665-4631,6374,2015-07-19,Permitted,2 YEARS - 5 YEARS,95,No,ACS Head Start,4,0,1,3,3,1.33333,1.66667,1058,Average,791,Average,1,1.33333,1.66667,40.800691,-73.961394
DC2660,BLOOMINGDALE FAMILY PROGRAM,"BLOOMINGDALE FAMILY PROGRAM, INC.",171 WEST 107 STREET,MANHATTAN,10025,212-663-4070,5812,2016-01-14,Permitted,2 YEARS - 5 YEARS,48,No,Private,2,0,1,1,4,0.5,0.75,542,Top 30%,463,Top 30%,1,0.5,0.75,40.8010639,-73.964512
DC14403 / DC1180,"CATHEDRAL PARKWAY TOWERS PRESCHOOL / BLOOMINGDALE FAMILY PROGRAM, INC.","CATHEDRAL PARKWAY TOWERS PRESCHOOL, INC. / BLOOMINGDALE FAMILY PROGRAM, INC.",125 WEST 109 STREET,MANHATTAN,10025,212-749-0291 / 212-663-4067,4675 / 4968,2015-02-09 / 2013-11-20,Permitted / Expired-InRenewal,2 YEARS - 5 YEARS / 2 YEARS - 5 YEARS,35 / 34,No / No,Private / ACS Head Start,6 / 1,2 / 0,2 / 1,2 / 0,4 / 3,1.5 / 0.333333,3.0 / 0.666667,1161 / 407,Average / Top 30%,1312 / 440,Average / Top 30%,3,0.9166665,1.4444446666666666,40.8019255,-73.9628267
DC17522,BLUE RIBBON DAY CARE CENTER,"BLUE RIBBON DAY CARE CENTER,INC.",984 SUTTER AVENUE,BROOKLYN,11208,718-484-7202,8213,2014-09-13,Permitted,2 YEARS - 5 YEARS,20,No,Private,15,3,7,5,7,2.14286,4.0,1549,Bottom 30%,1527,Bottom 30%,1,2.14286,4.0,40.6710769,-73.882357
DC22721,BLUE SKY MONTESSORI PRESCHOOL,BLUE SKY DAY CARE INC.,856 50TH STREET,BROOKLYN,11220,718-633-1178,40397,2015-05-16,Permitted,2 YEARS - 5 YEARS,40,No,Private,2,0,1,1,1,2.0,3.0,1438,Bottom 30%,1302,Average,1,2.0,3.0,40.640066,-74.002438
DC22863,BLUE STAR DAY CARE CENTER,"BLUE STAR OF NEW YORK, INC.",2217 CATON AVENUE,BROOKLYN,11226,718-703-4312,51618,2015-09-05,Permitted,2 YEARS - 5 YEARS,74,No,Private,3,1,1,1,2,1.5,3.0,1170,Average,1291,Average,1,1.5,3.0,40.652907,-73.956462
DC20277 / DC20258,"BLUE'S CLUE'S DC ,INC.-I/T / BLUE'S CLUE'S DAY CARE","BLUE'S CLUE'S DC,INC. / BLUE'S CLUE'S DC,INC.",2249 EAST 21ST STREET,BROOKLYN,11229,718-676-0420 / 718-676-0420,8094 / 8093,2015-11-02 / 2015-11-02,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,8 / 36,No / No,Private / Private,8 / 9,1 / 1,7 / 7,0 / 1,4 / 4,2.0 / 2.25,4.25 / 4.5,1434 / 1610,Bottom 30% / Bottom 30%,1624 / 1675,Bottom 30% / Bottom 30%,3,2.125,4.416666666666667,40.597636,-73.94973399999999
DC3052,"BMCC EARLY CHILDHOOD CENTER,INC.","BMCC EARLY CHILDHOOD CENTER,INC",199 CHAMBERS STREET,MANHATTAN,10013,212-220-8250,7168,2014-09-01,Permitted,2 YEARS - 5 YEARS,92,No,Private,2,1,1,0,3,0.666667,1.66667,618,Top 30%,788,Average,1,0.666667,1.66667,40.717367,-74.01217799999999
DC14362 / DC22909,YELED V' YALDA HEAD START / BNOS MALKA BELZ,"YELED V' YALDA EARLY CHILDHOOD CENTER,INC. / BNOS MALKE BELZ",600 MCDONALD AVENUE,BROOKLYN,11218,718-514-8980 / 718-683-3610,5735 / 37137,2014-10-06 / 2015-04-12,Permitted / Permitted,2 YEARS - 5 YEARS / 2 YEARS - 5 YEARS,119 / 61,No / No,ACS Head Start / ACS Contracted Preschools,2 / 18,0 / 2,0 / 6,2 / 10,5 / 4,0.4 / 4.5,0.4 / 7.0,466 / 2093,Top 30% / Bottom 5%,309 / 2015,Top 15% / Bottom 15%,3,2.45,4.8,40.6383859,-73.979269
DC215,BNOS YAKOV HEAD START,YESHIVATH KEHILATH YAKOV,274 KEAP STREET,BROOKLYN,11211,718-486-6500,5138,2015-10-11,Permitted,2 YEARS - 5 YEARS,167,No,ACS Head Start,6,0,3,3,5,1.2,1.8,1005,Average,852,Average,1,1.2,1.8,40.70658299999999,-73.955574
DC14158 / DC1131,"BOOKS AND RATTLES,INC.11 / BOOKS & RATTLES INC., II","BOOKS&RATTLES, INC.II / BOOKS & RATTLES INC., II",75-02 51 AVENUE,QUEENS,11373,718-899-1532 / 718-899-1532,6658 / 6659,2016-01-04 / 2015-05-11,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,18 / 110,No / No,Private / Private,11 / 27,2 / 2,7 / 17,2 / 8,13 / 15,0.846154 / 1.8,1.69231 / 3.2,749 / 1358,Average / Bottom 30%,796 / 1339,Average / Bottom 30%,3,1.323077,2.697436666666667,40.7366037,-73.8883355
DC14173 / DC3129,BOOKS AND RATTLES TODDLER PROGRAM / BOOKS & RATTLES PRESCHOOL,"BOOKS AND RATTLES TODDLER PROGRAM / BOOKS AND RATTLES, INC.",63-08 69 PLACE,QUEENS,11379,718-381-7777 / 718-381-7777,7149 / 7117,2015-06-13 / 2015-04-18,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,7 / 94,No / No,Private / Private,8 / 17,1 / 3,6 / 12,1 / 2,7 / 9,1.14286 / 1.88889,2.28571 / 3.88889,951 / 1399,Average / Bottom 30%,1049 / 1521,Average / Bottom 30%,3,1.5158749999999999,3.3544966666666665,40.7161203,-73.8864602
DC593,BOULEVARD NURSERY SCHOOL INC.,BOULEVARD NURSERY SCHOOL INC.,2150 LINDEN BOULEVARD,BROOKLYN,11207,718-649-2295,1489,2015-08-03,Permitted,2 YEARS - 5 YEARS,70,No,Private,25,1,13,11,11,2.27273,3.63636,1613,Bottom 30%,1453,Bottom 30%,1,2.27273,3.63636,40.66152599999999,-73.8833047
DC3126 / DC14346,BOYS AND GIRLS HABOR INFANT TODDLER PROGRAM / BOYS & GIRLS HARBOR  PRESCHOOL,"BOYS HARBOR, INC. / BOYS AND GIRLS HARBOR.INC.",1 EAST 104 STREET,MANHATTAN,10029,212-427-2244 / 212-427-2244,5713 / 5100,2015-08-14 / 2014-11-29,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,10 / 135,No / No,ACS Contracted Preschools / ACS Contracted Preschools,6 / 18,0 / 2,4 / 10,2 / 6,4 / 8,1.5 / 2.25,2.5 / 4.0,1191 / 1600,Average / Bottom 30%,1135 / 1542,Average / Bottom 30%,3,1.875,3.5,40.7929776,-73.9520167
DC24829,BPOS,BPOS CORP.,11 WYCKOFF STREET,BROOKLYN,11201,718-344-4631,51300,2015-08-29,Permitted,2 YEARS - 5 YEARS,70,No,Private,0,0,0,0,2,0.0,0.0,77,Top 5%,72,Top 5%,1,0.0,0.0,40.687067,-73.9930972
DC2003,BREUKELEN EARLY CHILDHOOD DEVELOPMENT CENTER,RECREATION ROOMS AND SETTLEMENT,717 EAST 105 STREET,BROOKLYN,11236,718-649-1463,1221,2015-02-28,Permitted,2 YEARS - 5 YEARS,70,No,ACS Contracted Preschools,9,0,5,4,5,1.8,2.8,1352,Bottom 30%,1216,Average,1,1.8,2.8,40.6489118,-73.89619259999999
DC680,BREUKELEN RECREATION ROOMS HEAD START/UPK,RECREATION ROOMS AND SETTLEMENT,715 EAST 105 STREET,BROOKLYN,11236,718-649-2960,2302,2016-03-01,Permitted,2 YEARS - 5 YEARS,34,No,ACS Head Start,23,1,11,11,11,2.09091,3.27273,1530,Bottom 30%,1359,Bottom 30%,1,2.09091,3.27273,40.6489264,-73.89620889999999
DC1622,BREVOORT CHILDREN'S CENTER,BROOKLYN KINDERGARTEN SOCIETY,250 RALPH AVENUE,BROOKLYN,11233,718-778-1069,1172,2014-12-12,Permitted,2 YEARS - 5 YEARS,52,No,ACS Contracted Preschools,23,6,10,7,8,2.875,5.625,1817,Bottom 30%,1871,Bottom 15%,1,2.875,5.625,40.6809216,-73.9223641
DC2762,BRIGHT BEGINNINGS,BRIGHT BEGINNINGS WOODSIDE,49-22 30 AVENUE,QUEENS,11377,718-777-6664,7184,2015-11-20,Permitted,2 YEARS - 5 YEARS,23,No,ACS Contracted Preschools,2,0,1,1,5,0.4,0.6,442,Top 30%,415,Top 30%,1,0.4,0.6,40.7600833,-73.90718810000001
DC2233 / DC11190,"BRIGHT BEGINNINGS IN QUEENS VILLAGE, INC. / BRIGHT BEGINNINGS IN QUEENS VILLAGE, INC.","BRIGHT BEGINNINGS IN QUEENS VILLAGE INFANT TODDLER / BRIGHT BEGINNINGS IN QUEENS VILLAGE,INC",80-45 WINCHESTER BOULEVARD,QUEENS,11427,718-264-3860 / 718-264-3860,5890 / 5887,2015-07-20 / 2014-07-02,Permitted / Expired-InRenewal,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,18 / 54,No / No,Private / Private,1 / 1,0 / 0,1 / 1,0 / 0,6 / 6,0.166667 / 0.166667,0.333333 / 0.333333,245 / 248,Top 15% / Top 15%,295 / 292,Top 15% / Top 15%,3,0.166667,0.333333,40.741499,-73.730402
DC10990 / DC12382,BRIGHT BEGINNINGS PRE-SCHOOL / BRIGHT BEGINNINGS INFANT/TODDLER,"BRITE ADVENTURE CENTER, INC. / BRITE ADVENTURE CENTER, INC.",86-25 162 STREET,QUEENS,11432,718-297-6767 / 718-297-6767,5099 / 5976,2015-11-16 / 2015-06-01,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,94 / 35,No / No,ACS Contracted Preschools / ACS Contracted Preschools,0 / 0,0 / 0,0 / 0,0 / 0,6 / 5,0.0 / 0.0,0.0 / 0.0,60 / 62,Top 5% / Top 5%,68 / 69,Top 5% / Top 5%,3,0.0,0.0,40.7105688,-73.8012351
DC26086,BRIGHT BEGINNINGS NYC LLC,BRIGHT BEGINNINGS NYC LLC,80 BEEKMAN STREET,MANHATTAN,10038,917-676-1725,55478,2015-12-23,Permitted,2 YEARS - 5 YEARS,26,No,Private,27,3,21,3,4,6.75,13.5,2157,Bottom 5%,2157,Bottom 5%,1,6.75,13.5,40.7087043,-74.0038177
DC16776 / DC16775,BRIGHT HORIZON'S CHILDREN CENTER INC. / BRIGHT HORIZON'S AT NEW YORK PRESBYTERIAN,"BRIGHT HORIZON'S CHILDRENS CENTERS, INC. / BRIGHT HORIZON'S CHILDRENS CENTER,INC.",61 HAVEN AVE.,MANHATTAN,10032,212-927-2723 / 212-927-2723,7680 / 7681,2016-02-01 / 2014-11-29,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,36 / 30,No / No,Private / Private,6 / 6,0 / 0,5 / 3,1 / 3,5 / 4,1.2 / 1.5,2.2 / 2.25,1006 / 1162,Average / Average,1007 / 1019,Average / Average,3,1.35,2.2333333333333334,40.84338,-73.942516
DC14309 / DC14762,"LIPTON CORP. CHILD CARE, INC. / BRIGHT HORIZONS","BRIGHT HORIZONS CHILD CARE CENTER, INC. / LIPTON CORPORATE CHILD CARE INC.",410 PARK AVENUE,MANHATTAN,10022,212-354-5222 / 212-354-5222,7559 / 7558,2015-01-04 / 2016-01-04,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,17 / 10,No / No,Corporate / Corporate,0 / 0,0 / 0,0 / 0,0 / 0,3 / 3,0.0 / 0.0,0.0 / 0.0,103 / 110,Top 5% / Top 5%,130 / 66,Top 5% / Top 5%,3,0.0,0.0,40.76021799999999,-73.97223199999999
DC1137 / DC14807,BRIGHT HORIZONS @ 575  LEXINGTON AVE. (INFANT/TODDLER) / BRIGHT HORIZONS  @ 575 LEXINGTON AVE.,"BRIGHT HORIZONS CHILDREN'S CENTER / BRIGHT HORIZONS CHILDREN' CENTERS, INC.",575 LEXINGTON AVENUE,MANHATTAN,10022,212-758-6262 / 212-758-6262,6731 / 6732,2015-10-18 / 2015-10-18,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,16 / 14,No / No,Corporate / Corporate,2 / 0,0 / 0,0 / 0,2 / 0,3 / 3,0.666667 / 0.0,0.666667 / 0.0,616 / 108,Top 30% / Top 5%,438 / 65,Top 30% / Top 5%,3,0.3333335,0.22222233333333333,40.7573816,-73.97136789999999
DC18467,BRIGHT HORIZONS  AT  PEARL STREET,"BRIGHT HORIZONS CHILDREN'S CENTER, INC.",128 PEARL  STREET,MANHATTAN,10005,212-422-5222,7980,2015-04-23,Permitted,2 YEARS - 5 YEARS,10,No,Private,2,0,1,1,2,1.0,1.5,849,Average,711,Average,1,1.0,1.5,40.7048231,-74.00891519999999
DC2285 / DC14800,BRIGHT HORIZONS  AT  ROCKEFELLER  CENTER / BRIGHT HORIZONS  AT  ROCKEFELLER  CENTER,"BRIGHT HORIZONS CHILDREN'S CENTER, INC. / BRIGHT HORIZONS CHILDREN'S CENTER, INC.",600 FIFTH AVENUE,MANHATTAN,10020,212-332-8181 / 212-332-8181,6728 / 6729,2015-09-30 / 2015-09-30,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,15 / 18,No / No,Corporate / Corporate,10 / 1,0 / 0,8 / 0,2 / 1,4 / 3,2.5 / 0.333333,4.5 / 0.333333,1688 / 413,Bottom 30% / Top 30%,1660 / 297,Bottom 30% / Top 15%,3,1.4166665,1.7222220000000001,40.7576057,-73.97831409999999
DC11073 / DC2704,BRIGHT HORIZONS  PRESCHOOL AT 200 PARK  AVENUE / BRIGHT HORIZONS  AT 200 PARK AVENUE  INFANT TODDLER,"BRIGHT HORIZONS CHILDREN'S CENTER INC. / BRIGHT HORIZONS CHILDREN'S CENTER, INC.",200 PARK AVENUE,MANHATTAN,10017,212-286-5437 / 212-286-5437,6139 / 6138,2015-09-13 / 2015-09-13,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,20 / 16,No / No,Corporate / Corporate,2 / 0,0 / 0,1 / 0,1 / 0,3 / 3,0.666667 / 0.0,1.0 / 0.0,619 / 99,Top 30% / Top 5%,550 / 43,Top 30% / Top 5%,3,0.3333335,0.3333333333333333,40.7535209,-73.97656909999999
DC14950 / DC16685,BRIGHT HORIZONS AT THE OCTAGON / BRIGHT HORIZONS  AT THE OCTAGON,BRIGHT HORIZONS CHILDREN'S CENTER INC. / BRIGHT HORIZONS CHILDREN'S CENTER INC.,888 MAIN STREET,MANHATTAN,10044,212-750-5301 / 212-750-5301,7648 / 7651,2014-10-03 / 2015-10-01,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,32 / 18,No / No,Corporate / Corporate,3 / 8,0 / 1,2 / 4,1 / 3,5 / 6,0.6 / 1.33333,1.0 / 2.33333,572 / 1111,Top 30% / Average,530 / 1092,Top 30% / Average,3,0.9666649999999999,1.8888866666666668,40.7690406,-73.9435395
DC2700 / DC14801,BRIGHT HORIZONS TIMES SQUARE / BRIGHT HORIZONS  TIMES SQUARE,"BRIGHT HORIZONS CHILDREN'S CENTER, INC. / BRIGHT HORIZONS CHILDREN'S CENTERS, INC.",4 TIMES SQUARE,MANHATTAN,10036,212-840-3336 / 212-840-3336,7102 / 7111,2015-09-30 / 2015-02-18,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,14 / 10,No / No,Corporate / Corporate,1 / 4,0 / 0,1 / 1,0 / 3,4 / 4,0.25 / 1.0,0.5 / 1.25,321 / 845,Top 15% / Average,394 / 634,Top 30% / Top 30%,3,0.625,1.0,40.7560982,-73.9857881
DC11087 / DC12265,BRIGHT HORIZONS AT NY PRESBYTERIAN HOSPITAL / BRIGHT HORIZONS AT  NEW YORK  PRESBYTERIAN  HOSPITAL,"BRIGHT HORIZONS CHILDREN'S CENTER INC. / BRIGHT HORIZONS CHILDREN'S CENTERS, INC",435 EAST 70 STREET,MANHATTAN,10021,212-746-6543 / 212-746-6543,7267 / 7266,2014-10-08 / 2013-09-23,Permitted / Expired-InRenewal,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,60 / 18,No / No,Private / Private,2 / 1,0 / 0,2 / 1,0 / 0,4 / 4,0.5 / 0.25,1.0 / 0.5,509 / 340,Top 30% / Top 15%,582 / 375,Top 30% / Top 30%,3,0.375,0.6666666666666666,40.765871,-73.9550467
DC17882 / DC17495,BRIGHT HORIZONS AT 20 PINE / BRIGHT HORIZONS AT 20 PINE,"BRIGHT HORIZONS CHILDREN'S CENTER, LLC / BRIGHT HORIZONS CHILDREN'S CENTER, LLC",20 PINE STREET,MANHATTAN,10005,212-509-1580 / 212-509-1580,7977 / 7978,2015-04-21 / 2015-04-21,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,79 / 91,No / No,Corporate / Private,4 / 2,0 / 0,2 / 2,2 / 0,3 / 7,1.33333 / 0.285714,2.0 / 0.571429,1097 / 355,Average / Top 30%,913 / 395,Average / Top 30%,3,0.809522,1.0476193333333332,40.707769,-74.00987479999999
DC14840 / DC14839,BRIGHT HORIZONS FAMILY SOLUTIONS @ 75 ROCKEFELLER PLAZA / BRIGHT HORIZONS AT 75 ROCKEFELLER PLAZA,"BRIGHT HORIZONS FAMILY SOLUTIONS / BRIGHT HORIZONS CHILDREN'S CENTERS, INC.",75 ROCKEFELLER PLAZA,MANHATTAN,10019,212-757-2301 / 212-757-2301,7601 / 7572,2014-05-24 / 2015-07-01,Expired-InRenewal / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,38 / 72,No / No,Corporate / Corporate,4 / 1,1 / 0,2 / 0,1 / 1,4 / 4,1.0 / 0.25,2.0 / 0.25,850 / 348,Average / Top 15%,877 / 262,Average / Top 15%,3,0.625,0.8333333333333334,40.7599139,-73.9778395
DC25292 / DC25291,BRIGHT HORIZONS AT ADAMS STREET / BRIGHT HORIZONS AT ADAMS STREET,"BRIGHT HORIZONS CHILDREN'S CENTER, LLC. / BRIGHT HORIZONS CHILDRENS CENTER, LLC.",345 ADAMS STREET,BROOKLYN,11201,718-488-7770 / 718-488-7770,47817 / 47757,2015-07-11 / 2015-07-11,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,44 / 120,No / No,Private / Private,3 / 0,2 / 0,1 / 0,0 / 0,1 / 1,3.0 / 0.0,8.0 / 0.0,1839 / 42,Bottom 30% / Top 5%,2078 / 30,Bottom 5% / Top 5%,3,1.5,2.6666666666666665,40.69277659999999,-73.9884716
DC3110 / DC14818,BRIGHT HORIZONS AT BARCLAYS CAPITAL / BRIGHT HORIZONS AT BARCLAYS CAPITAL,"CHILDREN FIRST, INC. / CHILDREN FIRST, INC.",745 SEVENTH AVENUE,MANHATTAN,10019,212-526-1500 / 212-526-1500,7206 / 7205,2015-02-21 / 2016-03-06,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,12 / 10,No / No,Corporate / Corporate,0 / 0,0 / 0,0 / 0,0 / 0,3 / 3,0.0 / 0.0,0.0 / 0.0,12 / 17,Top 5% / Top 5%,16 / 17,Top 5% / Top 5%,3,0.0,0.0,40.760636,-73.9830374
DC23256 / DC23255,BRIGHT HORIZONS AT COLUMBUS CIRCLE PS / BRIGHT HORIZONS AT COLUMBUS CIRCLE I/T,"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC / BRIGHT HORIZONS CHILDREN'S CENTER LLC",910 9TH AVENUE,MANHATTAN,10019,212-399-3919 / 212-399-3919,30039 / 30038,2015-01-03 / 2015-01-03,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,85 / 80,No / No,Private / Private,8 / 4,1 / 0,2 / 1,5 / 3,2 / 2,4.0 / 2.0,6.0 / 2.5,2032 / 1427,Bottom 15% / Bottom 30%,1921 / 1137,Bottom 15% / Average,3,3.0,3.6666666666666665,40.768788,-73.9847631
DC24834 / DC24833,BRIGHT HORIZONS AT KENT AVENUE / BRIGHT HORIZONS AT KENT AVENUE,BRIGHT HORIZONS CHILDREN'S CENTER LLC. / BRIGHT HORIZONS CHILDREN'S CENTER LLC,175 KENT AVENUE,BROOKLYN,11249,718-302-1113 / 718-302-1113,49798 / 49777,2015-08-08 / 2015-08-08,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,89 / 80,No / No,Private / Private,3 / 1,2 / 0,1 / 1,0 / 0,2 / 2,1.5 / 0.5,4.0 / 1.0,1192 / 529,Average / Top 30%,1535 / 583,Bottom 30% / Top 30%,3,1.0,2.0,40.7180391,-73.96373179999999
