Site_ID,Center_Name,Permit_Holder,Address,Borough,Zip_Code,Phone,Permit_Number,Permit_Expiration_Date,Permit_Status,Age_Range,Maximum_Capacity,Certified_to_Administer_Medication,Site_Type,Number_Of_Violations,Hazard_Violations,Critical_Violations,General_Violations,Number_Of_Visits,Mean_Violations_Per_Visit,Score,Mean_Rank,Mean_Cat,Score_Rank,Score_Cat,Lat,Lon
DC1622,BREVOORT CHILDREN'S CENTER,BROOKLYN KINDERGARTEN SOCIETY,250 RALPH AVENUE,BROOKLYN,11233,718-778-1069,1172,2014-12-12,Permitted,2 YEARS - 5 YEARS,52,No,ACS Contracted Preschools,23,6,10,7,8,2.875,5.625,1834,Bottom 30%,1880,Bottom 15%,40.6809216,-73.9223641
DC20995,BRIGHT BEES DAY CARE CENTER INC.,BRIGHT BEES DAY CARE CENTER INC.,335 PROSPECT AVENUE,BROOKLYN,11215,718-576-3919,69737,2016-07-16,Permitted,2 YEARS - 5 YEARS,12,No,Private,0,0,0,0,0,,,,No Data,,No Data,40.662379,-73.98709900000001
DC31720,BRIGHT BEES DAYCARE INC,BRIGHT BEES DAY CARE INC,335 PROSPECT AVENUE,BROOKLYN,11215,718-576-3919,69718,2016-07-15,Permitted,0 YEARS - 2 YEARS,29,No,Private,0,0,0,0,0,,,,No Data,,No Data,40.662379,-73.98709900000001
DC2178,BRIGHT BEGINNINGS,"BRITE ADVENTURE CENTER,INC.",41-31 58 STREET,QUEENS,11377,718-274-4769,7262,2016-03-31,Permitted,2 YEARS - 5 YEARS,40,No,Private,1,0,1,0,7,0.142857,0.285714,244,Top 15%,276,Top 15%,40.743695,-73.90673699999999
DC2762,BRIGHT BEGINNINGS,BRIGHT BEGINNINGS WOODSIDE,49-22 30 AVENUE,QUEENS,11377,718-777-6664,7184,2015-11-20,Permitted,2 YEARS - 5 YEARS,23,No,ACS Contracted Preschools,2,0,1,1,5,0.4,0.6,470,Top 30%,418,Top 30%,40.7600833,-73.90718810000001
DC11190,"BRIGHT BEGINNINGS IN QUEENS VILLAGE, INC.","BRIGHT BEGINNINGS IN QUEENS VILLAGE,INC",80-45 WINCHESTER BOULEVARD,QUEENS,11427,718-264-3860,5887,2014-07-02,Expired-InRenewal,2 YEARS - 5 YEARS,54,No,Private,1,0,1,0,6,0.166667,0.333333,257,Top 15%,305,Top 15%,40.741499,-73.730402
DC2233,"BRIGHT BEGINNINGS IN QUEENS VILLAGE, INC.",BRIGHT BEGINNINGS IN QUEENS VILLAGE INFANT TODDLER,80-45 WINCHESTER BOULEVARD,QUEENS,11427,718-264-3860,5890,2015-07-20,Permitted,0 YEARS - 2 YEARS,18,No,Private,1,0,1,0,6,0.166667,0.333333,256,Top 15%,306,Top 15%,40.741499,-73.730402
DC12382,BRIGHT BEGINNINGS INFANT/TODDLER,"BRITE ADVENTURE CENTER, INC.",86-25 162 STREET,QUEENS,11432,718-297-6767,5976,2015-06-01,Permitted,0 YEARS - 2 YEARS,35,No,ACS Contracted Preschools,0,0,0,0,5,0.0,0.0,83,Top 5%,72,Top 5%,40.7105688,-73.8012351
DC26086,BRIGHT BEGINNINGS NYC LLC,BRIGHT BEGINNINGS NYC LLC,80 BEEKMAN STREET,MANHATTAN,10038,917-676-1725,55478,2015-12-23,Permitted,2 YEARS - 5 YEARS,26,No,Private,27,3,21,3,4,6.75,13.5,2168,Bottom 5%,2168,Bottom 5%,40.7087043,-74.0038177
DC10990,BRIGHT BEGINNINGS PRE-SCHOOL,"BRITE ADVENTURE CENTER, INC.",86-25 162 STREET,QUEENS,11432,718-297-6767,5099,2015-11-16,Permitted,2 YEARS - 5 YEARS,94,No,ACS Contracted Preschools,0,0,0,0,6,0.0,0.0,85,Top 5%,74,Top 5%,40.7105688,-73.8012351
DC16775,BRIGHT HORIZON'S AT NEW YORK PRESBYTERIAN,"BRIGHT HORIZON'S CHILDRENS CENTER,INC.",61 HAVEN AVE.,MANHATTAN,10032,212-927-2723,7681,2014-11-29,Permitted,2 YEARS - 5 YEARS,30,No,Private,6,0,3,3,4,1.5,2.25,1237,Average,1055,Average,40.84338,-73.942516
DC16776,BRIGHT HORIZON'S CHILDREN CENTER INC.,"BRIGHT HORIZON'S CHILDRENS CENTERS, INC.",61 HAVEN AVE.,MANHATTAN,10032,212-927-2723,7680,2016-02-01,Permitted,0 YEARS - 2 YEARS,36,No,Private,6,0,5,1,5,1.2,2.2,1008,Average,1018,Average,40.84338,-73.942516
DC14762,BRIGHT HORIZONS,LIPTON CORPORATE CHILD CARE INC.,410 PARK AVENUE,MANHATTAN,10022,212-354-5222,7558,2016-01-04,Permitted,2 YEARS - 5 YEARS,10,No,Corporate,0,0,0,0,3,0.0,0.0,88,Top 5%,77,Top 5%,40.76021799999999,-73.97223199999999
DC14807,BRIGHT HORIZONS  @ 575 LEXINGTON AVE.,"BRIGHT HORIZONS CHILDREN' CENTERS, INC.",575 LEXINGTON AVENUE,MANHATTAN,10022,212-758-6262,6732,2015-10-18,Permitted,2 YEARS - 5 YEARS,14,No,Corporate,0,0,0,0,3,0.0,0.0,89,Top 5%,78,Top 5%,40.7572517,-73.9712014
DC18467,BRIGHT HORIZONS  AT  PEARL STREET,"BRIGHT HORIZONS CHILDREN'S CENTER, INC.",128 PEARL  STREET,MANHATTAN,10005,212-422-5222,7980,2015-04-23,Permitted,2 YEARS - 5 YEARS,10,No,Private,2,0,1,1,2,1.0,1.5,879,Average,729,Average,40.7048231,-74.00891519999999
DC14800,BRIGHT HORIZONS  AT  ROCKEFELLER  CENTER,"BRIGHT HORIZONS CHILDREN'S CENTER, INC.",600 FIFTH AVENUE,MANHATTAN,10020,212-332-8181,6729,2015-09-30,Permitted,0 YEARS - 2 YEARS,18,No,Corporate,1,0,0,1,3,0.333333,0.333333,380,Top 30%,308,Top 15%,40.7576057,-73.97831409999999
DC2285,BRIGHT HORIZONS  AT  ROCKEFELLER  CENTER,"BRIGHT HORIZONS CHILDREN'S CENTER, INC.",600 FIFTH AVENUE,MANHATTAN,10020,212-332-8181,6728,2015-09-30,Permitted,2 YEARS - 5 YEARS,15,No,Corporate,10,0,8,2,4,2.5,4.5,1711,Bottom 30%,1678,Bottom 30%,40.7576057,-73.97831409999999
DC2704,BRIGHT HORIZONS  AT 200 PARK AVENUE  INFANT TODDLER,"BRIGHT HORIZONS CHILDREN'S CENTER, INC.",200 PARK AVENUE,MANHATTAN,10017,212-286-5437,6138,2015-09-13,Permitted,0 YEARS - 2 YEARS,16,No,Corporate,0,0,0,0,3,0.0,0.0,126,Top 5%,82,Top 5%,40.7535209,-73.97656909999999
DC16685,BRIGHT HORIZONS  AT THE OCTAGON,BRIGHT HORIZONS CHILDREN'S CENTER INC.,888 MAIN STREET,MANHATTAN,10044,212-750-5301,7651,2015-10-01,Permitted,0 YEARS - 2 YEARS,18,No,Corporate,8,1,4,3,6,1.33333,2.33333,1099,Average,1076,Average,40.7690406,-73.9435395
DC11073,BRIGHT HORIZONS  PRESCHOOL AT 200 PARK  AVENUE,BRIGHT HORIZONS CHILDREN'S CENTER INC.,200 PARK AVENUE,MANHATTAN,10017,212-286-5437,6139,2015-09-13,Permitted,2 YEARS - 5 YEARS,20,No,Corporate,2,0,1,1,3,0.666667,1.0,634,Top 30%,550,Top 30%,40.7535209,-73.97656909999999
DC14801,BRIGHT HORIZONS  TIMES SQUARE,"BRIGHT HORIZONS CHILDREN'S CENTERS, INC.",4 TIMES SQUARE,MANHATTAN,10036,212-840-3336,7111,2015-02-18,Permitted,2 YEARS - 5 YEARS,10,No,Corporate,4,0,1,3,4,1.0,1.25,862,Average,637,Top 30%,40.7560982,-73.9857881
DC1137,BRIGHT HORIZONS @ 575  LEXINGTON AVE. (INFANT/TODDLER),BRIGHT HORIZONS CHILDREN'S CENTER,575 LEXINGTON AVENUE,MANHATTAN,10022,212-758-6262,6731,2015-10-18,Permitted,0 YEARS - 2 YEARS,16,No,Corporate,2,0,0,2,3,0.666667,0.666667,635,Top 30%,454,Top 30%,40.7572517,-73.9712014
DC12265,BRIGHT HORIZONS AT  NEW YORK  PRESBYTERIAN  HOSPITAL,"BRIGHT HORIZONS CHILDREN'S CENTERS, INC",435 EAST 70 STREET,MANHATTAN,10021,212-746-6543,7266,2013-09-23,Expired-InRenewal,0 YEARS - 2 YEARS,18,No,Private,0,0,0,0,3,0.0,0.0,81,Top 5%,87,Top 5%,40.765871,-73.9550467
DC17495,BRIGHT HORIZONS AT 20 PINE,"BRIGHT HORIZONS CHILDREN'S CENTER, LLC",20 PINE STREET,MANHATTAN,10005,212-509-1580,7978,2015-04-21,Permitted,2 YEARS - 5 YEARS,91,No,Private,2,0,2,0,7,0.285714,0.571429,372,Top 30%,412,Top 30%,40.707769,-74.00987479999999
DC17882,BRIGHT HORIZONS AT 20 PINE,"BRIGHT HORIZONS CHILDREN'S CENTER, LLC",20 PINE STREET,MANHATTAN,10005,212-509-1580,7977,2015-04-21,Permitted,0 YEARS - 2 YEARS,79,No,Corporate,4,0,2,2,3,1.33333,2.0,1124,Average,946,Average,40.707769,-74.00987479999999
DC14839,BRIGHT HORIZONS AT 75 ROCKEFELLER PLAZA,"BRIGHT HORIZONS CHILDREN'S CENTERS, INC.",75 ROCKEFELLER PLAZA,MANHATTAN,10019,212-757-2301,7572,2015-07-01,Permitted,0 YEARS - 2 YEARS,72,No,Corporate,1,0,0,1,4,0.25,0.25,343,Top 15%,273,Top 15%,40.7599139,-73.9778395
DC25291,BRIGHT HORIZONS AT ADAMS STREET,"BRIGHT HORIZONS CHILDRENS CENTER, LLC.",345 ADAMS STREET,BROOKLYN,11201,718-488-7770,47757,2015-07-11,Permitted,2 YEARS - 5 YEARS,120,No,Private,0,0,0,0,1,0.0,0.0,78,Top 5%,90,Top 5%,40.69277659999999,-73.9884716
DC25292,BRIGHT HORIZONS AT ADAMS STREET,"BRIGHT HORIZONS CHILDREN'S CENTER, LLC.",345 ADAMS STREET,BROOKLYN,11201,718-488-7770,47817,2015-07-11,Permitted,0 YEARS - 2 YEARS,44,No,Private,3,2,1,0,1,3.0,8.0,1875,Bottom 30%,2098,Bottom 5%,40.69277659999999,-73.9884716
DC14818,BRIGHT HORIZONS AT BARCLAYS CAPITAL,"CHILDREN FIRST, INC.",745 SEVENTH AVENUE,MANHATTAN,10019,212-526-1500,7205,2016-03-06,Permitted,2 YEARS - 5 YEARS,10,No,Corporate,0,0,0,0,3,0.0,0.0,74,Top 5%,92,Top 5%,40.760636,-73.9830374
DC3110,BRIGHT HORIZONS AT BARCLAYS CAPITAL,"CHILDREN FIRST, INC.",745 SEVENTH AVENUE,MANHATTAN,10019,212-526-1500,7206,2015-02-21,Permitted,0 YEARS - 2 YEARS,12,No,Corporate,0,0,0,0,3,0.0,0.0,67,Top 5%,93,Top 5%,40.760636,-73.9830374
DC23255,BRIGHT HORIZONS AT COLUMBUS CIRCLE I/T,BRIGHT HORIZONS CHILDREN'S CENTER LLC,910 9TH AVENUE,MANHATTAN,10019,212-399-3919,30038,2015-01-03,Permitted,0 YEARS - 2 YEARS,80,No,Private,4,0,1,3,2,2.0,2.5,1527,Bottom 30%,1148,Average,40.768788,-73.9847631
DC23256,BRIGHT HORIZONS AT COLUMBUS CIRCLE PS,"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC",910 9TH AVENUE,MANHATTAN,10019,212-399-3919,30039,2015-01-03,Permitted,2 YEARS - 5 YEARS,85,No,Private,8,1,2,5,2,4.0,6.0,2047,Bottom 15%,1925,Bottom 15%,40.768788,-73.9847631
DC24833,BRIGHT HORIZONS AT KENT AVENUE,BRIGHT HORIZONS CHILDREN'S CENTER LLC,175 KENT AVENUE,BROOKLYN,11249,718-302-1113,49777,2015-08-08,Permitted,0 YEARS - 2 YEARS,80,No,Private,1,0,1,0,2,0.5,1.0,507,Top 30%,554,Top 30%,40.7180391,-73.96373179999999
DC24834,BRIGHT HORIZONS AT KENT AVENUE,BRIGHT HORIZONS CHILDREN'S CENTER LLC.,175 KENT AVENUE,BROOKLYN,11249,718-302-1113,49798,2015-08-08,Permitted,2 YEARS - 5 YEARS,89,No,Private,3,2,1,0,2,1.5,4.0,1186,Average,1556,Bottom 30%,40.7180391,-73.96373179999999
DC11087,BRIGHT HORIZONS AT NY PRESBYTERIAN HOSPITAL,BRIGHT HORIZONS CHILDREN'S CENTER INC.,435 EAST 70 STREET,MANHATTAN,10021,212-746-6543,7267,2014-10-08,Permitted,2 YEARS - 5 YEARS,60,No,Private,1,0,1,0,3,0.333333,0.666667,431,Top 30%,457,Top 30%,40.765871,-73.9550467
DC14950,BRIGHT HORIZONS AT THE OCTAGON,BRIGHT HORIZONS CHILDREN'S CENTER INC.,888 MAIN STREET,MANHATTAN,10044,212-750-5301,7648,2014-10-03,Permitted,2 YEARS - 5 YEARS,32,No,Corporate,3,0,2,1,5,0.6,1.0,582,Top 30%,557,Top 30%,40.7690406,-73.9435395
DC2783,BRIGHT HORIZONS BROAD STREET,"BRIGHT HORIZONS CHILDREN'S CENTER, INC.",125 BROAD STREET,MANHATTAN,10004,212-487-9035,6215,2015-07-19,Permitted,0 YEARS - 2 YEARS,16,No,Corporate,0,0,0,0,3,0.0,0.0,114,Top 5%,133,Top 5%,40.7024877,-74.0106824
DC14816,BRIGHT HORIZONS BROAD STREET,"BRIGHT HORIZONS CHILDREN'S CENTER, INC.",125 BROAD STREET,MANHATTAN,10004,917-577-6810,6216,2015-07-19,Permitted,2 YEARS - 5 YEARS,15,No,Corporate,0,0,0,0,4,0.0,0.0,111,Top 5%,88,Top 5%,40.7024877,-74.0106824
DC26123,BRIGHT HORIZONS CHILDREN'S CENTER INC.,"BRIGHT HORIZONS CHILDREN'S CENTERS, INC",200 LIBERTY STREET,MANHATTAN,10281,212-945-7263,66817,2016-06-13,Permitted,0 YEARS - 2 YEARS,20,No,Private,0,0,0,0,0,,,,No Data,,No Data,40.710651,-74.015526
DC26124,BRIGHT HORIZONS CHILDREN'S CENTERS. INC,BRIGHT HORIZONS CHILDREN'S CENTERS INC.,200 LIBERTY STREET,MANHATTAN,10281,212-945-7263,66818,2016-06-13,Permitted,2 YEARS - 5 YEARS,24,No,Private,0,0,0,0,0,,,,No Data,,No Data,40.710651,-74.015526
DC25326,BRIGHT HORIZONS FAMILY SOLUTIONS,"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC",409 EAST 60TH STREET,MANHATTAN,10022,212-750-4534,51198,2015-08-27,Permitted,2 YEARS - 5 YEARS,30,No,Private,0,0,0,0,1,0.0,0.0,103,Top 5%,85,Top 5%,40.7600585,-73.9604368
DC25327,BRIGHT HORIZONS FAMILY SOLUTIONS,"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC",409 EAST 60TH STREET,MANHATTAN,10022,212-750-4534,51197,2015-08-27,Permitted,0 YEARS - 2 YEARS,26,No,Private,0,0,0,0,1,0.0,0.0,102,Top 5%,81,Top 5%,40.7600585,-73.9604368
DC14840,BRIGHT HORIZONS FAMILY SOLUTIONS @ 75 ROCKEFELLER PLAZA,BRIGHT HORIZONS FAMILY SOLUTIONS,75 ROCKEFELLER PLAZA,MANHATTAN,10019,212-757-2301,7601,2014-05-24,Expired-InRenewal,2 YEARS - 5 YEARS,38,No,Corporate,4,1,2,1,4,1.0,2.0,866,Average,940,Average,40.7599139,-73.9778395
DC2700,BRIGHT HORIZONS TIMES SQUARE,"BRIGHT HORIZONS CHILDREN'S CENTER, INC.",4 TIMES SQUARE,MANHATTAN,10036,212-840-3336,7102,2015-09-30,Permitted,0 YEARS - 2 YEARS,14,No,Corporate,1,0,1,0,4,0.25,0.5,351,Top 15%,367,Top 30%,40.7560982,-73.9857881
DC22436,BRIGHT KIDS DAY CARE,"NELOY,INC.",108-42 SUTPHIN BLVD.,QUEENS,11435,718-262-0909,11638,2016-02-01,Permitted,2 YEARS - 5 YEARS,28,No,Private,0,0,0,0,5,0.0,0.0,98,Top 5%,71,Top 5%,40.6920344,-73.79836929999999
DC23078,BRIGHT MINDS CENTER,"ALPHA WIT, LLC",90 MAIDEN LANE,MANHATTAN,10038,212-227-2600,53397,2015-10-23,Permitted,2 YEARS - 5 YEARS,60,No,Private,4,0,2,2,1,4.0,6.0,2041,Bottom 15%,1920,Bottom 15%,40.7068768,-74.0075796
DC26083,BRIGHT STAR DAY CARE  AT ROCHAMBEAU,MOHAMMAD J SHAHID,3130 ROCHAMBEAU AVENUE,BRONX,10467,718-881-2000,61497,2016-04-17,Permitted,2 YEARS - 5 YEARS,96,No,Private,1,1,0,0,1,1.0,3.0,876,Average,1285,Average,40.8738539,-73.8802594
DC23109,BRIGHT STAR STRATFORD INC,LALARUKH QURESHI,1217 STRATFORD  AVENUE,BRONX,10472,718-842-9361,58678,2016-03-13,Permitted,0 YEARS - 2 YEARS,18,No,Private,1,0,1,0,1,1.0,2.0,870,Average,938,Average,40.82975860000001,-73.8758723
DC23108,BRIGHT STAR STRATFORD INC.,LALARUKH QURESHI,1217 STRATFORD  AVENUE,BRONX,10472,718-842-9361,58657,2016-03-13,Permitted,2 YEARS - 5 YEARS,46,No,Private,1,0,1,0,1,1.0,2.0,871,Average,937,Average,40.82975860000001,-73.8758723
DC21461,BRIGHTER BABIES I -INFANT TODDLER,BRIGHTER BABIES INC,2-17 51 AVENUE,QUEENS,11101,718-786-2273,9318,2015-12-01,Permitted,0 YEARS - 2 YEARS,36,No,Private,15,2,9,4,7,2.14286,4.0,1571,Bottom 30%,1597,Bottom 30%,40.742804,-73.9582392
DC21843,BRIGHTER BABIES I1-(PRE SCH),BRIGHTER BABIES INC,2-17 51 AVENUE,QUEENS,11101,718-786-2273,12817,2016-02-24,Permitted,2 YEARS - 5 YEARS,12,No,Private,7,1,6,0,6,1.16667,2.5,995,Average,1146,Average,40.742804,-73.9582392
DC14183,BRIGHTSIDE ACADEMY,BRIGHTSIDE ACADEMY,331 EAST 150 STREET,BRONX,10451,718-292-0812,7482,2015-10-15,Permitted,2 YEARS - 5 YEARS,78,No,ACS Contracted Preschools,61,4,34,23,17,3.58824,6.05882,1993,Bottom 15%,1942,Bottom 15%,40.817661,-73.9199919
DC22112,BRIGHTSIDE ACADEMY,BRIGHTSIDE ACADEMY,3942 WHITE PLAINS ROAD,BRONX,10466,718-653-4043,40657,2015-05-20,Permitted,0 YEARS - 2 YEARS,46,No,Private,0,0,0,0,2,0.0,0.0,7,Top 5%,124,Top 5%,40.88677260000001,-73.8610121
DC22114,BRIGHTSIDE ACADEMY,BRIGHTSIDE ACADEMY,3942 WHITE PLAINS ROAD,BRONX,10466,718-653-4043,40177,2015-05-15,Permitted,2 YEARS - 5 YEARS,112,No,ACS Contracted Preschools,0,0,0,0,2,0.0,0.0,28,Top 5%,118,Top 5%,40.88677260000001,-73.8610121
DC22511,BRIGHTSIDE ACADEMY,"BRIGHTSIDE ACADEMY, INC.",50-56 BELMONT AVENUE,BROOKLYN,11212,718-346-1064,25438,2014-10-17,Permitted,2 YEARS - 5 YEARS,96,No,Private,15,1,13,1,7,2.14286,4.28571,1562,Bottom 30%,1634,Bottom 30%,40.668512,-73.90829699999999
DC22515,BRIGHTSIDE ACADEMY,"BRIGHTSIDE ACADEMY, INC.",50-56 BELMONT AVENUE,BROOKLYN,11212,718-346-1064,25617,2014-10-18,Permitted,0 YEARS - 2 YEARS,42,No,ACS Contracted Preschools,15,0,13,2,6,2.5,4.66667,1713,Bottom 30%,1715,Bottom 30%,40.668512,-73.90829699999999
DC21024,BRIGHTSIDE ACADEMY,"BRIGHTSIDE ACADEMY,INC.",679 NEW LOTS AVENUE,BROOKLYN,11207,718-257-2222,8719,2015-11-22,Permitted,2 YEARS - 5 YEARS,96,No,Private,22,5,12,5,12,1.83333,3.66667,1396,Bottom 30%,1495,Bottom 30%,40.66523350000001,-73.88537649999999
DC20289,BRIGHTSIDE ACADEMY,"BRIGHTSIDE ACADEMY, INC.",844 DEKALB AVENUE,BROOKLYN,11221,718-574-3710,27357,2014-11-15,Permitted,0 YEARS - 2 YEARS,54,No,Private,25,4,13,8,7,3.57143,6.57143,1990,Bottom 15%,1989,Bottom 15%,40.6922425,-73.94197910000001
DC19890,BRIGHTSIDE ACADEMY,"BRIGHTSIDE ACADEMY,INC.",950 WESTCHESTER AVENUE,BRONX,10459,718-991-5465,8246,2014-12-20,Permitted,2 YEARS - 5 YEARS,106,No,ACS Contracted Preschools,24,2,10,12,10,2.4,3.8,1680,Bottom 30%,1519,Bottom 30%,40.8220249,-73.896603
DC21215,BRIGHTSIDE ACADEMY - I/T,"BRIGHTSIDE ACADEMY,INC.",950 WESTCHESTER AVENUE,BRONX,10459,718-991-5465,8245,2014-12-20,Permitted,0 YEARS - 2 YEARS,54,No,Private,14,4,4,6,8,1.75,3.25,1342,Bottom 30%,1377,Bottom 30%,40.8220249,-73.896603
DC20597,BRIGHTSIDE ACADEMY / INFANT/TODDLER,"BRIGHTSIDE ACADEMY, INC.",1491 BROADWAY,BROOKLYN,11221,718-455-1612,8217,2014-09-29,Permitted,0 YEARS - 2 YEARS,26,No,ACS Contracted Preschools,14,2,7,5,7,2.0,3.57143,1451,Bottom 30%,1461,Bottom 30%,40.68738099999999,-73.917799
DC14184,BRIGHTSIDE ACADEMY INC.,BRIGHTSIDE ACADEMY INC.,1093  SOUTHERN BLVD.,BRONX,10459,718-842-2252,12518,2016-02-16,Permitted,2 YEARS - 5 YEARS,84,No,ACS Contracted Preschools,18,4,7,7,5,3.6,6.6,1995,Bottom 15%,1994,Bottom 15%,40.825826,-73.892259
DC22025,BRIGHTSIDE ACADEMY INC.,BRIGHTSIDE ACADEMY INC.,780 ST. ANN'S AVENUE,BRONX,10456,718-585-1472,20697,2014-08-13,Expired-InRenewal,2 YEARS - 5 YEARS,90,No,ACS Contracted Preschools,15,3,6,6,9,1.66667,3.0,1304,Average,1292,Average,40.8203238,-73.90991590000002
DC22026,BRIGHTSIDE ACADEMY INC.,BRIGHTSIDE ACADEMY INC.,780 ST. ANN'S AVENUE,BRONX,10456,718-585-1472,26338,2014-10-25,Permitted,0 YEARS - 2 YEARS,46,No,Private,4,0,2,2,4,1.0,1.5,787,Average,722,Average,40.8203238,-73.90991590000002
DC17746,BRIGHTSIDE ACADEMY INC.  (INFANT/TODDLER),"BRIGHTSIDE ACADEMY, INC.",1093  SOUTHERN BLVD.,BRONX,10459,718-842-2252,12458,2016-02-15,Permitted,0 YEARS - 2 YEARS,28,No,ACS Contracted Preschools,13,0,10,3,5,2.6,4.6,1749,Bottom 30%,1702,Bottom 30%,40.825826,-73.892259
DC22356,BRIGHTSIDE ACADEMY INC. / PRESCHOOL,"BRIGHTSIDE ACADEMY, INC.",4312 CHURCH AVENUE,BROOKLYN,11203,718-941-0013,62898,2016-05-01,Permitted,2 YEARS - 5 YEARS,120,No,Private,0,0,0,0,0,,,,No Data,,No Data,40.6512071,-73.9369382
DC25422,"BRIGHTSIDE ACADEMY, INC","BRIGHTSIDE ACADEMY, INC.",1778 SOUTHERN BLVD,BRONX,10460,718-589-5900,62657,2016-04-30,Permitted,0 YEARS - 2 YEARS,46,No,Private,0,0,0,0,0,,,,No Data,,No Data,40.838113,-73.8870221
DC20994,"BRIGHTSIDE ACADEMY, INC.","BRIGHTSIDE ACADEMY,INC.",1334 LOUIS NINE BOULEVARD,BRONX,10459,718-378-0544,8392,2015-10-13,Permitted,2 YEARS - 5 YEARS,147,No,ACS Contracted Preschools,1,0,1,0,6,0.166667,0.333333,252,Top 15%,292,Top 15%,40.8322239,-73.89243239999999
DC20993,"BRIGHTSIDE ACADEMY, INC.","BRIGHTSIDE ACADEMY,INC.",1334 LOUIS NINE BOULEVARD,BRONX,10459,718-991-2119,8391,2015-10-13,Permitted,0 YEARS - 2 YEARS,80,No,ACS Contracted Preschools,1,0,1,0,7,0.142857,0.285714,245,Top 15%,275,Top 15%,40.8322239,-73.89243239999999
DC18794,"BRIGHTSIDE ACADEMY, INC.","BRIGHTSIDE ACADEMY,INC.",1465 WEBSTER AVENUE,BRONX,10456,718-681-3040,8107,2015-12-16,Permitted,0 YEARS - 2 YEARS,36,No,Private,15,3,10,2,4,3.75,7.75,2023,Bottom 15%,2082,Bottom 5%,40.83809770000001,-73.9063034
DC19899,"BRIGHTSIDE ACADEMY, INC.","BRIGHTSIDE ACADEMY,INC.",1491 BROADWAY,BROOKLYN,11221,718-455-1612,8218,2014-09-29,Permitted,2 YEARS - 5 YEARS,102,No,ACS Contracted Preschools,7,0,5,2,7,1.0,1.71429,784,Average,812,Average,40.68738099999999,-73.917799
DC25423,"BRIGHTSIDE ACADEMY, INC.","BRIGHTSIDE ACADEMY, INC.",1778 SOUTHERN BLVD,BRONX,10460,718-589-5900,62637,2016-04-30,Permitted,2 YEARS - 5 YEARS,122,No,Private,0,0,0,0,0,,,,No Data,,No Data,40.838113,-73.8870221
DC22107,"BRIGHTSIDE ACADEMY, INC.","BRIGHTSIDE ACADEMY, INC.",208 CLARKSON AVENUE,BROOKLYN,11226,718-941-1802,45682,2015-06-28,Permitted,0 YEARS - 2 YEARS,45,No,ACS Contracted Preschools,1,0,1,0,2,0.5,1.0,519,Top 30%,586,Top 30%,40.6552277,-73.9529402
DC14926,"BRIGHTSIDE ACADEMY, INC.","BRIGHTSIDE ACADEMY, INC.",2901 WHITE PLAINS ROAD,BRONX,10467,718-653-3714,8175,2014-11-19,Permitted,2 YEARS - 5 YEARS,98,No,ACS Contracted Preschools,11,3,5,3,10,1.1,2.2,962,Average,1014,Average,40.8680816,-73.86765749999999
DC17682,"BRIGHTSIDE ACADEMY, INC.","BRIGHTSIDE ACADEMY,INC.",2901 WHITE PLAINS ROAD,BRONX,10467,718-653-3714,8174,2016-06-07,Permitted,0 YEARS - 2 YEARS,46,No,ACS Contracted Preschools,5,0,2,3,5,1.0,1.4,783,Average,699,Average,40.8680816,-73.86765749999999
DC14788,"BRIGHTSIDE ACADEMY, INC.","BRIGHTSIDE ACADEMY,INC.",331 EAST 150 STREET,BRONX,10451,718-292-0812,7565,2015-04-10,Permitted,0 YEARS - 2 YEARS,53,No,ACS Contracted Preschools,38,11,17,10,8,4.75,9.625,2124,Bottom 5%,2138,Bottom 5%,40.817661,-73.9199919
DC21025,"BRIGHTSIDE ACADEMY, INC. [ INFANT/TODDLER]","BRIGHTSIDE ACADEMY,INC.",679 NEW LOTS AVENUE,BROOKLYN,11207,718-257-2222,8718,2015-11-22,Permitted,0 YEARS - 2 YEARS,46,No,Private,24,4,11,9,9,2.66667,4.77778,1784,Bottom 30%,1750,Bottom 30%,40.66523350000001,-73.88537649999999
DC22101,"BRIGHTSIDE ACADEMY, INC. PRESCHOOL","BRIGHTSIDE ACADEMY, INC.",208 CLARKSON AVENUE,BROOKLYN,11226,718-941-1802,45717,2015-06-28,Permitted,2 YEARS - 5 YEARS,116,No,ACS Contracted Preschools,4,0,2,2,3,1.33333,2.0,1122,Average,984,Average,40.6552277,-73.9529402
DC18400,"BRIGHTSIDE ACADEMY,INC.","BRIGHTSIDE ACADEMY, INC.",1465 WEBSTER AVENUE,BRONX,10456,718-681-3040,8106,2015-12-16,Permitted,2 YEARS - 5 YEARS,116,No,ACS Contracted Preschools,21,3,13,5,5,4.2,8.0,2088,Bottom 5%,2097,Bottom 5%,40.83809770000001,-73.9063034
DC24669,BRIGHTSIDE ACADEMY-PRESCHOOL,"BRIGHTSIDE ACADEMY, INC.",844 DEKALB AVENUE,BROOKLYN,11221,718-574-3710,27420,2014-11-16,Permitted,2 YEARS - 5 YEARS,106,No,Private,8,3,3,2,6,1.33333,2.83333,1126,Average,1253,Average,40.6922425,-73.94197910000001
