Site ID,Visit Date,Regulation Summary,Violation Category,Code-Sub-Section,Violation Status
DC18400,06/04/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,
DC18400,06/04/2014,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),
DC18400,06/04/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),
DC18400,06/04/2014,At time of inspection toxic substances observed improperly stored so as to result in the potential for exposure or contamination of facility surfaces.,CRITICAL,47.49 (c),
DC18400,06/04/2014,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),CORRECTED
DC18400,06/04/2014,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.,CRITICAL,47.59 (d),
DC18400,06/04/2014,Required smoke and carbon monoxide detectors not provided or maintained at time of inspection.,CRITICAL,47.59 (g),CORRECTED
DC18400,06/04/2014,Child care service fails to store dry goods in insect/rodent proof containers at time of inspection.,CRITICAL,47.61 (e),
DC24669,02/27/2014,Child care service fails to provide and/or maintain child illness/injury record.,GENERAL,47.29 (d),
DC24669,02/27/2014,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.,GENERAL,47.37 (b)(1),
DC2133,12/04/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC15142,12/05/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2090,04/29/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1826,04/03/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC19116,04/03/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC19406,05/21/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC17640,05/21/2014,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,
DC608,11/07/2013,Child care service staff identified/acting as group teachers do not meet the required qualifications of the position.,GENERAL,47.13 (d),CORRECTED
DC608,11/07/2013,Child care service failed to conduct business and employment reference checks of staff/volunteers.,GENERAL,47.19 (i),CORRECTED
DC608,11/07/2013,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),CORRECTED
DC608,11/07/2013,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC608,11/07/2013,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.,GENERAL,47.37 (b)(1),CORRECTED
DC1577,12/16/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC18383,02/27/2014,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.,CRITICAL,47.59 (d),CORRECTED
DC11656,05/02/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1623,02/04/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC22849,05/21/2014,Approved maximum child capacity not documented on permit.,PUBLIC HEALTH HAZARD,47.05 (a)*,
DC22849,05/21/2014,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.,CRITICAL,47.59 (d),
DC1624,04/24/2014,Child care service not free of pests or maintains pest harborage conditions at time of inspection.,CRITICAL,47.51 (a),
DC1624,04/24/2014,At time of inspection it was determined that child care service failed to take appropriate action to keep facility free of pests or conditions conducive to pests. Child care service fails to maintain extermination service log.,GENERAL,47.51 (b),
DC1624,04/24/2014,Required food protection procedures were not implemented at time of inspection. Holder of food protection certificate was not on site during hours of food preparation activity.,PUBLIC HEALTH HAZARD,47.61 (a)*,
DC1624,04/24/2014,Food packages observed not maintained. Food observed exposed to spoilage/contamination at time of inspection. Food observed being served that is not suitable for consumption.,CRITICAL,81.07 (b),CORRECTED
DC12272,05/08/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),
DC12272,05/08/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC22406,11/22/2013,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC22406,11/22/2013,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),CORRECTED
DC23211,03/27/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC23211,03/27/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC23212,12/12/2013,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC23212,12/12/2013,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),CORRECTED
DC23212,12/12/2013,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC2118,05/28/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1701,04/17/2013,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),
DC1701,04/17/2013,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC22379,09/10/2013,At time of inspection it was determined that plumbing was not installed by a licensed plumber; plumbing cross connection or other hazard observed that may result in the contamination of the potable water supply; Lead content of water has not been tested.,CRITICAL,47.43 (a),CORRECTED
DC22379,09/10/2013,Appropriate outdoor play area not provided or maintained at the time of inspection.,GENERAL,47.47 (a),CORRECTED
DC22379,09/10/2013,At time of inspection trash and garbage observed not stored in appropriate containers with tight fitting lids.,GENERAL,47.49 (b),CORRECTED
DC22379,09/10/2013,"At time of inspection children were observed occupying space not previously approved by the Dept of Buildings, FDNY and/or DOHMH.",CRITICAL,47.57 (f),CORRECTED
DC22379,09/10/2013,Required food protection procedures were not implemented at time of inspection. Holder of food protection certificate was not on site during hours of food preparation activity.,PUBLIC HEALTH HAZARD,47.61 (a)*,CORRECTED
DC14499,10/29/2013,At time of inspection it was observed that child care service failed to provide appropriate guards on designated structures/equipment to protect children from potential injury.,CRITICAL,47.41 (h),CORRECTED
DC14499,10/29/2013,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC14499,10/29/2013,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC14499,10/29/2013,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC14499,10/29/2013,"At time of inspection children were observed occupying space not previously approved by the Dept of Buildings, FDNY and/or DOHMH.",CRITICAL,47.57 (f),CORRECTED
DC14499,10/29/2013,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC14499,10/29/2013,Required food protection procedures were not implemented at time of inspection. Holder of food protection certificate was not on site during hours of food preparation activity.,PUBLIC HEALTH HAZARD,47.61 (a)*,CORRECTED
DC267,10/09/2013,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.,CRITICAL,47.23 (e),CORRECTED
DC267,10/09/2013,"Appropriate and clean cots, linens and other sleeping arrangements not provided by child care service at time of inspection.",CRITICAL,47.55 (b),CORRECTED
DC267,10/09/2013,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.,CRITICAL,47.59 (d),CORRECTED
DC1661,05/15/2014,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,
DC1661,05/15/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),
DC1661,05/15/2014,"Appropriate and clean cots, linens and other sleeping arrangements not provided by child care service at time of inspection.",CRITICAL,47.55 (b),
DC1773,01/17/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC11,03/24/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC61,02/20/2014,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.,CRITICAL,47.23 (e),CORRECTED
DC61,02/20/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC61,02/20/2014,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC25590,04/17/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),
DC25590,04/17/2014,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC25590,04/17/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC25590,04/17/2014,"Appropriate and clean cots, linens and other sleeping arrangements not provided by child care service at time of inspection.",CRITICAL,47.55 (b),CORRECTED
DC25590,04/17/2014,Required food protection procedures were not implemented at time of inspection. Holder of food protection certificate was not on site during hours of food preparation activity.,PUBLIC HEALTH HAZARD,47.61 (a)*,CORRECTED
DC25894,04/17/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),
DC2876,04/30/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC19895,03/07/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC422,03/07/2014,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC21879,05/22/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC21878,05/22/2014,Restriction on milk service not complied with at time of inspection.,GENERAL,47.61 (b)(3),
DC2210,04/08/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC2210,04/08/2014,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),CORRECTED
DC2210,04/08/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC2210,04/08/2014,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.,GENERAL,47.37 (b)(1),CORRECTED
DC2210,04/08/2014,All teachers have not received training in infectious disease control and reporting.,GENERAL,47.37(b)(2),CORRECTED
DC14187,01/15/2014,At time of inspection required hand wash signs were not provided.,GENERAL,47.35 (b),CORRECTED
DC14187,01/15/2014,At time of inspection hallways and other means of egress were observed obstructed and impassable.,PUBLIC HEALTH HAZARD,47.41 (f)*,CORRECTED
DC14187,01/15/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC14187,01/15/2014,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),CORRECTED
DC14187,01/15/2014,Fire extinguishers observed not to be inspected or maintained at time of inspection.,PUBLIC HEALTH HAZARD,47.59 (b)+*,CORRECTED
DC14187,01/15/2014,Adequate lighting not provided in food prep area at time of inspection. Foods observed not protected from contamination from light fixture/bulb damage at time of inspection.,GENERAL,81.19 (a)(b),CORRECTED
DC1478,01/15/2014,Permittee/applicant submitted incomplete written safety plan.,CRITICAL,47.11 (b),CORRECTED
DC1478,01/15/2014,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC1478,01/15/2014,Fire extinguishers observed not to be inspected or maintained at time of inspection.,PUBLIC HEALTH HAZARD,47.59 (b)+*,CORRECTED
DC31738,03/21/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC22824,03/26/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC24602,03/26/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC25650,04/14/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC22707,04/23/2014,Child care service failed to designate/identify a qualified Education Director.,CRITICAL,47.13 (c),
DC22707,04/23/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),
DC22707,04/23/2014,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.,GENERAL,47.37 (b)(1),
DC24779,05/05/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),
DC24779,05/05/2014,"Appropriate and clean cots, linens and other sleeping arrangements not provided by child care service at time of inspection.",CRITICAL,47.55 (b),
DC24778,08/08/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC20249,05/07/2014,Child care service failed to maintain required staff to child supervision ratios at time of inspection.,PUBLIC HEALTH HAZARD,47.23 (f)*,CORRECTED
DC20249,05/07/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC20249,05/07/2014,At time of inspection toxic substances observed improperly stored so as to result in the potential for exposure or contamination of facility surfaces.,CRITICAL,47.49 (c),CORRECTED
DC20249,05/07/2014,Required food protection procedures were not implemented at time of inspection. Holder of food protection certificate was not on site during hours of food preparation activity.,PUBLIC HEALTH HAZARD,47.61 (a)*,CORRECTED
DC20249,05/07/2014,Milk observed stored at a temperature above 41 deg. F at time of inspection. Milk observed stored in child care service beyond the expiration date.,PUBLIC HEALTH HAZARD,47.61 (d)*,CORRECTED
DC23196,05/07/2014,Child care service failed to maintain required staff to child supervision ratios at time of inspection.,PUBLIC HEALTH HAZARD,47.23 (f)*,CORRECTED
DC23196,05/07/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC23196,05/07/2014,At time of inspection toxic substances observed improperly stored so as to result in the potential for exposure or contamination of facility surfaces.,CRITICAL,47.49 (c),CORRECTED
DC23196,05/07/2014,Required food protection procedures were not implemented at time of inspection. Holder of food protection certificate was not on site during hours of food preparation activity.,PUBLIC HEALTH HAZARD,47.61 (a)*,CORRECTED
DC20489,04/24/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC20490,05/06/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC24741,05/16/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC754,05/23/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC178,01/10/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC178,01/10/2014,At time of inspection inside temperature of between 68 deg. F. and 72 deg. F. was not maintained when outside temperature registered below 55 deg. F.,CRITICAL,47.57 (d),CORRECTED
DC24753,05/15/2014,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),
DC24753,05/15/2014,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC24752,05/15/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC24751,02/28/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),
DC24751,02/28/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC804,12/04/2013,Child care service failed to conduct business and employment reference checks of staff/volunteers.,GENERAL,47.19 (i),CORRECTED
DC21184,05/09/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC21184,05/09/2014,Child care service failed to conduct business and employment reference checks of staff/volunteers.,GENERAL,47.19 (i),CORRECTED
DC21184,05/09/2014,At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.,CRITICAL,47.25 (a)(1),CORRECTED
DC21184,05/09/2014,"At time of inspection children's medical files were not provided, were incomplete or were not maintained.",GENERAL,47.25 (d),CORRECTED
DC21184,05/09/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC14467,04/02/2014,Child care service fails to store dry goods in insect/rodent proof containers at time of inspection.,CRITICAL,47.61 (e),
DC18019,05/30/2014,At time of inspection child care service unable to document that all children enrolled have had age appropriate immunizations unless a child is exempt.,CRITICAL,47.25 (a)(2),
DC18019,05/30/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC1212,01/17/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC14870,02/20/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC19590,04/17/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),
DC18770,12/18/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC937,03/11/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC19048,02/25/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC10945,05/08/2014,At time of inspection toxic substances observed improperly stored so as to result in the potential for exposure or contamination of facility surfaces.,CRITICAL,47.49 (c),CORRECTED
DC10945,05/08/2014,At time of inspection it was determined that child care service failed to take appropriate action to keep facility free of pests or conditions conducive to pests. Child care service fails to maintain extermination service log.,GENERAL,47.51 (b),CORRECTED
DC654,03/27/2014,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC654,03/27/2014,Required food protection procedures were not implemented at time of inspection. Holder of food protection certificate was not on site during hours of food preparation activity.,PUBLIC HEALTH HAZARD,47.61 (a)*,CORRECTED
DC2265,05/21/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC16674,05/29/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),
DC18586,03/20/2014,At time of inspection it was observed that child care service failed to provide appropriate guards on designated structures/equipment to protect children from potential injury.,CRITICAL,47.41 (h),CORRECTED
DC18586,03/20/2014,At time of inspection it was determined/observed that food service worker not provided with appropriate food thermometer during food prep.,GENERAL,81.09 (i),
DC22754,05/14/2014,Criminal and child abuse screening documentation not submitted during application process.,CRITICAL,47.07 (c),
DC22754,05/14/2014,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,
DC22754,05/14/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),
DC10599,01/14/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC14436,04/22/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1628,10/02/2013,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.,CRITICAL,47.23 (e),CORRECTED
DC1628,10/02/2013,Child care service failed to maintain required staff to child supervision ratios at time of inspection.,PUBLIC HEALTH HAZARD,47.23 (f)*,CORRECTED
DC1628,10/02/2013,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC1628,10/02/2013,"Written behavior management policy not provided at time of inspection, distributed to staff or made available to parents.",GENERAL,47.67 (c)+,CORRECTED
DC2698,06/02/2014,Child care service operating without a permit; Permit expired.,PUBLIC HEALTH HAZARD,47.03 (a)*,
DC2698,06/02/2014,At time of inspection child care service failed to provide sufficient number of toilets and sinks for the number of children in attendance.,CRITICAL,47.43 (b)+,
DC2698,06/02/2014,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,
DC14447,05/13/2014,Required food protection procedures were not implemented at time of inspection. Holder of food protection certificate was not on site during hours of food preparation activity.,PUBLIC HEALTH HAZARD,47.61 (a)*,
DC133,11/19/2013,Windows excluding fire escape windows in a child care service observed without window guards in a child care service.,PUBLIC HEALTH HAZARD,47.41 (e)+*,CORRECTED
DC133,11/19/2013,At time of inspection it was observed that child care service failed to provide appropriate guards on designated structures/equipment to protect children from potential injury.,CRITICAL,47.41 (h),CORRECTED
DC133,11/19/2013,At time of inspection it was observed in the child care service that a bathroom/closet or other enclosed space has a locking mechanism solely operable from inside the space.,CRITICAL,47.41 (i)+,CORRECTED
DC133,11/19/2013,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC133,11/19/2013,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC133,11/19/2013,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC133,11/19/2013,"Appropriate and clean cots, linens and other sleeping arrangements not provided by child care service at time of inspection.",CRITICAL,47.55 (b),CORRECTED
DC133,11/19/2013,Adequate space/arrangement to provide separate storage areas for children's outer garments not provided or maintained at time of inspection.,CRITICAL,47.55 (c),CORRECTED
DC133,11/19/2013,"At time of inspection children were observed occupying space not previously approved by the Dept of Buildings, FDNY and/or DOHMH.",CRITICAL,47.57 (f),CORRECTED
DC133,11/19/2013,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC133,11/19/2013,Fire extinguishers observed not to be inspected or maintained at time of inspection.,PUBLIC HEALTH HAZARD,47.59 (b)+*,CORRECTED
DC133,11/19/2013,Beverages with added sweeteners observed being served to children at time of inspection.,GENERAL,47.61 (b)(1),CORRECTED
DC19367,01/15/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC21182,02/06/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1221,02/27/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC14123,02/19/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC14124,02/19/2014,Outdoor play area was observed not maintained nor free of hazards or nuisances at time of inspection.,CRITICAL,47.47 (e),CORRECTED
DC12227,02/27/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2811,09/26/2013,Windows excluding fire escape windows in a child care service observed without window guards in a child care service.,PUBLIC HEALTH HAZARD,47.41 (e)+*,CORRECTED
DC2811,09/26/2013,At time of inspection it was observed that child care service failed to provide appropriate guards on designated structures/equipment to protect children from potential injury.,CRITICAL,47.41 (h),CORRECTED
DC2811,09/26/2013,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC14403,10/16/2013,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC19518,05/01/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC21987,09/24/2013,At time of inspection hallways and other means of egress were observed obstructed and impassable.,PUBLIC HEALTH HAZARD,47.41 (f)*,CORRECTED
DC21987,09/24/2013,Fire extinguishers observed not to be inspected or maintained at time of inspection.,PUBLIC HEALTH HAZARD,47.59 (b)+*,CORRECTED
DC23099,03/26/2014,At time of inspection required hand wash signs were not provided.,GENERAL,47.35 (b),
DC23099,03/26/2014,At time of inspection toxic substances observed improperly stored so as to result in the potential for exposure or contamination of facility surfaces.,CRITICAL,47.49 (c),CORRECTED
DC23099,03/26/2014,At time of inspection it was determined/observed that food service worker not provided with appropriate food thermometer during food prep.,GENERAL,81.09 (i),
DC3018,03/03/2014,All teachers have not received training in infectious disease control and reporting.,GENERAL,47.37(b)(2),CORRECTED
DC1152,05/12/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC18862,09/11/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC18861,05/30/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC21794,01/02/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC21795,01/02/2014,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.,CRITICAL,47.23 (e),CORRECTED
DC21823,02/04/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC21824,07/03/2013,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC1351,01/14/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2592,01/15/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC3083,05/01/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC3060,04/03/2014,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC3060,04/03/2014,Fire extinguishers observed not to be inspected or maintained at time of inspection.,PUBLIC HEALTH HAZARD,47.59 (b)+*,CORRECTED
DC23141,01/15/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC11884,02/12/2014,At time of inspection required hand wash signs were not provided.,GENERAL,47.35 (b),CORRECTED
DC11884,02/12/2014,Required smoke and carbon monoxide detectors not provided or maintained at time of inspection.,CRITICAL,47.59 (g),CORRECTED
DC11884,02/12/2014,Walls and ceiling observed constructed of inappropriate materials. Walls and ceilings not maintained at time of inspection.,GENERAL,81.21 (f),CORRECTED
DC18689,04/03/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1554,05/13/2014,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC1554,05/13/2014,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),CORRECTED
DC18006,05/08/2014,At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.,CRITICAL,47.25 (a)(1),
DC18006,05/08/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),
DC18006,05/08/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC18006,05/08/2014,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.,GENERAL,47.37 (b)(1),
DC15291,02/11/2014,At time of inspection hallways and other means of egress were observed obstructed and impassable.,PUBLIC HEALTH HAZARD,47.41 (f)*,CORRECTED
DC15611,02/11/2014,At time of inspection heating apparatus was observed being used without appropriate guards. Restricted space heater observed being used.,PUBLIC HEALTH HAZARD,47.59 (e)+*,CORRECTED
DC15611,02/11/2014,At time of inspection it was determined/observed that food service worker not provided with appropriate food thermometer during food prep.,GENERAL,81.09 (i),
DC18923,05/08/2014,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.,GENERAL,47.37 (b)(1),
DC17169,12/18/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC17817,12/12/2013,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
