Site ID,Center Name,Permit Holder,Address,Borough,Zip Code,Phone,Permit Number,Permit Expiration Date,Permit Status,Age Range,Maximum Capacity,Certified to Administer Medication,Site Type
DC2256,EARLY CHILDHOOD LEARNING CENTER PROGRAMS,LA GUARDIA COMMUNITY COLLEGE -ECLC PROGRAMS INC,31-10 THOMSON AVENUE,QUEENS,11101,718-482-5295,7063,11/17/2014,Permitted,0 YEARS - 2 YEARS,30,No,Private
DC24612,EARLY LIFE,LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK,110 WEST 146TH STREET,MANHATTAN,10039,646-478-7949,24818,10/12/2014,Permitted,2 YEARS - 5 YEARS,110,Yes,ACS Contracted Preschools
DC24609,EARLY LIFE,LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK,1175 GATES AVENUE,BROOKLYN,11221,212-870-1100,24538,10/10/2014,Permitted,2 YEARS - 5 YEARS,136,No,ACS Contracted Preschools
DC24614,EARLY LIFE,"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC.",151-157 WEST 136TH STREET,MANHATTAN,10030,212-933-1815,24797,10/12/2014,Permitted,2 YEARS - 5 YEARS,66,No,ACS Contracted Preschools
DC24607,EARLY LIFE,LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK,200 WEST TREMONT AVENUE,BRONX,10453,917-962-4344,26157,10/24/2014,Permitted,2 YEARS - 5 YEARS,175,Yes,ACS Contracted Preschools
DC22393,EARLY LIFE,"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC.",2125 WATSON AVENUE,BRONX,10472,718-943-0580,28757,12/06/2014,Permitted,2 YEARS - 5 YEARS,115,No,ACS Contracted Preschools
DC24615,EARLY LIFE,LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK,218 WEST 147TH STREET,MANHATTAN,10039,646-360-4093,26578,10/26/2014,Permitted,2 YEARS - 5 YEARS,264,No,ACS Contracted Preschools
DC24610,EARLY LIFE,"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC.",265 MARCUS GARVEY BLVD.,BROOKLYN,11221,347-689-8303,24777,10/12/2014,Permitted,2 YEARS - 5 YEARS,116,No,ACS Contracted Preschools
DC24613,EARLY LIFE,"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC.",510-516 WEST 145TH STREET,MANHATTAN,10031,646-449-0814,26441,10/25/2014,Permitted,2 YEARS - 5 YEARS,149,No,ACS Contracted Preschools
DC24606,EARLY LIFE,"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC.",80 EAST 181ST STREET,BRONX,10453,718-365-6247,26737,10/31/2014,Permitted,2 YEARS - 5 YEARS,240,Yes,ACS Contracted Preschools
DC24608,EARLY LIFE,LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK,888 WESTCHESTER AVENUE,BRONX,10459,718-450-3556,26118,10/24/2014,Permitted,2 YEARS - 5 YEARS,145,Yes,ACS Contracted Preschools
DC2975,EARLY SUNRISE PRESCHOOL AND KINDERGARTEN,"EARLY SUNRISE PRE-SCHOOL AND KINDERGARTEN,INC.",187-08 HILLSIDE AVENUE,QUEENS,11432,718-736-9064,6827,10/25/2014,Permitted,2 YEARS - 5 YEARS,29,No,Private
DC1178,"EARLY SUNRISE PRESCHOOL&KINDERGARTEN,INC.","EARLY SUNRISE PRESCHOOL&KINDERGARTEN,INC.",187-10 HILLSIDE AVENUE,QUEENS,11432,718-736-9064,7000,07/07/2014,Permitted,2 YEARS - 5 YEARS,29,No,Private
DC18943,EAST BRONX DAY CARE,TREMONT CROTONA DAY CARE CENTER INC.,1113 COLGATE AVENUE,BRONX,10472,718-617-2900,7942,09/12/2014,Permitted,2 YEARS - 5 YEARS,80,No,ACS Contracted Preschools
DC1493,EAST CALVARY DAY CARE CENTER INC.,EAST CALVARY DAY CARE CENTER INC.,1 WEST 112 STREET,MANHATTAN,10026,212-534-5249,1483,03/27/2015,Permitted,2 YEARS - 5 YEARS,59,No,ACS Contracted Preschools
DC2419,EAST CHELSEA CHILDRENS WORKSHOP,JACQUELYN MARKS,17 EAST 16 STREET,MANHATTAN,10003,212-691-8964,4869,07/15/2015,Permitted,2 YEARS - 5 YEARS,29,No,Private
DC1242,EAST HARLEM BILINGUAL   HEAD START,"EAST HARLEM COUNCIL FOR HUMAN SERVICES,INC.",440 EAST 116 STREET,MANHATTAN,10029,212-427-9010,4529,10/26/2014,Permitted,2 YEARS - 5 YEARS,160,No,ACS Head Start
DC1285,EAST HARLEM BLOCK  NURSERY #2,EAST HARLEM BLOCK SCHOOLS,2112 MADISON AVENUE,MANHATTAN,10037,212-234-3333,879,05/04/2014,Expired-InRenewal,2 YEARS - 5 YEARS,79,No,ACS Contracted Preschools
DC2153,EAST HARLEM BLOCK NURSERY #1,"EAST HARLEM BLOCK NURSERY,INC.",215 EAST 106 STREET,MANHATTAN,10029,212-427-2571,2261,07/02/2015,Permitted,2 YEARS - 5 YEARS,56,No,ACS Contracted Preschools
DC21651,EAST HARLEM BLOCK NURSERY/GRANT DAY CARE CENTER,"EAST HARLEM BLOCK NURSERY, INC.",1299 AMSTERDAM AVENUE,MANHATTAN,10027,212-666-6000,8281,05/23/2015,Permitted,2 YEARS - 5 YEARS,68,No,ACS Contracted Preschools
DC11067,EAST HARLEM COUNCIL FOR HUMAN SERVICES INC.BILINGUAL HEAD START,EAST HARLEM COUNCIL FOR HUMAN SERVICES INC.,30 EAST 111 STREET,MANHATTAN,10029,212-860-7201,6385,01/24/2015,Permitted,2 YEARS - 5 YEARS,87,No,ACS Head Start
DC1785,EAST MIDWOOD HEBREW DAY SCHOOL,RABBI HARRY HALPERN DAY SCHOOL,1256 EAST 21 STREET,BROOKLYN,11210,718-253-1555,1465,10/28/2014,Permitted,2 YEARS - 5 YEARS,83,No,Private
DC2635,EAST RIVER CHILD DEVELOPMENT CENTER,EAST RIVER CHILD DEVELOPMENT CENTER,570 GRAND STREET,MANHATTAN,10002,212-254-7301,6952,02/29/2016,Permitted,2 YEARS - 5 YEARS,37,No,Private
DC1446,EAST RIVER CHILD DEVELOPMENT CENTER,EAST RIVER CHILD DEVELOPMENT CENTER,577 GRAND STREET,MANHATTAN,10002,212-254-7300,4149,07/18/2015,Permitted,2 YEARS - 5 YEARS,77,No,Private
DC181,EAST SIDE HOUSE SETTLEMENT HEAD START/DAY CARE,EAST SIDE HOUSE SETTLEMENT,201 ST. ANN'S AVENUE,BRONX,10454,718-993-4854,4636,07/17/2014,Permitted,2 YEARS - 5 YEARS,27,No,ACS Head Start
DC182,EAST SIDE HOUSE SETTLEMENT HEAD START/DAY CARE,EAST SIDE HOUSE SETTLEMENT,375 EAST 143RD STREET,BRONX,10454,718-292-5335,2094,11/10/2014,Permitted,2 YEARS - 5 YEARS,80,No,ACS Head Start
DC14111,EAST SIDE SETTLEMENT HOUSE HEAD START/ DAY CARE,EAST SIDE HOUSE SETTLEMENT,414 MORRIS AVENUE,BRONX,10451,718-401-4242,7400,06/28/2015,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools
DC1643,EAST TREMONT CHILD CARE AND DEVELOPMENT CENTER,EAST TREMONT CHILD CARE AND DEVELOPMENT CENTER,1811 CROTONA AVENUE,BRONX,10457,718-731-4166,1956,08/17/2014,Permitted,2 YEARS - 5 YEARS,60,Yes,ACS Contracted Preschools
DC979,"EAST TREMONT HEAD START ALUMNI DCC, INC./ PAUL T. MATSON HEAD START SITE I I I",EAST TREMONT HEAD START ALUMNI DCC,2431 MORRIS AVENUE,BRONX,10468,718-563-5139,6209,09/10/2015,Permitted,2 YEARS - 5 YEARS,55,Yes,ACS Contracted Preschools
DC1484,EAST VILLAGE CHILD CARE CENTER,EAST VILLAGE CHILD CARE CENTER,297 EAST 10 STREET,MANHATTAN,10009,212-982-8701,5039,02/06/2016,Permitted,2 YEARS - 5 YEARS,15,No,Private
DC17787,EASTER SEALS CHILD DEVELOPMENT CENTER,"EASTER SEALS NEW YORK, INC.",2433 EAST TREMONT AVENUE,BRONX,10461,718-409-4227,7815,10/15/2015,Permitted,2 YEARS - 5 YEARS,121,Yes,ACS Contracted Preschools
DC15104,ECDO  CHILDSTART CENTER,ECUMENICAL COMMUNITY DEVELOPMENT ORGANIZATION,249 WEST 144TH STREET,MANHATTAN,10030,212-234-8135,7439,09/23/2015,Permitted,2 YEARS - 5 YEARS,69,No,ACS Head Start
DC1832,EDEN CHRISTIAN ACADEMY & EARLY CHILDHOOD CENTER,EDEN CHRISTIAN ACADEMY & EARLY CHILDHOOD CENTER,1509 MORRIS AVENUE,BRONX,10457,718-684-2962,7142,03/08/2016,Permitted,2 YEARS - 5 YEARS,27,No,Private
DC2095,EDUCATIONAL ALLIANCE  HEAD START,THE EDUCATIONAL ALLIANCE,333 EAST 4 STREET,MANHATTAN,10009,212-254-2614,7272,02/26/2015,Permitted,2 YEARS - 5 YEARS,40,No,Head Start (Direct Fed. Funding)
DC1642,EDWARDS L. CLEAVELAND DAY CARE CENTER,BROOKLYN KINDERGARTEN SOCIETY,1185 PARK PLACE,BROOKLYN,11213,718-778-6559,1848,02/27/2015,Permitted,2 YEARS - 5 YEARS,74,No,ACS Contracted Preschools
DC18141,EFFIE B'S EARLY CHILDHOOD DEVELOPMENT CENTER,EFFIE B'S EARLY CHILDHOOD DEVELOPMENT CENTER CORP.,1173 EASTERN PARKWAY,BROOKLYN,11213,718-735-5500,8096,11/16/2015,Permitted,0 YEARS - 2 YEARS,28,No,Private
DC20208,"EFFIE B'S EARLY CHILDHOOD DEVELOPMENT CENTER, PRESCHOOL",EFFIE B'S EARLY CHILDHOOD DEVELOPMENT CENTER CORP.,1173 EASTERN PARKWAY,BROOKLYN,11213,718-735-5500,8095,11/16/2015,Permitted,2 YEARS - 5 YEARS,35,No,Private
DC25918,EL SHADDAI INTERNATIONAL,VIOLET APPLEWHITE,1475 HAMMERSLEY AVENUE,BRONX,10469,718-515-5004,52818,10/04/2015,Permitted,2 YEARS - 5 YEARS,95,No,Private
DC22613,ELADIA'S  KIDS,ELADIA'S KIDS PARENT LLC,266 FLATBUSH AVENUE,BROOKLYN,11217,718-230-7560,21817,08/31/2014,Permitted,2 YEARS - 5 YEARS,42,No,Private
DC15647,ELADIA'S KIDS,ELADIA'S KIDS PARENT LLC,147 5TH AVENUE,BROOKLYN,11217,718-622-3316,7767,06/11/2015,Permitted,0 YEARS - 2 YEARS,18,No,Private
DC23039,ELADIA'S KIDS,"ELADIA'S KIDS PARENT, LLC",175 VANDERBILT AVENUE,BROOKLYN,11205,718-230-7560,43797,06/14/2015,Permitted,0 YEARS - 2 YEARS,14,No,Private
DC23041,ELADIA'S KIDS,ELADIA'S KIDS PARENT LLC,175 VANDERBILT AVENUE,BROOKLYN,11205,718-522-6361,43777,06/14/2015,Permitted,2 YEARS - 5 YEARS,35,No,Private
DC20505,ELADIA'S KIDS,ELADIA'S KIDS PARENTS LLC,266 FLATBUSH AVENUE,BROOKLYN,11217,718-230-7560,8186,06/10/2016,Permitted,0 YEARS - 2 YEARS,27,No,Private
DC17543,ELADIA'S KIDS PRESCHOOL,ELADIA'S KIDS PARENT LLC,147 5TH AVENUE,BROOKLYN,11217,718-633-3316,7786,08/07/2015,Permitted,2 YEARS - 5 YEARS,16,No,Private
DC434,ELF DAY CARE CENTER,ELF SERVICES LLC,550 OCEAN PARKWAY,BROOKLYN,11218,718-871-4301,7285,08/02/2015,Permitted,0 YEARS - 2 YEARS,18,No,Private
DC14457,ELF SERVICES DAY CARE CENTER,"ELF SERVICES, LLC",550 OCEAN PARKWAY,BROOKLYN,11218,718-871-4301,7283,08/02/2014,Permitted,2 YEARS - 5 YEARS,78,No,Private
DC2750,ELISHAMA CHILDREN'S PREP SCHOOL,ELISHAMA CHILDREN'S PREP SCHOOL,206-18 HOLLIS AVENUE,QUEENS,11429,718-468-8744,6469,08/29/2015,Permitted,2 YEARS - 5 YEARS,72,No,Private
DC14381,ELITE DAY CARE LEARNING CENTER,"KONVA,INC.",4239 RICHMOND AVENUE,STATEN ISLAND,10312,718-608-1833,7581,11/25/2014,Permitted,2 YEARS - 5 YEARS,26,No,Private
DC17243,ELITE DAY CARE LEARNING CENTER,"KONVA,INC.",990 HYLAN BLVD,STATEN ISLAND,10305,718-448-5075,7915,09/02/2014,Permitted,2 YEARS - 5 YEARS,61,No,Private
DC21975,ELIZABETH SETON PRE-SCHOOL,NEW YORK FOUNDLING,245 EAST 92ND  STREET,MANHATTAN,10128,212-369-9626,15457,04/26/2014,Expired-InRenewal,2 YEARS - 5 YEARS,70,No,Private
DC397,ELLA BAKER / CHARLES ROMAIN CHILD DEVELOPMENT CENTER,"ELLA BAKER/CHARLES ROMAIN CHILD DEVELOPMENT CENTER, INC.",1150 CARROLL STREET,BROOKLYN,11225,718-270-6017,5121,11/10/2013,Expired-InRenewal,2 YEARS - 5 YEARS,29,No,Private
DC19699,EMILIA'S KIDS,EMILIA'S KIDS INC,84-03 57TH AVENUE,QUEENS,11373,718-899-9060,8232,11/18/2014,Permitted,2 YEARS - 5 YEARS,35,No,Private
DC947,EMMANUEL DAY CARE CENTER KINDERGARTEN,EMMANUEL BAPTIST CHURCH,279 LAFAYETTE AVENUE,BROOKLYN,11238,718-622-1233,1760,09/28/2015,Permitted,2 YEARS - 5 YEARS,30,No,Private
DC14234,EPIPHANY COMMUNITY NURSERY SCHOOL,EPIPHANY COMMUNITY NURSERY SCHOOL,510 EAST 74TH STREET,MANHATTAN,10021,212-737-2977,6488,04/07/2014,Expired-InRenewal,2 YEARS - 5 YEARS,123,No,Private
DC22345,EPISCOPAL SOCAL SERVICES EARLY HEADSTART,EPISCOPAL SOCIAL SERVICES,500 BERGEN AVENUE,BRONX,10455,718-401-5192,23717,10/01/2014,Permitted,2 YEARS - 5 YEARS,65,No,ACS Contracted Preschools
DC16726,EPISCOPAL SOCIAL SERVICE THERAPEUTIC NURSERY SCHOOL,"EPISCOPAL SOCIAL SERVICE OF NEW YORK, INC.",2289 5TH AVENUE,MANHATTAN,10037,212-283-3100,7839,11/08/2015,Permitted,2 YEARS - 5 YEARS,64,No,ACS Contracted Preschools
DC15234,EPISCOPAL SOCIAL SERVICES EARLY HEAD START,EPISCOPAL SOCIAL SERVICES,500 BERGEN AVENUE,BRONX,10455,718-401-5192,7637,09/08/2014,Permitted,0 YEARS - 2 YEARS,36,No,Head Start (Direct Fed. Funding)
DC24687,EPISCOPAL SOCIAL SERVICES/LENOX AVENUE,"EPISCOPAL SOCIAL SERVICES, INC.",669 LENOX AVENUE,MANHATTAN,10037,212-491-8501,24557,10/11/2014,Permitted,2 YEARS - 5 YEARS,136,No,ACS Contracted Preschools
DC25953,ESCALERA HEAD START,THE CHILD CENTER OF NEW YORK,169 WEST 87TH STREET,MANHATTAN,10024,212-799-2440,52257,09/19/2015,Permitted,2 YEARS - 5 YEARS,52,No,ACS Head Start
DC20894,ESCUELA HISPANA  MONTESSORI,ESCUELA HISPANA MONTESSORI,180 SUFFOLK STREET,MANHATTAN,10002,212-982-6650,8173,05/25/2014,Expired-InRenewal,2 YEARS - 5 YEARS,201,No,ACS Head Start
DC2294,ESCUELA HISPANA MONTESSORI HEAD START,ESCUELA HISPANA MONTESSORI,185 AVENUE D,MANHATTAN,10009,212-982-6651,6968,07/14/2014,Permitted,2 YEARS - 5 YEARS,89,No,ACS Head Start
DC24696,ESS WILLIAMSBURG EARLY CHILDHOOD DEVELOPMENT CENTER,"EPISCOPAL SOCIAL SERVICES OF NEW YORK, INC.",110 TAYLOR STREET,BROOKLYN,11249,347-943-7682,26218,10/24/2014,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools
DC14228,ESTHER  ASHKENAS CENTRAL PARK EARLY LEARNING CENTER,"NYSARC, INC. NEW YORK CITY CHAPTER",15 WEST 65TH STREET,MANHATTAN,10023,212-787-5400,5892,04/02/2014,Expired-InRenewal,2 YEARS - 5 YEARS,162,No,Private
DC10516,EUREKA NURSERY & DAY CARE,EUREKA NURSERY & DAY CARE,2502 CLARENDON ROAD,BROOKLYN,11226,718-284-2155,7347,05/10/2016,Permitted,2 YEARS - 5 YEARS,25,No,Private
DC14603,EXCEL  PRESCHOOL INFANT/TODDLER PROGRAM,DR. SYNG Y. KWAK,2144 RICHMOND AVENUE,STATEN ISLAND,10314,718-370-3784,7152,11/01/2015,Permitted,0 YEARS - 2 YEARS,6,No,Private
DC2935,EXCEL PRESCHOOL,SYNG YONG KWAK,2144 RICHMOND AVENUE,STATEN ISLAND,10314,718-370-3784,6859,12/21/2014,Permitted,2 YEARS - 5 YEARS,30,No,Private
DC84,F.V.M. BETHEL DAY CARE (I/T),"FERNANDE VALME MINISTRIES, INC. (I/T)",1120 FLATBUSH AVENUE,BROOKLYN,11226,718-824-1809,7220,09/21/2015,Permitted,0 YEARS - 2 YEARS,9,No,Private
DC14724,F.V.M. BETHEL DAY CARE (P.S.),"FERNANDE VALME MINISTRIES, INC.",1120 FLATBUSH AVENUE,BROOKLYN,11226,718-284-1809,7221,10/03/2015,Permitted,2 YEARS - 5 YEARS,19,No,Private
DC10606,"FACES OF THE FUTURE DAY CARE CENTER, LLC","FACES OF THE FUTURE DAY CARE CENTER, LLC",5302 CLARENDON RD,BROOKLYN,11203,718-451-9474,7226,04/05/2016,Permitted,2 YEARS - 5 YEARS,26,No,Private
DC26207,"FACES OF THE FUTURE EARLY LEARNING CENTER, LLC.","FACES OF THE FUTURE EARLY LEARNING CENTER, LLC",1080 UTICA AVENUE,BROOKLYN,11203,646-409-8030,59057,03/18/2016,Permitted,2 YEARS - 5 YEARS,30,No,Private
DC1814,FAITH CHRISTIAN ACADEMY,1137 E. 223RD STREET CORPORATION,1137 EAST 223 STREET,BRONX,10466,718-881-1085,6514,09/29/2015,Permitted,2 YEARS - 5 YEARS,18,No,Private
DC14424,FALU  FOUNDATION,"DR. FALU FOUNDATION, INC.",333 EAST 118 STREET,MANHATTAN,10035,212-828-6699,7520,01/03/2016,Permitted,2 YEARS - 5 YEARS,11,No,Private
DC2639,FAMILY  SCHOOL  WEST,THE MONTESSORI FAMILY SCHOOL OF MANHATTAN,308 WEST 46 STREET,MANHATTAN,10036,212-582-1240,5645,01/20/2015,Permitted,2 YEARS - 5 YEARS,28,No,Private
DC21658,FAMILY CENTER AT BROOKLYN FRIENDS,BROOKLYN FRIENDS SCHOOL,189 SCHERMERHORN STREET,BROOKLYN,11201,718-852-1029,8399,09/29/2015,Permitted,2 YEARS - 5 YEARS,36,No,Private
DC184,FAMILY HEAD START,NATIONAL ASSOCIATION OF FAMILY DEVELOPMENT CENTERS,293 NEPTUNE AVENUE,BROOKLYN,11235,718-332-8524,5076,11/08/2014,Permitted,2 YEARS - 5 YEARS,192,No,ACS Head Start
DC14754,FAMILY HEAD START,NATIONAL ASSOCIATION OF FAMILY DEVELOPMENT CENTERS,3017 GLENWOOD ROAD,BROOKLYN,11210,718-859-7720,4595,11/09/2014,Permitted,2 YEARS - 5 YEARS,133,No,ACS Head Start
DC10755,FAMILY HEAD START/ EARLY LEARN,"NATIONAL ASSOCIATION OF FAMILY DEVELOPMENT CENTERS, INC.",8885 26 AVENUE,BROOKLYN,11214,718-258-7767,5800,07/14/2015,Permitted,2 YEARS - 5 YEARS,69,No,ACS Head Start
DC776,FANTASIA DAY CARE CENTER,"FANTASM, INC.",2743 OCEAN AVENUE,BROOKLYN,11229,718-646-6738,6134,03/31/2016,Permitted,2 YEARS - 5 YEARS,53,No,Private
DC416,FARBER-BRUCH EARLY CHILDHOOD CENTER,"EDITH & CARL MARKS JEWISH COMMUNITY HOUSE OF BENSONHURST, INC",7802 BAY PARKWAY,BROOKLYN,11214,718-943-6333,1567,09/28/2015,Permitted,2 YEARS - 5 YEARS,55,No,Private
DC21449,"FED KIDS CHILD CARE CENTER, MANAGED BY BRIGHT HORIZONS","BRIGHT HORIZONS CHILDREN'S CENTER, L L C",26 FEDERAL PLAZA,MANHATTAN,10007,212-264-4277,8332,11/01/2014,Permitted,2 YEARS - 5 YEARS,58,No,Private
DC21450,"FED KIDS CHILD CARE CENTER, MANAGED BY BRIGHT HORIZONS","BRIGHT HORIZONS CHILDREN'S CENTER, L L C",26 FEDERAL PLAZA,MANHATTAN,10007,212-264-4277,8242,11/01/2014,Permitted,0 YEARS - 2 YEARS,51,No,Private
DC21851,FIAF A PETIS PAS PRESCHOOL,FRENCH INSTITUTE ALLIANCE FRANCAISE,22 EAST 60TH STREET,MANHATTAN,10022,212-355-6100,22557,09/14/2014,Permitted,2 YEARS - 5 YEARS,15,No,Private
DC21764,FINGER PAINTED HANDS PRESCHOOL,"FINGER PAINTED HANDS, INC.",126 WEST 83RD STREET,MANHATTAN,10024,212-595-5200,32077,02/05/2015,Permitted,2 YEARS - 5 YEARS,22,No,Private
DC1355,FIRST  PRESBYTERIAN CHURCH,CIRCLE OF FRIENDS EARLY LEARNING CENTER,41-54 MURRAY STREET,QUEENS,11355,718-359-3993,5288,11/30/2015,Permitted,2 YEARS - 5 YEARS,20,No,Private
DC1024,"FIRST CHOICE ACADEMY DAY CARE, INC.","FIRST CHOICE ACADEMY DAY CARE, INC.",192 EAST 58TH STREET,BROOKLYN,11203,718-451-3565,6686,07/21/2015,Permitted,2 YEARS - 5 YEARS,51,No,Private
DC2658,FIRST FRIENDS PRE-SCHOOL,FIRST FRIENDS PRE-SCHOOL INC.,245 WEST 74 STREET,MANHATTAN,10023,212-769-1088,5213,09/29/2014,Permitted,2 YEARS - 5 YEARS,26,No,Private
DC1876,FIRST IMPRESSIONS NURSERY SCHOOL,"STEPHANIE,NORMA, AND FAY TROWERS",2513 BEDFORD AVENUE,BROOKLYN,11226,718-469-9792,5824,03/16/2014,Expired-InRenewal,2 YEARS - 5 YEARS,29,No,Private
DC2422,FIRST PRESBYTERIAN CHURCH NURSERY SCHOOL,THE FIRST PRESBYTERIAN CHURCH IN THE CITY OF N.Y.,12 WEST 12 STREET,MANHATTAN,10011,212-691-3432,1957,03/21/2016,Permitted,2 YEARS - 5 YEARS,79,Yes,Private
DC12360,FIRST STAR DAY CARE LEARNING CENTER - INFANT/TODDLER,FIRST STAR DAY CARE LEARNING CENTER - INFANT/TODDLER,145-88 GUY R BREWER BOULEVARD,QUEENS,11434,718-528-3363,7016,04/13/2015,Permitted,0 YEARS - 2 YEARS,10,No,Private
DC17299,FIRST STEPPING STONES,FIRST STEPPING STONE LLC,4017 CHURCH AVENUE,BROOKLYN,11203,347-309-9493,8055,08/15/2015,Permitted,2 YEARS - 5 YEARS,10,No,Private
DC22082,FIRST STEPS AT CLINTON,FIRST STEPS AT CLINTON,19 CLINTON STREET,MANHATTAN,10002,212-792-5770,8838,11/23/2015,Permitted,2 YEARS - 5 YEARS,25,No,Private
DC23034,FIRST STEPS AT CLINTON,FIRST STEPS AT CLINTON,19 CLINTON STREET,MANHATTAN,10002,212-792-5770,24657,10/12/2014,Permitted,0 YEARS - 2 YEARS,18,No,Private
DC17594,FIRST STEPS DAY CARE CENTER,"LATINO PASTORAL ACTION CENTER, INC.",15 EAST CLARKE PLACE,BRONX,10452,347-591-3711,8048,08/14/2015,Permitted,2 YEARS - 5 YEARS,40,No,Private
DC26046,FIRSTSTEPNYC@PS/IS 41,SCO FAMILY OF SERVICES,411 THATFORD STREET,BROOKLYN,11212,347-758-0433,51758,09/09/2015,Permitted,0 YEARS - 2 YEARS,28,No,Private
DC25613,FIRSTSTEPNYC@PS41FRANCIS WHITE,SCO FAMILY OF SERVICES,411 THATFORD AVENUE,BROOKLYN,11212,718-485-0295,51759,09/09/2015,Permitted,2 YEARS - 5 YEARS,52,No,Corporate
DC1648,FIVE STAR DAY CARE CENTER,"SOUTHEAST BRONX NEIGHBORHOOD CENTERS, INC.",3261 3 AVENUE,BRONX,10456,718-292-4774,4663,05/18/2015,Permitted,2 YEARS - 5 YEARS,100,Yes,ACS Contracted Preschools
DC31777,FIVE STARS CHILDCARE INC,FIVE STARS CHILDCARE INC.,2546 EAST 7 STREET,BROOKLYN,11235,718-513-4002,66218,06/09/2016,Permitted,2 YEARS - 5 YEARS,27,No,Private
DC2237,FLUSHING YMCA EARLY CHILDHOOD PROGRAM,FLUSHING Y.M.C.A. EARLY CHILDHOOD CENTER,138-46 NORTHERN BOULEVARD,QUEENS,11354,718-551-9356,4448,08/31/2015,Permitted,2 YEARS - 5 YEARS,60,No,Private
DC11813,FOOTSTEPS CHILDCARE INC.,FOOTSTEPS CHILDCARE INC.,1125 BROADWAY,BROOKLYN,11221,718-443-0236,7434,09/07/2015,Permitted,2 YEARS - 5 YEARS,42,No,Private
DC14510,FOOTSTEPS CHILDCARE INC.,FOOTSTEPS CHILDCARE INC.,1125 BROADWAY,BROOKLYN,11221,718-443-0236,7435,09/07/2015,Permitted,0 YEARS - 2 YEARS,18,No,Private
DC14283,FOR KIDS ONLY  DAY CARE,"FOR KIDS ONLY DAY CARE, INC.",902 MORRIS PARK AVENUE,BRONX,10462,718-823-8345,6890,09/12/2015,Permitted,2 YEARS - 5 YEARS,15,No,Private
DC14213,FOR KIDS ONLY DAY CARE,FOR KIDS ONLY DAY CARE INC.,900 MORRIS PARK AVENUE,BRONX,10462,718-823-8345,7456,09/12/2015,Permitted,2 YEARS - 5 YEARS,30,No,Private
DC26109,FOR KIDS ONLY DAY CARE,FOR KIDS ONLY DAY CARE,902 MORRIS PARK AVENUE,BRONX,10462,718-823-8345,53197,10/17/2015,Permitted,0 YEARS - 2 YEARS,34,No,Private
DC60,FOR KIDS ONLY DAY CARE,"FOR KIDS ONLY DAY CARE, INC.",904 MORRIS PARK AVENUE,BRONX,10462,718-823-8345,6892,06/25/2015,Permitted,2 YEARS - 5 YEARS,20,No,Private
DC2345,FOREST HILLS JEWISH CENTER NURSERY SCHOOL AND KINDERGARTEN,"FOREST HILLS JEWISH CENTER, INC",106-06 QUEENS BOULEVARD,QUEENS,11375,718-263-7000,1857,05/31/2014,Expired-InRenewal,2 YEARS - 5 YEARS,150,No,Private
DC2346,FOREST HILLS MONTESSORI,FOREST HILLS MONTESSORI SCHOOL,67-04 AUSTIN STREET,QUEENS,11375,718-275-0173,5615,07/01/2015,Permitted,2 YEARS - 5 YEARS,60,No,Private
DC1358,FOREST HILLS NURSERY AND KINDERGARTEN,FOREST HILLS NURSERY AND KINDERGARTEN,108-56 69 AVENUE,QUEENS,11375,718-544-3692,4429,05/17/2016,Permitted,2 YEARS - 5 YEARS,26,No,Private
DC1214,FOREST HILLS WEST SCHOOL,NEW YORK LEAGUE FOR EARLY LEARNING- FOREST HILLS WEST SCHOOL,63-25 DRY HARBOR ROAD,QUEENS,11379,718-639-9750,6629,02/02/2015,Permitted,2 YEARS - 5 YEARS,113,Yes,Private
DC10526,"FOREVER YOUNG DAY CARE, INC.",FOREVER YOUNG DAY CARE INC.,4503 AVENUE D,BROOKLYN,11203,718-451-5050,6991,08/25/2014,Permitted,2 YEARS - 5 YEARS,35,No,Private
DC24908,FORT GREENE CHILDREN & FAMILY SERVICES EARLY HEAD START,"NORTHSIDE CENTER FOR CHILD DEVELOPMENT, INC.",44-60 ROCKWELL PLACE,BROOKLYN,11217,347-505-5500,29217,12/13/2014,Permitted,0 YEARS - 2 YEARS,67,No,Private
DC24913,FORT GREENE CHILDREN'S & FAMILY SERVICES HEAD START,"NORTHSIDE CENTER FOR CHILD DEVELOPMENT, INC.",44-60 ROCKWELL PLACE,BROOKLYN,11217,347-505-5500,28497,12/04/2014,Permitted,2 YEARS - 5 YEARS,140,No,Private
