Site ID,Visit Date,Visit Type,Summary
DC21843,05/06/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC14183,06/02/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service failed to provide sufficient number of toilets and sinks for the number of children in attendance.
DC22112,04/02/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC22114,08/22/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC22511,02/28/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.
DC22515,03/27/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC21024,05/07/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to provide or maintain record of staff immunizations.
DC22025,04/24/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,At time of inspection it was determined that individual associated with child care service/camp involved in an act detrimental to health and safety.
DC20289,02/27/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service fails to provide and/or maintain child illness/injury record.
DC19890,02/20/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.
DC21215,12/06/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,At time of inspection child care service unable to document that all children enrolled have had age appropriate immunizations unless a child is exempt.
DC20597,05/09/2014,PUBLIC HEALTH SANITATION INSPECTION,Child care service observed utilizing chairs and other equipment not of suitable size for children in attendance on day of inspection.
DC14184,11/26/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service staff identified/acting as group teachers do not meet the required qualifications of the position.
DC22026,12/04/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to provide or maintain record of staff immunizations.
DC17746,11/27/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.
DC22356,No visit found in database.,,
DC25422,No visit found in database.,,
DC20994,03/10/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC20993,03/27/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC18794,06/04/2014,PUBLIC HEALTH SANITATION INSPECTION,Safe sleep environment not provided in infant toddler service; safe sleep environment does not comply with US CPSC and ASTM standards.
DC19899,05/09/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC25423,No visit found in database.,,
DC22107,05/22/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.
DC14926,02/05/2014,PUBLIC HEALTH SANITATION INSPECTION,Child care service staff identified/acting as group teachers do not meet the required qualifications of the position.
DC17682,02/05/2014,PUBLIC HEALTH SANITATION INSPECTION,Permittee conducted facility renovations and/or modified the terms of the permit without prior approval from DOHMH.
DC14788,06/03/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection hallways and other means of egress were observed obstructed and impassable.
DC21025,05/07/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to provide or maintain record of staff immunizations.
DC22101,05/22/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.
DC18400,06/04/2014,PUBLIC HEALTH SANITATION INSPECTION,Required smoke and carbon monoxide detectors not provided or maintained at time of inspection.
DC24669,02/27/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.
DC2133,12/04/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC15142,12/05/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC2090,04/29/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC1826,04/03/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC19116,04/03/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC19406,05/21/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC17640,05/21/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.
DC608,11/07/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to provide or maintain record of staff immunizations.
DC1577,12/16/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC18383,02/27/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.
DC11656,05/02/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC1623,02/04/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC22849,05/21/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.
DC1624,04/24/2014,PUBLIC HEALTH SANITATION INSPECTION,Food packages observed not maintained. Food observed exposed to spoilage/contamination at time of inspection. Food observed being served that is not suitable for consumption.
DC12272,05/08/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.
DC22406,11/22/2013,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.
DC23211,03/27/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to provide or maintain record of staff immunizations.
DC23212,12/12/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.
DC2118,05/28/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC1701,04/17/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to provide or maintain record of staff immunizations.
DC22379,09/10/2013,PUBLIC HEALTH SANITATION INSPECTION,"At time of inspection children were observed occupying space not previously approved by the Dept of Buildings, FDNY and/or DOHMH."
DC14499,10/29/2013,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.
DC267,10/09/2013,PUBLIC HEALTH SANITATION INSPECTION,"Appropriate and clean cots, linens and other sleeping arrangements not provided by child care service at time of inspection."
DC1661,05/15/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.
DC1773,01/17/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC11,03/24/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC61,02/20/2014,PUBLIC HEALTH SANITATION INSPECTION,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.
DC25590,04/17/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.
DC25894,04/17/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.
DC25280,No visit found in database.,,
DC2876,04/30/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC19895,03/07/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC422,03/07/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.
DC21879,05/22/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC21878,05/22/2014,PUBLIC HEALTH SANITATION INSPECTION,Restriction on milk service not complied with at time of inspection.
DC2210,04/08/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,All teachers have not received training in infectious disease control and reporting.
DC14187,01/15/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.
DC1478,01/15/2014,PUBLIC HEALTH SANITATION INSPECTION,Permittee/applicant submitted incomplete written safety plan.
DC31738,03/21/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC22824,03/26/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC24602,03/26/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC25650,04/14/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC22707,04/23/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to designate/identify a qualified Education Director.
DC24779,05/05/2014,PUBLIC HEALTH SANITATION INSPECTION,"Appropriate and clean cots, linens and other sleeping arrangements not provided by child care service at time of inspection."
DC24778,08/08/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC20249,05/07/2014,PUBLIC HEALTH SANITATION INSPECTION,Child care service failed to maintain required staff to child supervision ratios at time of inspection.
DC23196,05/07/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.
DC20489,04/24/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC20490,05/06/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC24741,05/16/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC754,05/23/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC178,01/10/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection inside temperature of between 68 deg. F. and 72 deg. F. was not maintained when outside temperature registered below 55 deg. F.
DC24753,05/15/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.
DC24752,05/15/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC24751,02/28/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.
DC804,12/04/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to conduct business and employment reference checks of staff/volunteers.
DC21184,05/09/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to conduct business and employment reference checks of staff/volunteers.
DC14467,04/02/2014,PUBLIC HEALTH SANITATION INSPECTION,Child care service fails to store dry goods in insect/rodent proof containers at time of inspection.
DC18019,05/30/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to provide or maintain record of staff immunizations.
DC1212,01/17/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC14870,02/20/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC19590,04/17/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.
DC18770,12/18/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC937,03/11/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to provide or maintain record of staff immunizations.
DC19048,02/25/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC10945,05/08/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection toxic substances observed improperly stored so as to result in the potential for exposure or contamination of facility surfaces.
DC654,03/27/2014,PUBLIC HEALTH SANITATION INSPECTION,Exits and other egress not provided with required signage at time of inspection.
DC2265,05/21/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC16674,05/29/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.
DC18586,03/20/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection it was determined/observed that food service worker not provided with appropriate food thermometer during food prep.
DC22754,05/14/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.
DC10599,01/14/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC14436,04/22/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC1628,10/02/2013,PUBLIC HEALTH SANITATION INSPECTION,"Written behavior management policy not provided at time of inspection, distributed to staff or made available to parents."
DC2698,06/02/2014,PUBLIC HEALTH SANITATION INSPECTION,Child care service operating without a permit; Permit expired.
DC14447,05/13/2014,PUBLIC HEALTH SANITATION INSPECTION,Required food protection procedures were not implemented at time of inspection. Holder of food protection certificate was not on site during hours of food preparation activity.
DC133,11/19/2013,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection it was observed in the child care service that a bathroom/closet or other enclosed space has a locking mechanism solely operable from inside the space.
DC19367,01/15/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC21182,02/06/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC1221,02/27/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC14123,02/19/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC14124,02/19/2014,PUBLIC HEALTH SANITATION INSPECTION,Outdoor play area was observed not maintained nor free of hazards or nuisances at time of inspection.
DC12227,02/27/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC2811,09/26/2013,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection it was observed that child care service failed to provide appropriate guards on designated structures/equipment to protect children from potential injury.
DC14403,10/16/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.
DC19518,05/01/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to provide or maintain record of staff immunizations.
DC21987,09/24/2013,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection hallways and other means of egress were observed obstructed and impassable.
DC23099,03/26/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection it was determined/observed that food service worker not provided with appropriate food thermometer during food prep.
DC3018,03/03/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,All teachers have not received training in infectious disease control and reporting.
DC1152,05/12/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC18862,09/11/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC18861,05/30/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC21794,01/02/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC21795,01/02/2014,PUBLIC HEALTH SANITATION INSPECTION,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.
DC21823,02/04/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.
DC21824,07/03/2013,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.
DC1351,01/14/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC2592,01/15/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC3083,05/01/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC3060,04/03/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.
DC23141,01/15/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC11884,02/12/2014,PUBLIC HEALTH SANITATION INSPECTION,Required smoke and carbon monoxide detectors not provided or maintained at time of inspection.
DC18689,04/03/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC1554,05/13/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.
DC18006,05/08/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to provide or maintain record of staff immunizations.
DC15291,02/11/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection hallways and other means of egress were observed obstructed and impassable.
DC15611,02/11/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection heating apparatus was observed being used without appropriate guards. Restricted space heater observed being used.
DC18923,05/08/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.
DC17169,12/18/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC17817,12/12/2013,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.
DC15549,05/20/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC1263,03/10/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC24674,03/17/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.
DC24673,11/08/2013,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.
DC16955,12/12/2013,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection toxic substances observed improperly stored so as to result in the potential for exposure or contamination of facility surfaces.
DC2971,05/28/2014,PUBLIC HEALTH SANITATION INSPECTION,Exits and other egress not provided with required signage at time of inspection.
DC14324,05/28/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC10976,05/01/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.
DC14867,02/19/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC21575,12/12/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC2338,05/30/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC20738,02/18/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC10856,02/26/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC10542,01/29/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.
DC11686,12/04/2013,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.
DC20562,02/04/2014,PUBLIC HEALTH SANITATION INSPECTION,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.
DC21530,05/23/2014,PUBLIC HEALTH SANITATION INSPECTION,Child care service/camp obstructed DOHMH staff from conducting duties of the Department at the time of inspection.
DC3012,05/29/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection unwholesome food; food not in compliance with nutritional guidelines or of inadequate serving size was observed being served.
DC21128,05/14/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.
DC1306,06/02/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC1268,04/03/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to provide or maintain record of staff immunizations.
DC3006,10/03/2013,PUBLIC HEALTH SANITATION INSPECTION,Outdoor play area was observed not maintained nor free of hazards or nuisances at time of inspection.
DC14296,05/16/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.
DC14295,09/24/2013,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.
DC1566,03/25/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC3046,03/04/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC2139,05/27/2014,PUBLIC HEALTH SANITATION INSPECTION,Individual certified in food protection not on site during periods of food preparation.
DC22047,11/06/2013,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.
DC22048,11/06/2013,PUBLIC HEALTH SANITATION INSPECTION,Individual certified in food protection not on site during periods of food preparation.
DC20047,01/14/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.
DC424,12/03/2013,PUBLIC HEALTH SANITATION INSPECTION,Windows excluding fire escape windows in a child care service observed without window guards in a child care service.
DC11861,01/17/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC11863,10/16/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC10532,01/23/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to provide or maintain record of staff immunizations.
DC21848,01/31/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC25921,No visit found in database.,,
DC12245,03/28/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection required hand wash signs were not provided.
DC14730,05/20/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Children observed engaged in periods of TV watching in excess of restrictions. Inappropriate program content observed being watched by children.
DC14812,03/28/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC1029,05/20/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC12244,03/28/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.
DC10533,03/28/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection required hand wash signs were not provided.
DC21625,09/19/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC3058,12/04/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC11969,02/06/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.
DC11692,01/27/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC19852,01/24/2014,PUBLIC HEALTH SANITATION INSPECTION,Inadequate temperature of final rinse observed resulting in lack of sanitization of required dishware.
DC14624,05/22/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.
DC14623,03/05/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC12369,11/06/2013,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.
DC2613,10/22/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC14380,05/13/2014,PUBLIC HEALTH SANITATION INSPECTION,Fire extinguishers observed not to be inspected or maintained at time of inspection.
DC2417,11/06/2013,PUBLIC HEALTH SANITATION INSPECTION,Exits and other egress not provided with required signage at time of inspection.
DC3137,01/30/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC14172,05/20/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.
DC1166,12/05/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC180,01/24/2014,PUBLIC HEALTH SANITATION INSPECTION,Proper ventilation not provided or maintained at time of inspection. Indoor air quality nuisance allowed to exist at time of inspection.
DC1349,04/30/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC2680,05/21/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to provide or maintain record of staff immunizations.
DC1154,12/11/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC19175,05/06/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC1705,02/25/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC22475,12/03/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC20606,12/03/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to provide or maintain record of staff immunizations.
DC1265,08/21/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC2156,11/07/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC10977,09/24/2013,PUBLIC HEALTH SANITATION INSPECTION,Outdoor play area was observed not maintained nor free of hazards or nuisances at time of inspection.
DC3086,12/11/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC809,04/28/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.
DC17107,01/08/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC21585,04/03/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC22457,04/03/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC2937,01/13/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC10752,03/06/2014,PUBLIC HEALTH SANITATION INSPECTION,Exits and other egress not provided with required signage at time of inspection.
