Center Name,Permit Holder,Address,Borough,Zip Code,Phone,Permit Number,Permit Expiration Date,Permit Status,Age Range,Maximum Capacity,Certified to Administer Medication,Site Type,Total Maximum Capacity,Lat,Lon
CHAI TOTS PRESCHOOLTODDLERS / CHAI TOTS PRESCHOOL,THE RABBINICAL COMMITTEE OF BROWNSTONE BROOKLYN INC / THE RABBINICAL COMMITTEE OF BROWNSTONE BROOKLYN INC,70 PROSPECT PARK WEST,BROOKLYN,11215,718-499-0836 / 718-499-0836,7884 / 7013,04/08/2014 / 04/18/2014,  Permitted /   Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,10 / 28,No / No,Private / Private,38,40.668522,-73.97386
CHAI TOTS PRESCHOOL OF WINDSOR TERRACE TODDLER / CHAI TOTS PRESCHOOL  OF WINDSOR TERRACE PRESCHOOL ,RABBINICAL COMMITTEE OF BROWNSTONE BROOKLYN INC/CHAI TOTS PRESCHOOL OF WINDSOR TERRACETODDLER / RABBINICAL COMMITTEE OF BROWNSTONE BROOKLYNINC,1266 PROSPECT AVENUE,BROOKLYN,11218,718-633-3979 / 718-633-3979,7918 / 7919,09/09/2014 / 09/09/2014,  Permitted /   Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,8 / 22,No / No,Private / Private,30,40.652284,-73.976427
CHAI TOTS PRESCHOOL OF PROSPECT HEIGHTS  PRESCHOOL  / CHAI TOTS PRESCHOOL OF PROSPECT HEIGHTS  I/T,THE RABBINICAL COMMITTEE OF BROWNSTONE BROOKLYN INC / THE RABBINICAL COMMITTEE OF BROWNSTONE BROOKLYNINC,852 CLASSON AVENUE,BROOKLYN,11238,718-399-3979 / 718-399-3979,7807 / 7806,10/15/2015 / 10/15/2015,  Permitted /   Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,15 / 7,No / No,Private / Private,22,40.67184080000001,-73.961314
CHALLENGE EARLY INTERVENTION CENTER,CONGREGATION ATERES MORDECHI,1911 RICHMOND AVENUE,STATEN ISLAND,10314,718-972-0880,7922,09/02/2014,  Permitted,2 YEARS - 5 YEARS,10,No,Private,10,40.601223,-74.16268
CHALLENGE EARLY INTERVENTION CENTER,CONGREGATION ATERES MORDECHAI,649 39TH STREET,BROOKLYN,11232,718-851-3300,7654,09/13/2015,  Permitted,2 YEARS - 5 YEARS,49,No,Private,49,40.64908,-73.999843
CHARISMA CHRISTIAN ACADEMY,CHARISMA CHRISTIAN ACADEMY,921 EAST 107 STREET,BROOKLYN,11236,718-272-0505,7178,12/21/2013,  Expired-InRenewal,2 YEARS - 5 YEARS,26,No,Private,26,40.6477647,-73.8925035
CHARLES R DREW EARLY LEARNING,QUEENS COUNTY EDUCATORS FOR TOMORROWINC,109-45 207 STREET,QUEENS,11429,718-740-2400,4008,09/12/2015,  Permitted,2 YEARS - 5 YEARS,120,No,ACS Contracted Preschools,120,40.707866,-73.750169
CHARLES R DREW EARLY LEARNING CENTER  2 AT STARLIGHT,QUEENS COUNTY EDUCATORS FOR TOMORROW,165-15 ARCHER AVENUE,QUEENS,11433,718-523-7500,26238,10/24/2014,  Permitted,2 YEARS - 5 YEARS,70,No,ACS Contracted Preschools,70,40.704452,-73.79347
CHARLES R DREW EARLY LEARNING CENTER AT COMMUNITY COLLEGE CHILD CARE CENTER,QUEENS COUNTY EDUCATOR FOR TOMORROW INC,2804-06 GLENWOOD ROAD,BROOKLYN,11210,718-740-2400,26758,11/01/2014,  Permitted,2 YEARS - 5 YEARS,52,No,ACS Contracted Preschools,52,40.63393300000001,-73.94988400000001
CHELSEA DAY SCHOOL,CHELSEA DAY SCHOOL INC,319 5TH AVENUE,MANHATTAN,10016,212-675-8541,7814,10/11/2015,  Permitted,2 YEARS - 5 YEARS,120,No,Private,120,40.7471677,-73.9852422
CHELSEA PIERS PRE-SCHOOL / CHELSEA PIERS I/T,CHELSEA PIERS LP / CHELSEA PIERSLP,111A 11TH AVENUE,MANHATTAN,10011,212-336-6500 / 212-336-6500,7459 / 7552,08/22/2013 / 08/17/2013,  Expired-InRenewal /   Expired-InRenewal,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,45 / 17,Yes / Yes,Private / Private,62,40.7464665,-74.0079204
CHERRY DAY CARE CENTER,CHERRY DAY CARE CENTER INC,43-43 BOWNE STREET,QUEENS,11355,718-445-5090,6843,12/17/2014,  Permitted,2 YEARS - 5 YEARS,36,No,Private,36,40.754762,-73.81885299999999
CHICKPEAS CHILD CARE INC,CHICKPEAS CHILD CARE CENTER INC,451 7TH AVENUE,BROOKLYN,11215,718-788-6604,7663,11/13/2014,  Permitted,2 YEARS - 5 YEARS,20,No,Private,20,40.662765,-73.98467500000001
THE CHILD DEVELOPMENT CENTER OF KINGSBOROUGH CC / CHILD DEVELOPMENT CENTER AT KINGSBOROUGH COMMUNITY COLLEGE - I/T,CITY UNIVERSITY OF NEW YORK KINGSBOROUGH COMMUNITY COLLEGE / THE CITY UNIVERSITY OF NEW YORK KINGSBOROUGH COMMUNITY COLLEGE,1915 ORIENTAL BOULEVARD,BROOKLYN,11235,718-368-5868 / 718-368-5439,3050 / 17357,08/30/2014 / 05/31/2014,  Permitted /   Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,30 / 10,No / No,Private / Private,40,40.5784785,-73.9374053
CHILD DEVELOPMENT CENTER AT QUEENS COLLEGE,CHILD DEVELOPMENT CENTER AT QUEENS COLLEGE,65-30 KISSENA BOULEVARD,QUEENS,11367,718-997-5885,5192,08/02/2014,  Permitted,2 YEARS - 5 YEARS,40,Yes,Private,40,40.736296,-73.8161136
CHILD DEVELOPMENT CENTER OF THE JEWISH BOARD OF FAMILY  CHILDRENS SERVICES,JEWISH BOARD OF FAMILY AND CHILDRENS SERVICES INC,34  West 139 Street,MANHATTAN,10037,212-690-7234,8180,09/09/2014,  Permitted,2 YEARS - 5 YEARS,60,No,Private,60,40.815598,-73.937173
CHILD DEVELOPMENT CENTER OF THE MOSHOLU MONTEFIORE COMMUNITY CENTER,MOSHOLU MONTEFIORE COMMUNITY CENTER INC,3450 DEKALB AVENUE,BRONX,10467,718-654-0563,5991,07/06/2014,  Permitted,2 YEARS - 5 YEARS,162,No,ACS Contracted Preschools,162,40.8819332,-73.8804942
CHILD DEVELOPMENT SUPPORT CORPORATION HEAD START,CHILD DEVELOPMENT SUPPORT CORPORATION INC,802 KENT AVENUE,BROOKLYN,11205,718-222-8203,7198,02/05/2014,  Expired-InRenewal,2 YEARS - 5 YEARS,53,No,Head Start Direct Fed Funding,53,40.697023,-73.9602342
CHILD PRODIGY LEARNING,CHILD PRODIGY LEARNING INC,1001 BROADWAY,BROOKLYN,11221,718-574-7558,7478,10/17/2015,  Permitted,2 YEARS - 5 YEARS,73,No,Private,73,40.6961455,-73.9334286
CHILD PRODIGY LEARNING CENTER II INC / CHILD PRODIGY LEARNING CENTER II INC,CHILD PRODIGY LEARNING CENTER II INC / CHILD PRODIGY LEARNING CENTER INC,311 SARATOGA AVENUE,BROOKLYN,11233,718-485-5515 / 718-485-5515,8227 / 8226,09/04/2014 / 02/22/2015,  Permitted /   Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,13 / 16,No / No,ACS Contracted Preschools / Private,29,40.675173,-73.916314
CHILDREN AT PLAY EARLY INTERVENTION CENTER,CHILDREN AT PLAY EARLY INTERVENTION CENTERINC,40 MERRILL AVENUE,STATEN ISLAND,10314,718-370-7529,5967,12/28/2014,  Permitted,2 YEARS - 5 YEARS,24,No,Private,24,40.6098817,-74.1620327
CHILDREN OF THE FUTURE DAY CARE INC  2,CHILDREN OF THE FUTURE DAY CARE INC 2,5711 FLATLANDS AVENUE,BROOKLYN,11234,718-676-6444,16437,05/15/2014,  Permitted,2 YEARS - 5 YEARS,27,No,Private,27,40.6304046,-73.92121379999999
CHILDRENS AID SOCIETY - DREW HAMILTON DAYCARE,THE CHILDRENS AID SOCIETY,2672 FREDERICK DOUGLAS BLVD,MANHATTAN,10030,212-281-9555,6441,04/14/2014,  Permitted,2 YEARS - 5 YEARS,74,Yes,ACS Contracted Preschools,74,40.8210776,-73.9431914
CHILDRENS AID SOCIETY - TAFT DAY CARE CENTER,THE CHILDRENS AID SOCIETY,1724-26 MADISON AVENUE,MANHATTAN,10029,212-831-0556,6226,10/09/2015,  Permitted,2 YEARS - 5 YEARS,55,Yes,ACS Contracted Preschools,55,40.79853689999999,-73.94628019999999
CHILDRENS AID SOCIETY EAST HARLEM CENTER HEAD START,THE CHILDRENS AID SOCIETY,130 EAST 101 STREET,MANHATTAN,10029,212-348-2343,2159,06/18/2014,  Permitted,2 YEARS - 5 YEARS,28,Yes,ACS Head Start,28,40.7891528,-73.94931969999999
CHILDRENS ALL DAY PRE - NURSERY SCHOOL,CHILDRENS ALL DAY PRE-NURSERY,111 EAST 60TH STREET,MANHATTAN,10022,212-752-4566,4748,04/21/2014,  Permitted,0 YEARS - 2 YEARS,21,No,Private,21,40.76349,-73.968636
CHILDRENS ALL DAY SCHOOL,CHILDRENS ALL DAY SCHOOL,109 EAST 60 STREET,MANHATTAN,10022,212-752-4566,4270,10/13/2014,  Permitted,2 YEARS - 5 YEARS,64,No,Private,64,40.763516,-73.968698
CHILDRENS ARK DAY CARE CENTER INC,CHILDRENS ARK DAY CARE CENTER INC,9130 AVENUE L,BROOKLYN,11236,718-513-3876,7070,12/30/2014,  Permitted,2 YEARS - 5 YEARS,25,No,Private,25,40.636111,-73.898853
CHILDRENS BIG APPLE,CHILDRENS BIG APPLE,37-03 94 STREET,QUEENS,11372,718-565-5311,4952,05/02/2015,  Permitted,2 YEARS - 5 YEARS,90,No,Private,90,40.750703,-73.872788
CHILDRENS BIG APPLE EARLY CHILDHOOD CTRINC,CHILDRENS BIG APPLE EARLY CHILDHOOD CENTER INC,41-26 CASE STREET,QUEENS,11373,718-651-6919,6957,01/18/2016,  Permitted,2 YEARS - 5 YEARS,18,No,Private,18,40.746667,-73.873634
CHILDRENS CENTER OF JOHN JAY COLLEGE / CHILDRENS CENTER OF JOHN JAY COLLEGE,CHILDRENS CENTER OF JOHN JAY COLLEGE / CHILDRENS CENTER OF JOHN JAY COLLEGE,860 11TH AVENUE,MANHATTAN,10019,212-237-8310 / 212-237-8310,47619 / 47618,07/11/2015 / 07/11/2015,  Permitted /   Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,34 / 28,No / No,Private / Private,62,40.7712452,-73.99048789999999
CHILDRENS CORNER,UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,565 LIVONIA AVENUE,BROOKLYN,11207,718-346-3470,8059,08/17/2013,  Expired-InRenewal,2 YEARS - 5 YEARS,188,Yes,ACS Contracted Preschools,188,40.664662,-73.896258
CHILDRENS CORNER,CHILDRENS CORNER OF BROOKLYN LTD,69 STRATFORD ROAD,BROOKLYN,11218,718-287-9611,4850,05/12/2014,  Permitted,2 YEARS - 5 YEARS,40,No,Private,40,40.647259,-73.969211
CHILDRENS CORNER LEARNING CENTER / CHILDRENS CORNER LEARNING CENTER,CENTER MANAGEMENT ASSOCIATES INC / CENTER MANAGEMENT ASSOCIATES INC,1200 WATERS PLACE,BRONX,10461,718-239-1062 / 718-239-1062,7497 / 7496,10/25/2015 / 10/20/2015,  Permitted /   Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,57 / 56,Yes / No,Private / Private,113,40.8527621,-73.8369719
CHILDRENS GROWING PLACE,CENTER FOR THE ELIMINATION OF VIOLENCE IN THE FAMILY,362 51 Street,BROOKLYN,11220,718-439-4612,5571,10/19/2014,  Permitted,2 YEARS - 5 YEARS,15,No,ACS Contracted Preschools,15,40.6460409,-74.013864
CHILDRENS HARBOR MONTESSORI SCHOOL,CHILDRENS HARBOR MONTESSORI SCHOOL,1000 RICHMOND TERRACE,STATEN ISLAND,10301,718-442-6112,51778,09/10/2015,  Permitted,2 YEARS - 5 YEARS,80,No,Corporate,80,40.644051,-74.101755
CHILDRENS HERMESHE WORKSHOP,CHILDRENS HEIMESHE WORKSHOP INC,1454 OCEAN PARKWAY,BROOKLYN,11230,718-339-0755,54678,12/02/2015,  Permitted,2 YEARS - 5 YEARS,20,No,Private,20,40.613183,-73.96902899999999
CHILDRENS KINGDOM INC,CHILDRENS KINGDOM INC,3321 AVENUE I,BROOKLYN,11210,718-677-1315,7489,10/06/2015,  Permitted,2 YEARS - 5 YEARS,25,No,Private,25,40.629759,-73.9436489
CHILDRENS KINGDOM INC / CHILDRENS KINGDOM INC,CHILDRENS KINGDOM INC / CHILDRENS KINGDOM INC -,3315 AVENUE I,BROOKLYN,11210,718-677-1315 / 718-677-1315,6713 / 6715,12/13/2015 / 10/07/2015,  Permitted /   Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,24 / 31,No / No,Private / Private,55,40.6295499,-73.9438134
CHILDRENS KINGDOM INC -  I/T / CHILDRENS KINGDOM INC,CHILDRENS KINGDOM INC / CHILDRENS KINGDOM INC,3317 AVENUE I,BROOKLYN,11210,718-677-1315 / 718-677-1315,7629 / 7672,06/09/2015 / 06/07/2015,  Permitted /   Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,10 / 12,No / No,Private / Private,22,40.629754,-73.943794
CHILDRENS KINGDOM INC 3,CHILDRENS KINGDOM INC,3319 AVENUE I,BROOKLYN,11210,718-677-1315,7211,03/06/2014,  Expired-InRenewal,2 YEARS - 5 YEARS,20,No,Private,20,40.629754,-73.94372
CHILDRENS LEARNING CENTER,LEAKE AND WATTS SERVICES INC,310 WEST 103 STREET,MANHATTAN,10025,212-678-9555,8247,01/03/2015,  Permitted,2 YEARS - 5 YEARS,45,No,Private,45,40.8000306,-73.97074590000001
THE CHILDRENS LEARNING CENTER AT MORNINGSIDE HEIGHTS / CHILDRENS LEARNING CENTER INFANT/TODDLER,THE CHILDRENS LEARNING CENTER AT MORNINGSIDE HEIGHTS / THE CHILDRENS LEARNING CENTER AT MORNINGSIDE HEIGHTS,90 LASALLE STREET,MANHATTAN,10027,212-663-9318 / 212-663-9318,6887 / 6888,06/10/2015 / 11/21/2014,  Permitted /   Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,30 / 10,No / No,Private / Private,40,40.8129463,-73.9584685
CHILDRENS LEARNING COMPANY INC,CHILDRENS LEARNING COMPANY INC,210 WEST 233 STREET,BRONX,10463,718-432-1170,7643,09/26/2014,  Permitted,2 YEARS - 5 YEARS,30,No,Private,30,40.8811234,-73.9039864
CHILDRENS PALACE DAY CARE CENTER,CHILDRENS PALACE DAY CARE INC,743 EAST 43 STREET,BROOKLYN,11203,718-284-1290,8053,07/22/2015,  Permitted,2 YEARS - 5 YEARS,34,No,Private,34,40.637169,-73.93536
CHILDRENS PALACE DAY CARE CENTER I/T,CHILDRENS PALACE DAY CARE INC,743 EAST 43RD STREET,BROOKLYN,11203,718-284-1290,8052,07/22/2015,  Permitted,0 YEARS - 2 YEARS,10,No,Private,10,40.637169,-73.93536
CHILDRENS PARADISE DAY CARE INC,CHILDRENS PARADISE DAY CARE INC,600 NEW YORK AVE,BROOKLYN,11203,718-604-4600,7612,06/08/2014,  Permitted,2 YEARS - 5 YEARS,25,No,Private,25,40.6595821,-73.9453592
CHILDRENS PARADISE DAYCARE,CHILDRENS PARADISE DAYCARE INC,942 BERGEN STREET,BROOKLYN,11238,718-398-4400,7761,05/29/2015,  Permitted,2 YEARS - 5 YEARS,25,No,Private,25,40.676632,-73.955964
CHINATOWN  DAY CARE CENTER,CHINATOWN DAY CARE CENTERINC,35-371/2 DIVISION STREET,MANHATTAN,10002,212-431-3845,4914,05/23/2015,  Permitted,2 YEARS - 5 YEARS,160,No,Private,160,40.7144883,-73.99520439999999
CHINATOWN HEAD START,CHINESE COMMUNITY CONCERNS CORP,180 MOTT STREET,MANHATTAN,10012,212-226-5000,7042,08/14/2014,  Permitted,2 YEARS - 5 YEARS,96,No,ACS Head Start,96,40.7205439,-73.995611
CHOO CHOO TRAIN DAY CARE,CHOO CHOO TRAIN DAYCARE INC,539 COURT STREET,BROOKLYN,11231,718-797-9050,7542,01/24/2016,  Permitted,2 YEARS - 5 YEARS,23,No,Private,23,40.67433,-73.99942899999999
CHRIST CHURCH DAY SCHOOL,CHRIST CHURCH DAY SCHOOL,520 PARK AVENUE,MANHATTAN,10065,212-838-3039,1789,02/19/2014,  Expired-InRenewal,2 YEARS - 5 YEARS,75,No,Private,75,40.76389,-73.969628
CHRIST EVANGELICAL CHURCH,CHRIST CHILD CARE CENTER,58-01 BROADWAY,QUEENS,11414,718-205-1425,7715,01/26/2015,  Permitted,2 YEARS - 5 YEARS,35,No,Private,35,40.6568243,-73.8306856
CHRIST THE KING COMMUNITY DAY CARE INFANT/TODDLER / CHRIST THE KING COMMUNITY  PRESCHOOL,CHRIST THE KING CONTINUING EDUCATION INC / CHRIST THE KING CONTINUING EDUCATIONINC,68-02 METROPOLITAN AVENUE,QUEENS,11379,718-417-6770 / 718-417-6770,5867 / 5852,06/29/2015 / 06/25/2014,  Permitted /   Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,56 / 173,Yes / Yes,Private / Private,229,40.710932,-73.88825899999999
CHRIST UNITED METHODIST HEAD START,THE UNITED METHODIST CITY SOCIETY,4419 7 AVENUE,BROOKLYN,11220,718-435-6540,4996,08/17/2014,  Permitted,2 YEARS - 5 YEARS,39,No,ACS Head Start,39,40.6454168,-74.0027976
CHRISTIAN TRAINING RECREATION MINISTRY,CHRISTIAN TRAINING RECREATION MINISTRY,14-25 BEACH CHANNEL DRIVE,QUEENS,11691,718-327-1284,5405,02/19/2014,  Expired-InRenewal,2 YEARS - 5 YEARS,29,No,Private,29,40.6088865,-73.7538524
CHUNG PAK DAY CARE CENTER,CHINESE-AMERICAN PLANNING COUNCIL INC,125 WALKER STREET,MANHATTAN,10013,212-343-9630,5910,08/09/2014,  Permitted,2 YEARS - 5 YEARS,75,No,ACS Contracted Preschools,75,40.7172254,-73.9997601
CHURCH IN THE GARDENS,THE CHURCH IN THE GARDENS NURSERY SCHOOL,50 ASCAN AVENUE,QUEENS,11375,718-268-7980,5561,04/25/2015,  Permitted,2 YEARS - 5 YEARS,56,No,Private,56,40.7179908,-73.8407941
CHURCH OF THE HOLY CHILD PRESCHOOL,ROMAN CATHOLIC CHURCH OF THE HOLY CHILD,4747 AMBOY ROAD,STATEN ISLAND,10312,718-356-5159,8190,07/01/2014,  Permitted,2 YEARS - 5 YEARS,100,No,Private,100,40.54043900000001,-74.17028599999999
CINDERELLA DAY CARE CENTER INC,CINDERELLA DAY CARE CENTER INC,130 BRIGHTON 11 STREET,BROOKLYN,11235,718-743-1841,5531,09/25/2014,  Permitted,2 YEARS - 5 YEARS,37,No,Private,37,40.579791,-73.958173
CIRCLE TRIANGLE SQUARE DAY CARE INC / CIRCLE TRIANGLE SQUARE DAY CARE,CIRCLE TRIANGLE SQUARE DAY CARE INC / CIRCLE TRIANGLE SQUARE DAY CARE INC,2720 86TH STREET,BROOKLYN,11223,718-373-2234 / 718-373-2234,11857 / 11877,02/02/2016 / 02/02/2016,  Permitted /   Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,20 / 8,No / No,Private / Private,28,40.5942657,-73.9811726
CITIZENS CARE DAY CARE CENTER  III,CITIZENS CARE DAY CARE CENTER INC,3240 BROADWAY,MANHATTAN,10027,212-690-0742,4831,09/17/2015,  Permitted,2 YEARS - 5 YEARS,119,No,ACS Contracted Preschools,119,40.8168008,-73.95705439999999
CITIZENS CARE DAY CARE CENTER I,CITIZENS CARE DAY CARE CENTER I,131 ST NICHOLAS AVENUE,MANHATTAN,10026,212-666-1683,2055,03/05/2014,  Expired-InRenewal,2 YEARS - 5 YEARS,40,No,ACS Contracted Preschools,40,40.80413799999999,-73.9533019
CITY AND COUNTRY SCHOOL,CITY AND COUNTRY SCHOOL INC,165 WEST 12 STREET,MANHATTAN,10011,212-242-7802,7002,11/30/2014,  Permitted,2 YEARS - 5 YEARS,66,No,Private,66,40.7369096,-73.99989459999999
CITY COLLEGE CHILD DEVELOPMENT CENTERINC,CITY COLLEGE CHILD DEVELOPMENT CENTERINC,160 CONVENT AVENUE,MANHATTAN,10031,212-650-8616,4035,02/26/2014,  Expired-InRenewal,2 YEARS - 5 YEARS,45,No,Private,45,40.8195475,-73.9495176
CITY OF FAITH CHRISTIAN  ACADEMY,CITY OF FAITH CHURCH OF GOD INC,3453 WHITEPLAINS ROAD,BRONX,10467,718-798-3052,6416,08/30/2015,  Permitted,2 YEARS - 5 YEARS,29,No,Private,29,40.876943,-73.867452
CITY OF FAITH CHRISTIAN ACADEMY  I I,CITY OF FAITH COMMUNITY DEVELOPMENT CORP,3445 WHITE PLAINS RD,BRONX,10467,718-798-3052,7831,10/15/2015,  Permitted,2 YEARS - 5 YEARS,35,No,Private,35,40.8760371,-73.8670159
CITY UNIVERSITY OF NEW YORK SCHOOL OF LAWI/T / CITY UNIVERSITY OF NEW YORK SCHOOL OF LAW P/S,CITY UNIVERSITY OF NEW YORK SCHOOL OF LAW / CITY UNIVERSITY OF NEW YORK SCHOOL OF LAW,23-21 44TH DRIVE,QUEENS,11101,718-340-4468 / 718-340-4468,21597 / 21598,08/28/2014 / 08/28/2014,  Permitted /   Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,5 / 10,No / No,Corporate / Corporate,15,40.74789699999999,-73.943782
CLARK SCHOOL - NEW YORK,CLARKE SCHOOL FOR THE DEAF,80 EAST END AVENUE,MANHATTAN,10028,212-585-3500,6813,01/08/2015,  Permitted,2 YEARS - 5 YEARS,55,No,Private,55,40.7732863,-73.94627489999999
CLARKSON REALTY CORP INC,CLARKSON EARLY CHILDHOOD CENTER,8801 GLENWOOD ROAD,BROOKLYN,11236,718-649-3488,7318,08/10/2014,  Permitted,2 YEARS - 5 YEARS,33,No,Private,33,40.641045,-73.90912399999999
CLOVER CAMPBELL,KIDDIE PREP U,108-10 SUTPHIN BLVD,QUEENS,11435,718-206-1736,8367,08/22/2015,  Permitted,2 YEARS - 5 YEARS,60,No,Private,60,40.692651,-73.799413
CMCS/CONCORD AVENUE HEAD START PROGRAM,CARDINAL MCCLOSKEY SCHOOL AND HOME FOR CHILDREN,560 CONCORD AVENUE,BRONX,10455,718-292-8564,56137,01/22/2016,  Permitted,2 YEARS - 5 YEARS,120,No,ACS Contracted Preschools,120,40.8137382,-73.9075525
CNC CARE CENTER INC,CNC CARE CENTER INC,647 ROGERS AVENUE,BROOKLYN,11226,718-284-0172,6699,09/14/2015,  Permitted,2 YEARS - 5 YEARS,17,Yes,Private,17,40.65571,-73.952731
CO-OP CITY N A A C P DAY CARE CENTER,CO-OP CITY N A A C P DAY CARE CENTER,100 ERSKINE PLACE,BRONX,10475,718-671-8519,2315,03/05/2015,  Permitted,2 YEARS - 5 YEARS,43,No,Private,43,40.861564,-73.82172849999999
COBBLE HILL PLAYSCHOOL INC,COBBLE HILL PLAYSCHOOL INC,653 HICKS STREET,BROOKLYN,11231,718-243-0440,7547,02/03/2016,  Permitted,2 YEARS - 5 YEARS,45,No,Private,45,40.6803257,-74.0029845
COLIN NEWELL EARLY CHILDHOOD DEVELOPMENT CENTERHEAD START,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,161-06 89 AVENUE,QUEENS,11432,718-523-1888,7392,05/23/2015,  Permitted,2 YEARS - 5 YEARS,112,No,ACS Head Start,112,40.7064396,-73.7997606
COLONIAL CHURCH NURSERY SCHOOL,COLONIAL CHURCH OF BAYSIDE,54-02 217 STREET,QUEENS,11364,718-224-3899,2299,05/12/2014,  Permitted,2 YEARS - 5 YEARS,29,No,Private,29,40.7552238,-73.7632929
COLONY-SOUTH BROOKLYN HOUSES INC,COLONY-SOUTH BROOKLYN HOUSES INC,222 GRAHAM AVENUE,BROOKLYN,11206,718-387-9482,4207,01/14/2015,  Permitted,2 YEARS - 5 YEARS,60,No,Private,60,40.70928199999999,-73.9435034
COLUMBIA GREENHOUSE NURSERY SCHOOL,COLUMBIA GREENHOUSE NURSERY SCHOOL,404 WEST 116 STREET,MANHATTAN,10027,212-666-4796,2049,12/16/2013,  Expired-InRenewal,2 YEARS - 5 YEARS,50,Yes,Private,50,40.806069,-73.960014
COLUMBIA GREENHOUSE NURSERY SCHOOL,COLUMBIA GREENHOUSE NURSERY SCHOOL,424 WEST 116 STREET,MANHATTAN,10027,212-666-4796,1484,12/16/2013,  Expired-InRenewal,2 YEARS - 5 YEARS,30,No,Private,30,40.806227,-73.9603924
COLUMBIA UNIVERSITY HEADSTART,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK INC,4467 BROADWAY,MANHATTAN,10040,212-923-5237,40717,05/20/2015,  Permitted,2 YEARS - 5 YEARS,50,No,Private,50,40.857645,-73.93252
COLUMBUS PRE-SCHOOL,COLUMBUS TOWNHOUSE NURSERY INC,606 COLUMBUS AVENUE,MANHATTAN,10024,212-721-0090,6360,06/13/2015,  Permitted,2 YEARS - 5 YEARS,80,No,Private,80,40.78878599999999,-73.9709158
COMMITTEE FOR EARLY CHILDHOOD DEVELOPMENT,COMMITTEE FOR EARLY CHILDHOOD DEVELOPMENT DAY CARE CENTER INC,193-25 JAMAICA AVENUE,QUEENS,11423,718-264-6572,52558,09/27/2015,  Permitted,2 YEARS - 5 YEARS,90,Yes,Private,90,40.713558,-73.766408
COMMITTEE FOR EARLY CHILDHOOD DEVELOPMENT HEAD START,COMMITTEE FOR EARLY CHILDHOOD DEVELOPMENT DCCINC,117-21 SUTPHIN BOULEVARD,QUEENS,11436,718-848-0276,8199,09/15/2014,  Permitted,2 YEARS - 5 YEARS,246,Yes,ACS Head Start,246,40.6800646,-73.7918229
COMMITTEE FOR EARLY CHILDHOOD DEVELOPMENT HEAD START,COMMITTEE FOR EARLY CHILDHOOD DEVELOPMENT DAY CARE CENTER INCORPORATED,193-04 JAMAICA AVENUE,QUEENS,11423,718-464-2422,4984,03/30/2015,  Permitted,2 YEARS - 5 YEARS,146,Yes,ACS Head Start,146,40.7131187,-73.7671028
COMMUNITY  FAMILY HEAD START,COMMUNITY PARENTS INC,41-05 BEACH CHANNEL DRIVE,QUEENS,11691,718-471-7970,7639,09/08/2014,  Permitted,2 YEARS - 5 YEARS,113,Yes,ACS Head Start,113,40.5957763,-73.7731513
COMMUNITY CHURCH OF DOUGLASTON NURSERY SCH,LINDEN DE BIE CCD,39-50 DOUGLASTON PARKWAY,QUEENS,11363,718-767-1961,0983,04/26/2014,  Permitted,2 YEARS - 5 YEARS,20,No,Private,20,40.7700443,-73.749827
COMMUNITY HOUSE NURSERY AND KINDERGARTEN,CHURCH IN THE GARDENS COMMUNITY HOUSE,15 BORAGE PLACE,QUEENS,11375,718-268-0490,1546,06/25/2014,  Permitted,2 YEARS - 5 YEARS,42,No,Private,42,40.7160352,-73.84108739999999
COMMUNITY LIFE CENTER  INC ARTHUR EUGENE  THELMA  ADAIR  HEAD START,COMMUNITY LIFE CENTER INC,221 EAST 122 STREET,MANHATTAN,10035,212-427-6800,7182,01/25/2016,  Permitted,2 YEARS - 5 YEARS,159,No,ACS Head Start,159,40.801627,-73.93619720000001
COMMUNITY LIFE CENTER MT MORRIS HEAD START,COMMUNITY LIFE CENTERINC ARTHUR EUGENE  THELMA ADAIR HEAD START,15 MOUNT MORRIS PARK WEST,MANHATTAN,10027,212-427-1077,8049,09/23/2015,  Permitted,2 YEARS - 5 YEARS,135,No,ACS Head Start,135,40.8050612,-73.94560659999999
