Center Name,Permit Holder,Address,Borough,Zip Code,Phone,Permit Number,Permit Expiration Date,Permit Status,Age Range,Maximum Capacity,Certified to Administer Medication,Site Type,Lon,Lat
EAST HARLEM BLOCK  NURSERY 2,EAST HARLEM BLOCK SCHOOLS,2112 MADISON AVENUE,MANHATTAN,10037,212-234-3333,879,5/4/2014,  Permitted,2 YEARS - 5 YEARS,79,No,ACS Contracted Preschools,-73.9375,40.8106
EAST HARLEM BLOCK NURSERY 1,EAST HARLEM BLOCK NURSERYINC,215 EAST 106 STREET,MANHATTAN,10029,212-427-2571,2261,7/2/2015,  Permitted,2 YEARS - 5 YEARS,56,No,ACS Contracted Preschools,-73.9439,40.7916
EAST HARLEM BLOCK NURSERY/GRANT DAY CARE CENTER,EAST HARLEM BLOCK NURSERY INC,1299 AMSTERDAM AVENUE,MANHATTAN,10027,212-666-6000,8281,5/23/2015,  Permitted,2 YEARS - 5 YEARS,68,No,ACS Contracted Preschools,-73.9553,40.8114
EAST HARLEM COUNCIL FOR HUMAN SERVICES INCBILINGUAL HEAD START,EAST HARLEM COUNCIL FOR HUMAN SERVICES INC,30 EAST 111 STREET,MANHATTAN,10029,212-860-7201,6385,1/24/2015,  Permitted,2 YEARS - 5 YEARS,87,No,ACS Head Start,-73.9479,40.7967
EAST MIDWOOD HEBREW DAY SCHOOL,RABBI HARRY HALPERN DAY SCHOOL,1256 EAST 21 STREET,BROOKLYN,11210,718-253-1555,1465,10/28/2014,  Permitted,2 YEARS - 5 YEARS,83,No,Private,-73.955,40.6224
EAST RIVER CHILD DEVELOPMENT CENTER,EAST RIVER CHILD DEVELOPMENT CENTER,570 GRAND STREET,MANHATTAN,10002,212-254-7301,6952,2/28/2014,  Expired-InRenewal,2 YEARS - 5 YEARS,37,No,Private,-73.9791,40.7143
EAST RIVER CHILD DEVELOPMENT CENTER,EAST RIVER CHILD DEVELOPMENT CENTER,577 GRAND STREET,MANHATTAN,10002,212-254-7300,4149,7/18/2015,  Permitted,2 YEARS - 5 YEARS,77,No,Private,-73.9793,40.7132
EAST SIDE HOUSE SETTLEMENT HEAD START/DAY CARE,EAST SIDE HOUSE SETTLEMENT,201 ST ANNS AVENUE,BRONX,10454,718-993-4854,4636,7/17/2014,  Permitted,2 YEARS - 5 YEARS,27,No,ACS Head Start,-73.9192,40.8055
EAST SIDE HOUSE SETTLEMENT HEAD START/DAY CARE,EAST SIDE HOUSE SETTLEMENT,375 EAST 143RD STREET,BRONX,10454,718-292-5335,2094,11/10/2014,  Permitted,2 YEARS - 5 YEARS,80,No,ACS Head Start,-73.9213,40.8129
EAST SIDE SETTLEMENT HOUSE HEAD START/ DAY CARE,EAST SIDE HOUSE SETTLEMENT,414 MORRIS AVENUE,BRONX,10451,718-401-4242,7400,6/28/2015,  Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,-73.9235,40.8155
EAST TREMONT CHILD CARE AND DEVELOPMENT CENTER,EAST TREMONT CHILD CARE AND DEVELOPMENT CENTER,1811 CROTONA AVENUE,BRONX,10457,718-731-4166,1956,8/17/2014,  Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,-73.8948,40.8432
EAST TREMONT HEAD START ALUMNI DCC INC/ PAUL T MATSON HEAD START SITE I I I,EAST TREMONT HEAD START ALUMNI DCC,2431 MORRIS AVENUE,BRONX,10468,718-563-5139,6209,9/10/2015,  Permitted,2 YEARS - 5 YEARS,55,Yes,ACS Contracted Preschools,-73.9003,40.8614
EAST VILLAGE CHILD CARE CENTER,EAST VILLAGE CHILD CARE CENTER,297 EAST 10 STREET,MANHATTAN,10009,212-982-8701,5039,2/6/2016,  Permitted,2 YEARS - 5 YEARS,15,No,Private,-73.9818,40.7279
EASTER SEALS CHILD DEVELOPMENT CENTER,EASTER SEALS NEW YORK INC,2433 EAST TREMONT AVENUE,BRONX,10461,718-409-4227,7815,10/15/2015,  Permitted,2 YEARS - 5 YEARS,121,No,ACS Contracted Preschools,-73.8521,40.8429
ECDO  CHILDSTART CENTER / NURSERY NORTH TOO / NURSERY NORTH TOO,ECUMENICAL COMMUNITY DEVELOPMENT ORGANIZATION / NURSERY NORTH TOO INFANT DAYCARE CENTER INC / NURSERY NORTH TOO INFANT DAYCARE CENTER INC,249 WEST 144TH STREET,MANHATTAN,10030,212-234-8135 / 212-926-9700 / 212-926-9700,7439 / 8146 / 8145,9/23/2015 / 4/27/2014 / 4/27/2014,  Permitted /   Permitted /   Permitted,0 YEARS - 5 YEARS,129,No,ACS Head Start / Private / Private,-73.941,40.8218
EDEN CHRISTIAN ACADEMY  EARLY CHILDHOOD CENTER,EDEN CHRISTIAN ACADEMY  EARLY CHILDHOOD CENTER,1509 MORRIS AVENUE,BRONX,10457,718-684-2962,7142,3/8/2014,  Expired-InRenewal,2 YEARS - 5 YEARS,27,No,Private,-73.9098,40.8414
EDUCATIONAL ALLIANCE  HEAD START,THE EDUCATIONAL ALLIANCE,333 EAST 4 STREET,MANHATTAN,10009,212-254-2614,7272,2/26/2015,  Permitted,2 YEARS - 5 YEARS,40,No,Head Start Direct Fed Funding,-73.9787,40.7219
EDWARDS L CLEAVELAND DAY CARE CENTER,BROOKLYN KINDERGARTEN SOCIETY,1185 PARK PLACE,BROOKLYN,11213,718-778-6559,1848,2/27/2015,  Permitted,2 YEARS - 5 YEARS,74,No,ACS Contracted Preschools,-73.9385,40.6733
EFFIE BS EARLY CHILDHOOD DEVELOPMENT CENTER / EFFIE BS EARLY CHILDHOOD DEVELOPMENT CENTER PRESCHOOL,EFFIE BS EARLY CHILDHOOD DEVELOPMENT CENTER CORP,1173 EASTERN PARKWAY,BROOKLYN,11213,718-735-5500,8096 / 8095,11/16/2015 / 11/16/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,63,No,Private,-73.9295,40.6692
EL SHADDAI INTERNATIONAL,VIOLET APPLEWHITE,1475 HAMMERSLEY AVENUE,BRONX,10469,718-515-5004,52818,10/4/2015,  Permitted,2 YEARS - 5 YEARS,95,No,Private,-73.8442,40.8713
ELADIAS  KIDS / ELADIAS KIDS,ELADIAS KIDS PARENT LLC / ELADIAS KIDS 272 LLC,266 FLATBUSH AVENUE,BROOKLYN,11217,718-230-7560,21817 / 8186,8/31/2014 / 6/10/2014,  Permitted /   Permitted,0 YEARS - 5 YEARS,69,No,Private,-73.9742,40.6791
ELADIAS KIDS / ELADIAS KIDS PRESCHOOL,ELADIAS KIDS PARENT LLC,147 5TH AVENUE,BROOKLYN,11217,718-622-3316 / 718-633-3316,7767 / 7786,6/11/2015 / 8/7/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,34,No,Private,-73.9791,40.678
ELADIAS KIDS,ELADIAS KIDS PARENT LLC,175 VANDERBILT AVENUE,BROOKLYN,11205,718-230-7560 / 718-522-6361,43797 / 43777,6/14/2015 / 6/14/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,49,No,Private,-73.9695,40.6927
ELF DAY CARE CENTER / ELF SERVICES DAY CARE CENTER,ELF SERVICES LLC,550 OCEAN PARKWAY,BROOKLYN,11218,718-871-4301,7285 / 7283,8/2/2015 / 8/2/2014,  Permitted /   Permitted,0 YEARS - 5 YEARS,96,No,Private,-73.9732,40.6345
ELISHAMA CHILDRENS PREP SCHOOL,ELISHAMA CHILDRENS PREP SCHOOL,206-18 HOLLIS AVENUE,QUEENS,11429,718-468-8744,6469,8/29/2015,  Permitted,2 YEARS - 5 YEARS,72,No,Private,-73.7504,40.7072
ELITE DAY CARE LEARNING CENTER,KONVAINC,4239 RICHMOND AVENUE,STATEN ISLAND,10312,718-608-1833,7581,11/25/2014,  Permitted,2 YEARS - 5 YEARS,26,No,Private,-74.1565,40.5361
ELITE DAY CARE LEARNING CENTER,KONVAINC,990 HYLAN BLVD,STATEN ISLAND,10305,718-448-5075,7915,9/2/2014,  Permitted,2 YEARS - 5 YEARS,61,No,Private,-74.0757,40.5976
ELIZABETH SETON PRE-SCHOOL / SETON DAY CARE CENTER,NEW YORK FOUNDLING,245 EAST 92ND  STREET,MANHATTAN,10128,212-369-9626,15457 / 15458,4/26/2014 / 4/26/2014,  Permitted /   Permitted,0 YEARS - 5 YEARS,88,Yes,Private,-73.9494,40.7822
ELLA BAKER / CHARLES ROMAIN CHILD DEVELOPMENT CENTER,ELLA BAKER/CHARLES ROMAIN CHILD DEVELOPMENT CENTER INC,1150 CARROLL STREET,BROOKLYN,11225,718-270-6017,5121,11/10/2013,  Expired-InRenewal,2 YEARS - 5 YEARS,29,No,Private,-73.952,40.6668
EMILIAS KIDS,EMILIAS KIDS INC,84-03 57TH AVENUE,QUEENS,11373,718-899-9060,8232,11/18/2014,  Permitted,2 YEARS - 5 YEARS,11,No,Private,-73.8792,40.7305
EMMANUEL DAY CARE CENTER KINDERGARTEN,EMMANUEL BAPTIST CHURCH,279 LAFAYETTE AVENUE,BROOKLYN,11238,718-622-1233,1760,9/28/2015,  Permitted,2 YEARS - 5 YEARS,30,No,Private,-73.9653,40.6886
EPIPHANY COMMUNITY NURSERY SCHOOL,EPIPHANY COMMUNITY NURSERY SCHOOL,510 EAST 74TH STREET,MANHATTAN,10021,212-737-2977,6488,4/7/2014,  Permitted,2 YEARS - 5 YEARS,123,No,Private,-73.9521,40.7676
EPISCOPAL SOCAL SERVICES EARLY HEADSTART / EPISCOPAL SOCIAL SERVICES EARLY HEAD START,EPISCOPAL SOCIAL SERVICES,500 BERGEN AVENUE,BRONX,10455,718-401-5192,23717 / 7637,10/1/2014 / 9/8/2014,  Permitted /   Permitted,0 YEARS - 5 YEARS,101,No,ACS Contracted Preschools / Head Start Direct Fed Funding,-73.9178,40.8149
EPISCOPAL SOCIAL SERVICE THERAPEUTIC NURSERY SCHOOL,EPISCOPAL SOCIAL SERVICE OF NEW YORK INC,2289 5TH AVENUE,MANHATTAN,10037,212-283-3100,7839,11/8/2015,  Permitted,2 YEARS - 5 YEARS,64,No,ACS Contracted Preschools,-73.9352,40.8148
EPISCOPAL SOCIAL SERVICES/LENOX AVENUE,EPISCOPAL SOCIAL SERVICES INC,669 LENOX AVENUE,MANHATTAN,10037,212-491-8501,24557,10/11/2014,  Permitted,2 YEARS - 5 YEARS,136,No,ACS Contracted Preschools,-73.9373,40.8197
ESCALERA HEAD START,THE CHILD CENTER OF NEW YORK,169 WEST 87TH STREET,MANHATTAN,10024,212-799-2440,52257,9/19/2015,  Permitted,2 YEARS - 5 YEARS,52,No,ACS Head Start,-73.9735,40.7882
ESCUELA HISPANA MONTESSORI HEAD START,ESCUELA HISPANA MONTESSORI,185 AVENUE D,MANHATTAN,10009,212-982-6651,6968,7/14/2014,  Permitted,2 YEARS - 5 YEARS,89,No,ACS Head Start,-73.9745,40.7264
ESS WILLIAMSBURG EARLY CHILDHOOD DEVELOPMENT CENTER,EPISCOPAL SOCIAL SERVICES OF NEW YORK INC,110 TAYLOR STREET,BROOKLYN,11249,347-943-7682,26218,10/24/2014,  Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,-73.9637,40.7053
ESTHER  ASHKENAS CENTRAL PARK EARLY LEARNING CENTER,NYSARC INC NEW YORK CITY CHAPTER,15 WEST 65TH STREET,MANHATTAN,10023,212-787-5400,5892,4/2/2014,  Expired-InRenewal,2 YEARS - 5 YEARS,162,No,Private,-73.9804,40.7725
EUREKA NURSERY  DAY CARE,EUREKA NURSERY  DAY CARE,2502 CLARENDON ROAD,BROOKLYN,11226,718-284-2155,7347,5/10/2014,  Permitted,2 YEARS - 5 YEARS,25,No,Private,-73.9533,40.6427
EXCEL  PRESCHOOL INFANT/TODDLER PROGRAM / EXCEL PRESCHOOL,DR SYNG Y KWAK / SYNG YONG KWAK,2144 RICHMOND AVENUE,STATEN ISLAND,10314,718-370-3784,7152 / 6859,11/1/2015 / 12/21/2014,  Permitted /   Permitted,0 YEARS - 5 YEARS,36,No,Private,-74.1624,40.5949
FVM BETHEL DAY CARE I/T / FVM BETHEL DAY CARE PS,FERNANDE VALME MINISTRIES INC I/T / FERNANDE VALME MINISTRIES INC,1120 FLATBUSH AVENUE,BROOKLYN,11226,718-824-1809 / 718-284-1809,7220 / 7221,9/21/2015 / 10/3/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,28,No,Private,-73.9581,40.6431
FACES OF THE FUTURE DAY CARE CENTER LLC,FACES OF THE FUTURE DAY CARE CENTER LLC,5302 CLARENDON RD,BROOKLYN,11203,718-451-9474,7226,4/5/2016,  Permitted,2 YEARS - 5 YEARS,26,No,Private,-73.9265,40.6444
FACES OF THE FUTURE EARLY LEARNING CENTER LLC,FACES OF THE FUTURE EARLY LEARNING CENTER LLC,1080 UTICA AVENUE,BROOKLYN,11203,646-409-8030,59057,3/18/2016,  Permitted,2 YEARS - 5 YEARS,30,No,Private,-73.9299,40.6466
FAITH CHRISTIAN ACADEMY,1137 E 223RD STREET CORPORATION,1137 EAST 223 STREET,BRONX,10466,718-881-1085,6514,9/29/2015,  Permitted,2 YEARS - 5 YEARS,18,No,Private,-73.8489,40.8826
FALU  FOUNDATION,DR FALU FOUNDATION INC,333 EAST 118 STREET,MANHATTAN,10035,212-828-6699,7520,1/3/2016,  Permitted,2 YEARS - 5 YEARS,11,No,Private,-73.9353,40.7979
FAMILY  SCHOOL  WEST,THE MONTESSORI FAMILY SCHOOL OF MANHATTAN,308 WEST 46 STREET,MANHATTAN,10036,212-582-1240,5645,1/20/2015,  Permitted,2 YEARS - 5 YEARS,28,No,Private,-73.9887,40.7599
FAMILY CENTER AT BROOKLYN FRIENDS,BROOKLYN FRIENDS SCHOOL,189 SCHERMERHORN STREET,BROOKLYN,11201,718-852-1029,8399,9/29/2015,  Permitted,2 YEARS - 5 YEARS,36,No,Private,-73.9865,40.6895
FAMILY HEAD START,NATIONAL ASSOCIATION OF FAMILY DEVELOPMENT CENTERS,293 NEPTUNE AVENUE,BROOKLYN,11235,718-332-8524,5076,11/8/2014,  Permitted,2 YEARS - 5 YEARS,192,No,ACS Head Start,-73.9642,40.5814
FAMILY HEAD START,NATIONAL ASSOCIATION OF FAMILY DEVELOPMENT CENTERS,3017 GLENWOOD ROAD,BROOKLYN,11210,718-859-7720,4595,11/9/2014,  Permitted,2 YEARS - 5 YEARS,133,No,ACS Head Start,-73.9471,40.6343
FAMILY HEAD START/ EARLY LEARN,NATIONAL ASSOCIATION OF FAMILY DEVELOPMENT CENTERS INC,8885 26 AVENUE,BROOKLYN,11214,718-258-7767,5800,7/14/2015,  Permitted,2 YEARS - 5 YEARS,69,No,ACS Head Start,-73.9904,40.5907
FANTASIA DAY CARE CENTER,FANTASM INC,2743 OCEAN AVENUE,BROOKLYN,11229,718-646-6738,6134,3/31/2014,  Expired-InRenewal,2 YEARS - 5 YEARS,53,No,Private,-73.9501,40.5944
FARBER-BRUCH EARLY CHILDHOOD CENTER,EDITH  CARL MARKS JEWISH COMMUNITY HOUSE OF BENSONHURST INC,7802 BAY PARKWAY,BROOKLYN,11214,718-943-6333,1567,9/28/2015,  Permitted,2 YEARS - 5 YEARS,55,No,Private,-73.9898,40.6064
FED KIDS CHILD CARE CENTER MANAGED BY BRIGHT HORIZONS,BRIGHT HORIZONS CHILDRENS CENTER L L C,26 FEDERAL PLAZA,MANHATTAN,10007,212-264-4277,8332 / 8242,11/1/2014 / 11/1/2014,  Permitted /   Permitted,0 YEARS - 5 YEARS,109,No,Private,-74.0042,40.7154
FIAF A PETIS PAS PRESCHOOL,FRENCH INSTITUTE ALLIANCE FRANCAISE,22 EAST 60TH STREET,MANHATTAN,10022,212-355-6100,22557,9/14/2014,  Permitted,2 YEARS - 5 YEARS,15,No,Private,-73.9706,40.7638
FINGER PAINTED HANDS PRESCHOOL / WEST 83RD STREET PRE-SCHOOL,FINGER PAINTED HANDS INC / GODDARD RIVERSIDE COMMUNITY CENTER,126 WEST 83RD STREET / 128 WEST 83RD STREET,MANHATTAN,10024,212-595-5200 / 212-877-7780,32077 / 8272,2/5/2015 / 3/3/2015,  Permitted /   Permitted,2 YEARS - 5 YEARS,77,No,Private / ACS Contracted Preschools,-73.9748,40.7848
FIRST  PRESBYTERIAN CHURCH,CIRCLE OF FRIENDS EARLY LEARNING CENTER,41-54 MURRAY STREET,QUEENS,11355,718-359-3993,5288,11/30/2015,  Permitted,2 YEARS - 5 YEARS,20,No,Private,-73.8127,40.7615
FIRST CHOICE ACADEMY DAY CARE INC,FIRST CHOICE ACADEMY DAY CARE INC,192 EAST 58TH STREET,BROOKLYN,11203,718-451-3565,6686,7/21/2015,  Permitted,2 YEARS - 5 YEARS,51,No,Private,-73.9228,40.6504
FIRST FRIENDS PRE-SCHOOL,FIRST FRIENDS PRE-SCHOOL INC,245 WEST 74 STREET,MANHATTAN,10023,212-769-1088,5213,9/29/2014,  Permitted,2 YEARS - 5 YEARS,26,No,Private,-73.9826,40.781
FIRST IMPRESSIONS NURSERY SCHOOL,STEPHANIENORMA AND FAY TROWERS,2513 BEDFORD AVENUE,BROOKLYN,11226,718-469-9792,5824,3/16/2014,  Expired-InRenewal,2 YEARS - 5 YEARS,29,No,Private,-73.9542,40.6422
FIRST PRESBYTERIAN CHURCH NURSERY SCHOOL,THE FIRST PRESBYTERIAN CHURCH IN THE CITY OF NY,12 WEST 12 STREET,MANHATTAN,10011,212-691-3432,1957,3/21/2014,  Expired-InRenewal,2 YEARS - 5 YEARS,79,No,Private,-73.9953,40.7348
FIRST STAR DAY CARE LEARNING CENTER - INFANT/TODDLER,FIRST STAR DAY CARE LEARNING CENTER - INFANT/TODDLER,145-88 GUY R BREWER BOULEVARD,QUEENS,11434,718-528-3363,7016,4/13/2015,  Permitted,0 YEARS - 2 YEARS,10,No,Private,-73.7687,40.6636
FIRST STEPPING STONES,FIRST STEPPING STONE LLC,4017 CHURCH AVENUE,BROOKLYN,11203,347-309-9493,8055,8/15/2015,  Permitted,2 YEARS - 5 YEARS,10,No,Private,-73.9394,40.6515
FIRST STEPS AT CLINTON,FIRST STEPS AT CLINTON,19 CLINTON STREET,MANHATTAN,10002,212-792-5770,8838 / 24657,11/23/2015 / 10/12/2014,  Permitted /   Permitted,0 YEARS - 5 YEARS,43,No,Private,-73.9845,40.7208
FIRST STEPS DAY CARE CENTER,LATINO PASTORAL ACTION CENTER INC,15 EAST CLARKE PLACE,BRONX,10452,347-591-3711,8048,8/14/2015,  Permitted,2 YEARS - 5 YEARS,40,No,Private,-73.9186,40.8383
FIRSTSTEPNYCPS/IS 41,SCO FAMILY OF SERVICES,411 THATFORD STREET,BROOKLYN,11212,347-758-0433,51758,9/9/2015,  Permitted,0 YEARS - 2 YEARS,28,No,Private,-73.9073,40.6603
FIRSTSTEPNYCPS41FRANCIS WHITE,SCO FAMILY OF SERVICES,411 THATFORD AVENUE,BROOKLYN,11212,718-485-0295,51759,9/9/2015,  Permitted,2 YEARS - 5 YEARS,52,No,Corporate,-73.9071,40.6602
FIVE STAR DAY CARE CENTER,SOUTHEAST BRONX NEIGHBORHOOD CENTERS INC,3261 3 AVENUE,BRONX,10456,718-292-4774,4663,5/18/2015,  Permitted,2 YEARS - 5 YEARS,100,Yes,ACS Contracted Preschools,-73.9088,40.8246
FLUSHING YMCA EARLY CHILDHOOD PROGRAM,FLUSHING YMCA EARLY CHILDHOOD CENTER,138-46 NORTHERN BOULEVARD,QUEENS,11354,718-551-9356,4448,8/31/2015,  Permitted,2 YEARS - 5 YEARS,60,No,Private,-73.8264,40.7639
FOOTSTEPS CHILDCARE INC,FOOTSTEPS CHILDCARE INC,1125 BROADWAY,BROOKLYN,11221,718-443-0236,7434 / 7435,9/7/2015 / 9/7/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,60,No,Private,-73.9292,40.6938
FOR KIDS ONLY  DAY CARE / FOR KIDS ONLY DAY CARE / FOR KIDS ONLY DAY CARE / FOR KIDS ONLY DAY CARE,FOR KIDS ONLY DAY CARE INC / FOR KIDS ONLY DAY CARE / FOR KIDS ONLY DAY CARE INC / FOR KIDS ONLY DAY CARE INC,902 MORRIS PARK AVENUE / 900 MORRIS PARK AVENUE / 904 MORRIS PARK AVENUE,BRONX,10462,718-823-8345,6890 / 53197 / 7456 / 6892,9/12/2015 / 10/17/2015 / 9/12/2015 / 6/25/2015,  Permitted /   Permitted /   Permitted /   Permitted,0 YEARS - 5 YEARS,99,No,Private,-73.859,40.8466
FOREST HILLS JEWISH CENTER NURSERY SCHOOL AND KINDERGARTEN,FOREST HILLS JEWISH CENTER INC,106-06 QUEENS BOULEVARD,QUEENS,11375,718-263-7000,1857,5/31/2014,  Permitted,2 YEARS - 5 YEARS,150,No,Private,-73.8475,40.7216
FOREST HILLS MONTESSORI,FOREST HILLS MONTESSORI SCHOOL,67-04 AUSTIN STREET,QUEENS,11375,718-275-0173,5615,7/1/2015,  Permitted,2 YEARS - 5 YEARS,60,No,Private,-73.8556,40.7239
FOREST HILLS NURSERY AND KINDERGARTEN,FOREST HILLS NURSERY AND KINDERGARTEN,108-56 69 AVENUE,QUEENS,11375,718-544-3692,4429,5/17/2014,  Permitted,2 YEARS - 5 YEARS,26,No,Private,-73.8435,40.7254
FOREST HILLS WEST SCHOOL,NEW YORK LEAGUE FOR EARLY LEARNING- FOREST HILLS WEST SCHOOL,63-25 DRY HARBOR ROAD,QUEENS,11379,718-639-9750,6629,2/2/2015,  Permitted,2 YEARS - 5 YEARS,113,Yes,Private,-73.8737,40.7216
FOREVER YOUNG DAY CARE INC,FOREVER YOUNG DAY CARE INC,4503 AVENUE D,BROOKLYN,11203,718-451-5050,6991,8/25/2014,  Permitted,2 YEARS - 5 YEARS,35,No,Private,-73.9339,40.642
FORT GREENE CHILDREN  FAMILY SERVICES EARLY HEAD START / FORT GREENE CHILDRENS  FAMILY SERVICES HEAD START,NORTHSIDE CENTER FOR CHILD DEVELOPMENT INC,44-60 ROCKWELL PLACE,BROOKLYN,11217,347-505-5500,29217 / 28497,12/13/2014 / 12/4/2014,  Permitted /   Permitted,0 YEARS - 5 YEARS,207,No,Private,-73.9797,40.6886
FRANCIS CHILD CARE FACILITY,FRANCIS EDUCATION CENTER,38-03 FRANCIS LEWIS BLVD,QUEENS,11358,718-229-5357,7998,5/9/2015,  Permitted,2 YEARS - 5 YEARS,54,No,Private,-73.7851,40.7625
FRANCIS GRACE DAYCARE,FRANCIS GRACE DAY CARE,130-20 MERRICK BOULEVARD,QUEENS,11434,718-977-1853,7148,9/12/2015,  Permitted,2 YEARS - 5 YEARS,23,No,Private,-73.7629,40.6801
FRIENDS AND FAMILY DAY CARE,FRIENDS AND FAMILY DAY CARE LTD,1677 LEXINGTON AVENUE,MANHATTAN,10029,212-534-7160,8306 / 8307,6/17/2015 / 6/17/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,95,No,Private,-73.9463,40.7916
FRIENDS OF CROWN HEIGHT EDUCATIONAL CENTERS,FRIENDS OF CROWN HEIGHT EDUCATIONAL CENTERS INC,3732 10TH AVENUE,MANHATTAN,10034,212-567-5655,26538,10/25/2014,  Permitted,2 YEARS - 5 YEARS,64,No,ACS Contracted Preschools,-73.9226,40.8604
FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTER,FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTERS INC,1491 BEDFORD AVENUE,BROOKLYN,11216,929-234-2821,25777,10/19/2014,  Permitted,2 YEARS - 5 YEARS,100,No,ACS Contracted Preschools,-73.9541,40.6721
FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTER,FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTERS INC,20 SUTTER AVENUE,BROOKLYN,11212,718-773-3041,26337,10/25/2014,  Permitted,2 YEARS - 5 YEARS,74,No,ACS Contracted Preschools,-73.922,40.6652
FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTER,FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTERSINC,370 NEW LOTS AVENUE,BROOKLYN,11207,718-342-3700,25178,10/16/2014,  Permitted,2 YEARS - 5 YEARS,128,No,ACS Contracted Preschools,-73.8932,40.6615
FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTER,FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTERS INC,813 STERLING PLACE,BROOKLYN,11216,718-773-7733,25717,10/19/2014,  Permitted,2 YEARS - 5 YEARS,180,No,ACS Contracted Preschools,-73.9514,40.6729
FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTER,FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTERS INC,851 LIBERTY AVENUE,BROOKLYN,11208,929-234-2955,25137,10/16/2014,  Permitted,2 YEARS - 5 YEARS,95,No,ACS Contracted Preschools,-73.8781,40.6773
FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTER,FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTERS INC,921 HEGEMAN AVENUE,BROOKLYN,11208,929-234-2866,26377,10/25/2014,  Permitted,2 YEARS - 5 YEARS,95,No,ACS Contracted Preschools,-73.8792,40.6656
FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTER,FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTERS INC,995 CARROLL STREET,BROOKLYN,11225,929-234-5010,25359 / 25217,10/17/2014 / 10/16/2014,  Permitted /   Permitted,0 YEARS - 5 YEARS,121,No,ACS Contracted Preschools,-73.9571,40.6679
FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTER  6,THE FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTERS INC,49 AVENUE W,BROOKLYN,11223,718-372-8189,8021,7/1/2015,  Permitted,2 YEARS - 5 YEARS,55,No,ACS Contracted Preschools,-73.9821,40.5918
FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTER 2,FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTERSINC / THE FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTERSINC,671 PROSPECT PLACE / 671-675 PROSPECT PLACE,BROOKLYN,11216,718-638-8686,4434 / 4895,3/8/2015 / 5/6/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,155,No,ACS Contracted Preschools,-73.9544,40.675
FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTER 4 INFANT/TODDLER / FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTER 4 PRESCHOOL,THE FRIENDS OF CROWN HEIGHTS DAY CARE CENTER INC,141 EAST 40TH STREET,BROOKLYN,11203,718-284-2184,7893 / 7892,5/25/2014 / 5/25/2014,  Permitted /   Permitted,0 YEARS - 5 YEARS,79,No,ACS Contracted Preschools,-73.9399,40.6523
FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTER NO 5,THE FRIENDS OF CROWN HEIGHTS DAY CARE CENTER INC,1886 NOSTRAND AVENUE,BROOKLYN,11226,718-284-9194,7891,5/25/2014,  Permitted,2 YEARS - 5 YEARS,216,No,ACS Contracted Preschools,-73.9488,40.6395
FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTERS,FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTERS INC,1435 PROSPECT PLACE,BROOKLYN,11213,718-778-1498,27759,11/26/2014,  Permitted,2 YEARS - 5 YEARS,107,No,ACS Contracted Preschools,-73.9288,40.6734
FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTERS,FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTERS INC,2505 PITKIN AVENUE,BROOKLYN,11208,929-234-2850,25199,10/16/2014,  Permitted,2 YEARS - 5 YEARS,102,No,ACS Contracted Preschools,-73.8796,40.6745
