centerName,permitHolder,address,borough,zipCode,phone,permitNumber,permitExpirationDate,permitStatus,ageRange,maximumCapacity,certifiedToAdministerMedication,siteType,GeocodedCategory,Lon,Lat
EARLY LIFE,LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK INC,2125 WATSON AVENUE,BRONX,10472,718-943-0580,28757,2.01412E+16,Permitted,2 YEARS - 5 YEARS,115,No,ACS Contracted Preschools,PAD2013,-73.852917,40.829736
EARLY LIFE,LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK,218 WEST 147TH STREET,MANHATTAN,10039,646-360-4093,26578,2.0141E+16,Permitted,2 YEARS - 5 YEARS,264,No,ACS Contracted Preschools,PAD2013,-73.939729,40.8232
EARLY LIFE,LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK INC,265 MARCUS GARVEY BLVD,BROOKLYN,11221,347-689-8303,24777,2.0141E+16,Permitted,2 YEARS - 5 YEARS,116,No,ACS Contracted Preschools,PAD2013,-73.938809,40.688537
EARLY LIFE,LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK INC,510-516 WEST 145TH STREET,MANHATTAN,10031,646-449-0814,26441,2.0141E+16,Permitted,2 YEARS - 5 YEARS,149,No,ACS Contracted Preschools,PAD2013,-73.948722,40.825405
EARLY LIFE,LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK INC,80 EAST 181ST STREET,BRONX,10453,718-365-6247,26737,2.0141E+16,Permitted,2 YEARS - 5 YEARS,240,No,ACS Contracted Preschools,PAD2013,-73.904362,40.85492
EARLY LIFE,LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK,888 WESTCHESTER AVENUE,BRONX,10459,718-450-3556,26118,2.0141E+16,Permitted,2 YEARS - 5 YEARS,145,No,ACS Contracted Preschools,PAD2013,-73.899218,40.820603
EARLY SUNRISE PRESCHOOL AND KINDERGARTEN,EARLY SUNRISE PRE-SCHOOL AND KINDERGARTENINC,187-08 HILLSIDE AVENUE,QUEENS,11432,718-736-9064,6827,2.0141E+16,Permitted,2 YEARS - 5 YEARS,29,No,Private,PAD2013,-73.774841,40.714565
EARLY SUNRISE PRESCHOOLKINDERGARTENINC,EARLY SUNRISE PRESCHOOLKINDERGARTENINC,187-10 HILLSIDE AVENUE,QUEENS,11432,718-736-9064,7000,2.01407E+16,Permitted,2 YEARS - 5 YEARS,29,No,Private,PAD2013,-73.774773,40.714583
EAST BRONX DAY CARE,TREMONT CROTONA DAY CARE CENTER INC,1113 COLGATE AVENUE,BRONX,10472,718-617-2900,7942,2.01409E+16,Permitted,2 YEARS - 5 YEARS,80,No,ACS Contracted Preschools,PAD2013,-73.881693,40.825868
EAST CALVARY DAY CARE CENTER INC,EAST CALVARY DAY CARE CENTER INC,1 WEST 112 STREET,MANHATTAN,10026,212-534-5249,1483,2.01503E+16,Permitted,2 YEARS - 5 YEARS,59,No,ACS Contracted Preschools,PAD2013,-73.948413,40.79861
EAST CHELSEA CHILDRENS WORKSHOP,JACQUELYN MARKS,17 EAST 16 STREET,MANHATTAN,10003,212-691-8964,4869,2.01507E+16,Permitted,2 YEARS - 5 YEARS,29,No,Private,PAD2013,-73.991444,40.737045
EAST HARLEM BILINGUAL   HEAD START,EAST HARLEM COUNCIL FOR HUMAN SERVICESINC,440 EAST 116 STREET,MANHATTAN,10029,212-427-9010,4529,2.0141E+16,Permitted,2 YEARS - 5 YEARS,160,No,ACS Head Start,PAD2013,-73.934106,40.795128
EAST HARLEM BLOCK  NURSERY 2,EAST HARLEM BLOCK SCHOOLS,2112 MADISON AVENUE,MANHATTAN,10037,212-234-3333,879,2.01405E+16,Permitted,2 YEARS - 5 YEARS,79,No,ACS Contracted Preschools,PAD2013,-73.937466,40.810634
EAST HARLEM BLOCK NURSERY 1,EAST HARLEM BLOCK NURSERYINC,215 EAST 106 STREET,MANHATTAN,10029,212-427-2571,2261,2.01507E+16,Permitted,2 YEARS - 5 YEARS,56,No,ACS Contracted Preschools,PAD2013,-73.94389,40.79156
EAST HARLEM BLOCK NURSERY/GRANT DAY CARE CENTER,EAST HARLEM BLOCK NURSERY INC,1299 AMSTERDAM AVENUE,MANHATTAN,10027,212-666-6000,8281,2.01505E+16,Permitted,2 YEARS - 5 YEARS,68,No,ACS Contracted Preschools,PAD2013,-73.955322,40.811445
EAST HARLEM COUNCIL FOR HUMAN SERVICES INCBILINGUAL HEAD START,EAST HARLEM COUNCIL FOR HUMAN SERVICES INC,30 EAST 111 STREET,MANHATTAN,10029,212-860-7201,6385,2.01501E+16,Permitted,2 YEARS - 5 YEARS,87,No,ACS Head Start,PAD2013,-73.947938,40.79671
EAST MIDWOOD HEBREW DAY SCHOOL,RABBI HARRY HALPERN DAY SCHOOL,1256 EAST 21 STREET,BROOKLYN,11210,718-253-1555,1465,2.0141E+16,Permitted,2 YEARS - 5 YEARS,83,No,Private,PAD2013,-73.955038,40.622429
EAST RIVER CHILD DEVELOPMENT CENTER,EAST RIVER CHILD DEVELOPMENT CENTER,570 GRAND STREET,MANHATTAN,10002,212-254-7301,6952,2.01402E+16,Expired-InRenewal,2 YEARS - 5 YEARS,37,No,Private,PAD2013,-73.979093,40.714287
EAST RIVER CHILD DEVELOPMENT CENTER,EAST RIVER CHILD DEVELOPMENT CENTER,577 GRAND STREET,MANHATTAN,10002,212-254-7300,4149,2.01507E+16,Permitted,2 YEARS - 5 YEARS,77,No,Private,PAD2013,-73.979332,40.713157
EAST SIDE HOUSE SETTLEMENT HEAD START/DAY CARE,EAST SIDE HOUSE SETTLEMENT,201 ST ANNS AVENUE,BRONX,10454,718-993-4854,4636,2.01407E+16,Permitted,2 YEARS - 5 YEARS,27,No,ACS Head Start,PAD2013,-73.919193,40.805514
EAST SIDE HOUSE SETTLEMENT HEAD START/DAY CARE,EAST SIDE HOUSE SETTLEMENT,375 EAST 143RD STREET,BRONX,10454,718-292-5335,2094,2.01411E+16,Permitted,2 YEARS - 5 YEARS,80,No,ACS Head Start,PAD2013,-73.921268,40.812865
EAST SIDE SETTLEMENT HOUSE HEAD START/ DAY CARE,EAST SIDE HOUSE SETTLEMENT,414 MORRIS AVENUE,BRONX,10451,718-401-4242,7400,2.01506E+16,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,PAD2013,-73.923458,40.815482
EAST TREMONT CHILD CARE AND DEVELOPMENT CENTER,EAST TREMONT CHILD CARE AND DEVELOPMENT CENTER,1811 CROTONA AVENUE,BRONX,10457,718-731-4166,1956,2.01408E+16,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,PAD2013,-73.89479,40.843248
EAST TREMONT HEAD START ALUMNI DCC INC/ PAUL T MATSON HEAD START SITE I I I,EAST TREMONT HEAD START ALUMNI DCC,2431 MORRIS AVENUE,BRONX,10468,718-563-5139,6209,2.01509E+16,Permitted,2 YEARS - 5 YEARS,55,Yes,ACS Contracted Preschools,PAD2013,-73.90028,40.861444
EAST VILLAGE CHILD CARE CENTER,EAST VILLAGE CHILD CARE CENTER,297 EAST 10 STREET,MANHATTAN,10009,212-982-8701,5039,2.01602E+16,Permitted,2 YEARS - 5 YEARS,15,No,Private,PAD2013,-73.981774,40.727895
EASTER SEALS CHILD DEVELOPMENT CENTER,EASTER SEALS NEW YORK INC,2433 EAST TREMONT AVENUE,BRONX,10461,718-409-4227,7815,2.0151E+16,Permitted,2 YEARS - 5 YEARS,121,No,ACS Contracted Preschools,PAD2013,-73.852051,40.842934
ECDO  CHILDSTART CENTER,ECUMENICAL COMMUNITY DEVELOPMENT ORGANIZATION,249 WEST 144TH STREET,MANHATTAN,10030,212-234-8135,7439,2.01509E+16,Permitted,2 YEARS - 5 YEARS,55,No,ACS Head Start,PAD2013,-73.940982,40.821786
EDEN CHRISTIAN ACADEMY  EARLY CHILDHOOD CENTER,EDEN CHRISTIAN ACADEMY  EARLY CHILDHOOD CENTER,1509 MORRIS AVENUE,BRONX,10457,718-684-2962,7142,2.01403E+16,Expired-InRenewal,2 YEARS - 5 YEARS,27,No,Private,PAD2013,-73.909754,40.841443
EDUCATIONAL ALLIANCE  HEAD START,THE EDUCATIONAL ALLIANCE,333 EAST 4 STREET,MANHATTAN,10009,212-254-2614,7272,2.01502E+16,Permitted,2 YEARS - 5 YEARS,40,No,Head Start Direct Fed Funding,PAD2013,-73.978743,40.721882
EDWARDS L CLEAVELAND DAY CARE CENTER,BROOKLYN KINDERGARTEN SOCIETY,1185 PARK PLACE,BROOKLYN,11213,718-778-6559,1848,2.01502E+16,Permitted,2 YEARS - 5 YEARS,74,No,ACS Contracted Preschools,PAD2013,-73.938476,40.67333
EFFIE BS EARLY CHILDHOOD DEVELOPMENT CENTER,EFFIE BS EARLY CHILDHOOD DEVELOPMENT CENTER CORP,1173 EASTERN PARKWAY,BROOKLYN,11213,718-735-5500,8096,2.01511E+16,Permitted,0 YEARS - 2 YEARS,28,No,Private,PAD2013,-73.929471,40.669162
EFFIE BS EARLY CHILDHOOD DEVELOPMENT CENTER PRESCHOOL,EFFIE BS EARLY CHILDHOOD DEVELOPMENT CENTER CORP,1173 EASTERN PARKWAY,BROOKLYN,11213,718-735-5500,8095,2.01511E+16,Permitted,2 YEARS - 5 YEARS,35,No,Private,PAD2013,-73.929471,40.669162
EL SHADDAI INTERNATIONAL,VIOLET APPLEWHITE,1475 HAMMERSLEY AVENUE,BRONX,10469,718-515-5004,52818,2.0151E+16,Permitted,2 YEARS - 5 YEARS,95,No,Private,PAD2013,-73.844191,40.871345
ELADIAS  KIDS,ELADIAS KIDS PARENT LLC,266 FLATBUSH AVENUE,BROOKLYN,11217,718-230-7560,21817,2.01408E+16,Permitted,2 YEARS - 5 YEARS,42,No,Private,PAD2013,-73.974233,40.679116
ELADIAS KIDS,ELADIAS KIDS PARENT LLC,147 5TH AVENUE,BROOKLYN,11217,718-622-3316,7767,2.01506E+16,Permitted,0 YEARS - 2 YEARS,18,No,Private,PAD2013,-73.979103,40.678022
ELADIAS KIDS,ELADIAS KIDS PARENT LLC,175 VANDERBILT AVENUE,BROOKLYN,11205,718-230-7560,43797,2.01506E+16,Permitted,0 YEARS - 2 YEARS,14,No,Private,PAD2013,-73.969487,40.692691
ELADIAS KIDS,ELADIAS KIDS PARENT LLC,175 VANDERBILT AVENUE,BROOKLYN,11205,718-522-6361,43777,2.01506E+16,Permitted,2 YEARS - 5 YEARS,35,No,Private,PAD2013,-73.969487,40.692691
ELADIAS KIDS,ELADIAS KIDS 272 LLC,266 FLATBUSH AVENUE,BROOKLYN,11217,718-230-7560,8186,2.01406E+16,Permitted,0 YEARS - 2 YEARS,27,No,Private,PAD2013,-73.974233,40.679116
ELADIAS KIDS PRESCHOOL,ELADIAS KIDS PARENT LLC,147 5TH AVENUE,BROOKLYN,11217,718-633-3316,7786,2.01508E+16,Permitted,2 YEARS - 5 YEARS,16,No,Private,PAD2013,-73.979103,40.678022
ELF DAY CARE CENTER,ELF SERVICES LLC,550 OCEAN PARKWAY,BROOKLYN,11218,718-871-4301,7285,2.01508E+16,Permitted,0 YEARS - 2 YEARS,18,No,Private,PAD2013,-73.97324,40.634502
ELF SERVICES DAY CARE CENTER,ELF SERVICES LLC,550 OCEAN PARKWAY,BROOKLYN,11218,718-871-4301,7283,2.01408E+16,Permitted,2 YEARS - 5 YEARS,78,No,Private,PAD2013,-73.97324,40.634502
ELISHAMA CHILDRENS PREP SCHOOL,ELISHAMA CHILDRENS PREP SCHOOL,206-18 HOLLIS AVENUE,QUEENS,11429,718-468-8744,6469,2.01508E+16,Permitted,2 YEARS - 5 YEARS,72,No,Private,PAD2013,-73.750427,40.707226
ELITE DAY CARE LEARNING CENTER,KONVAINC,4239 RICHMOND AVENUE,STATEN ISLAND,10312,718-608-1833,7581,2.01411E+16,Permitted,2 YEARS - 5 YEARS,26,No,Private,PAD2013,-74.156456,40.536056
ELITE DAY CARE LEARNING CENTER,KONVAINC,990 HYLAN BLVD,STATEN ISLAND,10305,718-448-5075,7915,2.01409E+16,Permitted,2 YEARS - 5 YEARS,61,No,Private,PAD2013,-74.075701,40.597637
ELIZABETH SETON PRE-SCHOOL,NEW YORK FOUNDLING,245 EAST 92ND  STREET,MANHATTAN,10128,212-369-9626,15457,2.01404E+16,Permitted,2 YEARS - 5 YEARS,70,Yes,Private,PAD2013,-73.949352,40.78223
ELLA BAKER / CHARLES ROMAIN CHILD DEVELOPMENT CENTER,ELLA BAKER/CHARLES ROMAIN CHILD DEVELOPMENT CENTER INC,1150 CARROLL STREET,BROOKLYN,11225,718-270-6017,5121,2.01311E+16,Expired-InRenewal,2 YEARS - 5 YEARS,29,No,Private,PAD2013,-73.952008,40.666828
EMILIAS KIDS,EMILIAS KIDS INC,84-03 57TH AVENUE,QUEENS,11373,718-899-9060,8232,2.01411E+16,Permitted,2 YEARS - 5 YEARS,11,No,Private,PAD2013,-73.879243,40.730525
EMMANUEL DAY CARE CENTER KINDERGARTEN,EMMANUEL BAPTIST CHURCH,279 LAFAYETTE AVENUE,BROOKLYN,11238,718-622-1233,1760,2.01509E+16,Permitted,2 YEARS - 5 YEARS,30,No,Private,PAD2013,-73.965282,40.688576
EPIPHANY COMMUNITY NURSERY SCHOOL,EPIPHANY COMMUNITY NURSERY SCHOOL,510 EAST 74TH STREET,MANHATTAN,10021,212-737-2977,6488,2.01404E+16,Permitted,2 YEARS - 5 YEARS,123,No,Private,PAD2013,-73.952145,40.767644
EPISCOPAL SOCAL SERVICES EARLY HEADSTART,EPISCOPAL SOCIAL SERVICES,500 BERGEN AVENUE,BRONX,10455,718-401-5192,23717,2.0141E+16,Permitted,2 YEARS - 5 YEARS,65,No,ACS Contracted Preschools,PAD2013,-73.917833,40.814878
EPISCOPAL SOCIAL SERVICE THERAPEUTIC NURSERY SCHOOL,EPISCOPAL SOCIAL SERVICE OF NEW YORK INC,2289 5TH AVENUE,MANHATTAN,10037,212-283-3100,7839,2.01511E+16,Permitted,2 YEARS - 5 YEARS,64,No,ACS Contracted Preschools,PAD2013,-73.935238,40.814806
EPISCOPAL SOCIAL SERVICES EARLY HEAD START,EPISCOPAL SOCIAL SERVICES,500 BERGEN AVENUE,BRONX,10455,718-401-5192,7637,2.01409E+16,Permitted,0 YEARS - 2 YEARS,36,No,Head Start Direct Fed Funding,PAD2013,-73.917833,40.814878
EPISCOPAL SOCIAL SERVICES/LENOX AVENUE,EPISCOPAL SOCIAL SERVICES INC,669 LENOX AVENUE,MANHATTAN,10037,212-491-8501,24557,2.0141E+16,Permitted,2 YEARS - 5 YEARS,136,No,ACS Contracted Preschools,PAD2013,-73.937312,40.819671
ESCALERA HEAD START,THE CHILD CENTER OF NEW YORK,169 WEST 87TH STREET,MANHATTAN,10024,212-799-2440,52257,2.01509E+16,Permitted,2 YEARS - 5 YEARS,52,No,ACS Head Start,PAD2013,-73.973545,40.788152
ESCUELA HISPANA  MONTESSORI,ESCUELA HISPANA MONTESSORI,180 SUFFOLK STREET,MANHATTAN,10002,212-982-6650,8173,2.01405E+16,Permitted,2 YEARS - 5 YEARS,201,No,ACS Head Start,PAD2013,-73.98452,40.721174
ESCUELA HISPANA MONTESSORI HEAD START,ESCUELA HISPANA MONTESSORI,185 AVENUE D,MANHATTAN,10009,212-982-6651,6968,2.01407E+16,Permitted,2 YEARS - 5 YEARS,89,No,ACS Head Start,PAD2013,-73.97455,40.726425
ESS WILLIAMSBURG EARLY CHILDHOOD DEVELOPMENT CENTER,EPISCOPAL SOCIAL SERVICES OF NEW YORK INC,110 TAYLOR STREET,BROOKLYN,11249,347-943-7682,26218,2.0141E+16,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,PAD2013,-73.963672,40.705251
ESTHER  ASHKENAS CENTRAL PARK EARLY LEARNING CENTER,NYSARC INC NEW YORK CITY CHAPTER,15 WEST 65TH STREET,MANHATTAN,10023,212-787-5400,5892,2.01404E+16,Permitted,2 YEARS - 5 YEARS,162,No,Private,PAD2013,-73.980389,40.772549
EUREKA NURSERY  DAY CARE,EUREKA NURSERY  DAY CARE,2502 CLARENDON ROAD,BROOKLYN,11226,718-284-2155,7347,2.01405E+16,Permitted,2 YEARS - 5 YEARS,25,No,Private,PAD2013,-73.953335,40.642713
EXCEL  PRESCHOOL INFANT/TODDLER PROGRAM,DR SYNG Y KWAK,2144 RICHMOND AVENUE,STATEN ISLAND,10314,718-370-3784,7152,2.01511E+16,Permitted,0 YEARS - 2 YEARS,6,No,Private,PAD2013,-74.162427,40.594935
EXCEL PRESCHOOL,SYNG YONG KWAK,2144 RICHMOND AVENUE,STATEN ISLAND,10314,718-370-3784,6859,2.01412E+16,Permitted,2 YEARS - 5 YEARS,30,No,Private,PAD2013,-74.162427,40.594935
FVM BETHEL DAY CARE I/T,FERNANDE VALME MINISTRIES INC I/T,1120 FLATBUSH AVENUE,BROOKLYN,11226,718-824-1809,7220,2.01509E+16,Permitted,0 YEARS - 2 YEARS,9,No,Private,PAD2013,-73.958053,40.643106
FVM BETHEL DAY CARE PS,FERNANDE VALME MINISTRIES INC,1120 FLATBUSH AVENUE,BROOKLYN,11226,718-284-1809,7221,2.0151E+16,Permitted,2 YEARS - 5 YEARS,19,No,Private,PAD2013,-73.958053,40.643106
FACES OF THE FUTURE DAY CARE CENTER LLC,FACES OF THE FUTURE DAY CARE CENTER LLC,5302 CLARENDON RD,BROOKLYN,11203,718-451-9474,7226,2.01404E+16,Permitted,2 YEARS - 5 YEARS,26,No,Private,PAD2013,-73.926463,40.644369
FACES OF THE FUTURE EARLY LEARNING CENTER LLC,FACES OF THE FUTURE EARLY LEARNING CENTER LLC,1080 UTICA AVENUE,BROOKLYN,11203,646-409-8030,59057,2.01603E+16,Permitted,2 YEARS - 5 YEARS,30,No,Private,LION2013,-73.929926,40.646629
FAITH CHRISTIAN ACADEMY,1137 E 223RD STREET CORPORATION,1137 EAST 223 STREET,BRONX,10466,718-881-1085,6514,2.01509E+16,Permitted,2 YEARS - 5 YEARS,18,No,Private,PAD2013,-73.848894,40.882555
FALU  FOUNDATION,DR FALU FOUNDATION INC,333 EAST 118 STREET,MANHATTAN,10035,212-828-6699,7520,2.01601E+16,Permitted,2 YEARS - 5 YEARS,11,No,Private,PAD2013,-73.935327,40.79786
FAMILY  SCHOOL  WEST,THE MONTESSORI FAMILY SCHOOL OF MANHATTAN,308 WEST 46 STREET,MANHATTAN,10036,212-582-1240,5645,2.01501E+16,Permitted,2 YEARS - 5 YEARS,28,No,Private,PAD2013,-73.988684,40.759868
FAMILY CENTER AT BROOKLYN FRIENDS,BROOKLYN FRIENDS SCHOOL,189 SCHERMERHORN STREET,BROOKLYN,11201,718-852-1029,8399,2.01509E+16,Permitted,2 YEARS - 5 YEARS,36,No,Private,PAD2013,-73.986471,40.689519
FAMILY HEAD START,NATIONAL ASSOCIATION OF FAMILY DEVELOPMENT CENTERS,293 NEPTUNE AVENUE,BROOKLYN,11235,718-332-8524,5076,2.01411E+16,Permitted,2 YEARS - 5 YEARS,192,No,ACS Head Start,PAD2013,-73.964245,40.581441
FAMILY HEAD START,NATIONAL ASSOCIATION OF FAMILY DEVELOPMENT CENTERS,3017 GLENWOOD ROAD,BROOKLYN,11210,718-859-7720,4595,2.01411E+16,Permitted,2 YEARS - 5 YEARS,133,No,ACS Head Start,PAD2013,-73.947101,40.634275
FAMILY HEAD START/ EARLY LEARN,NATIONAL ASSOCIATION OF FAMILY DEVELOPMENT CENTERS INC,8885 26 AVENUE,BROOKLYN,11214,718-258-7767,5800,2.01507E+16,Permitted,2 YEARS - 5 YEARS,69,No,ACS Head Start,PAD2013,-73.990389,40.590687
FANTASIA DAY CARE CENTER,FANTASM INC,2743 OCEAN AVENUE,BROOKLYN,11229,718-646-6738,6134,2.01403E+16,Permitted,2 YEARS - 5 YEARS,53,No,Private,PAD2013,-73.95015,40.594442
FARBER-BRUCH EARLY CHILDHOOD CENTER,EDITH  CARL MARKS JEWISH COMMUNITY HOUSE OF BENSONHURST INC,7802 BAY PARKWAY,BROOKLYN,11214,718-943-6333,1567,2.01509E+16,Permitted,2 YEARS - 5 YEARS,55,No,Private,PAD2013,-73.989751,40.606368
FED KIDS CHILD CARE CENTER MANAGED BY BRIGHT HORIZONS,BRIGHT HORIZONS CHILDRENS CENTER L L C,26 FEDERAL PLAZA,MANHATTAN,10007,212-264-4277,8332,2.01411E+16,Permitted,2 YEARS - 5 YEARS,58,No,Private,PAD2013,-74.004167,40.715431
FED KIDS CHILD CARE CENTER MANAGED BY BRIGHT HORIZONS,BRIGHT HORIZONS CHILDRENS CENTER L L C,26 FEDERAL PLAZA,MANHATTAN,10007,212-264-4277,8242,2.01411E+16,Permitted,0 YEARS - 2 YEARS,51,No,Private,PAD2013,-74.004167,40.715431
FIAF A PETIS PAS PRESCHOOL,FRENCH INSTITUTE ALLIANCE FRANCAISE,22 EAST 60TH STREET,MANHATTAN,10022,212-355-6100,22557,2.01409E+16,Permitted,2 YEARS - 5 YEARS,15,No,Private,PAD2013,-73.97058,40.763801
FINGER PAINTED HANDS PRESCHOOL,FINGER PAINTED HANDS INC,126 WEST 83RD STREET,MANHATTAN,10024,212-595-5200,32077,2.01502E+16,Permitted,2 YEARS - 5 YEARS,22,No,Private,PAD2013,-73.974804,40.784813
FIRST  PRESBYTERIAN CHURCH,CIRCLE OF FRIENDS EARLY LEARNING CENTER,41-54 MURRAY STREET,QUEENS,11355,718-359-3993,5288,2.01511E+16,Permitted,2 YEARS - 5 YEARS,20,No,Private,PAD2013,-73.812673,40.761539
FIRST CHOICE ACADEMY DAY CARE INC,FIRST CHOICE ACADEMY DAY CARE INC,192 EAST 58TH STREET,BROOKLYN,11203,718-451-3565,6686,2.01507E+16,Permitted,2 YEARS - 5 YEARS,51,No,Private,PAD2013,-73.922835,40.650428
FIRST FRIENDS PRE-SCHOOL,FIRST FRIENDS PRE-SCHOOL INC,245 WEST 74 STREET,MANHATTAN,10023,212-769-1088,5213,2.01409E+16,Permitted,2 YEARS - 5 YEARS,26,No,Private,PAD2013,-73.98261,40.780969
FIRST IMPRESSIONS NURSERY SCHOOL,STEPHANIENORMA AND FAY TROWERS,2513 BEDFORD AVENUE,BROOKLYN,11226,718-469-9792,5824,2.01403E+16,Expired-InRenewal,2 YEARS - 5 YEARS,29,No,Private,PAD2013,-73.954162,40.642166
FIRST PRESBYTERIAN CHURCH NURSERY SCHOOL,THE FIRST PRESBYTERIAN CHURCH IN THE CITY OF NY,12 WEST 12 STREET,MANHATTAN,10011,212-691-3432,1957,2.01403E+16,Expired-InRenewal,2 YEARS - 5 YEARS,79,No,Private,PAD2013,-73.995291,40.734774
FIRST STAR DAY CARE LEARNING CENTER - INFANT/TODDLER,FIRST STAR DAY CARE LEARNING CENTER - INFANT/TODDLER,145-88 GUY R BREWER BOULEVARD,QUEENS,11434,718-528-3363,7016,2.01504E+16,Permitted,0 YEARS - 2 YEARS,10,No,Private,PAD2013,-73.7687,40.663623
FIRST STEPPING STONES,FIRST STEPPING STONE LLC,4017 CHURCH AVENUE,BROOKLYN,11203,347-309-9493,8055,2.01508E+16,Permitted,2 YEARS - 5 YEARS,10,No,Private,PAD2013,-73.939396,40.651506
FIRST STEPS AT CLINTON,FIRST STEPS AT CLINTON,19 CLINTON STREET,MANHATTAN,10002,212-792-5770,8838,2.01311E+16,Expired-InRenewal,2 YEARS - 5 YEARS,25,No,Private,PAD2013,-73.984503,40.720758
FIRST STEPS AT CLINTON,FIRST STEPS AT CLINTON,19 CLINTON STREET,MANHATTAN,10002,212-792-5770,24657,2.0141E+16,Permitted,0 YEARS - 2 YEARS,18,No,Private,PAD2013,-73.984503,40.720758
FIRST STEPS DAY CARE CENTER,LATINO PASTORAL ACTION CENTER INC,15 EAST CLARKE PLACE,BRONX,10452,347-591-3711,8048,2.01508E+16,Permitted,2 YEARS - 5 YEARS,40,No,Private,LION2013,-73.918571,40.838285
FIRSTSTEPNYCPS/IS 41,SCO FAMILY OF SERVICES,411 THATFORD STREET,BROOKLYN,11212,347-758-0433,51758,2.01509E+16,Permitted,0 YEARS - 2 YEARS,28,No,Private,LION2013,-73.907275,40.660306
FIRSTSTEPNYCPS41FRANCIS WHITE,SCO FAMILY OF SERVICES,411 THATFORD AVENUE,BROOKLYN,11212,718-485-0295,51759,2.01509E+16,Permitted,2 YEARS - 5 YEARS,52,No,Corporate,PAD2013,-73.907058,40.66018
FIVE STAR DAY CARE CENTER,SOUTHEAST BRONX NEIGHBORHOOD CENTERS INC,3261 3 AVENUE,BRONX,10456,718-292-4774,4663,2.01505E+16,Permitted,2 YEARS - 5 YEARS,100,Yes,ACS Contracted Preschools,PAD2013,-73.908784,40.824602
FLUSHING YMCA EARLY CHILDHOOD PROGRAM,FLUSHING YMCA EARLY CHILDHOOD CENTER,138-46 NORTHERN BOULEVARD,QUEENS,11354,718-551-9356,4448,2.01508E+16,Permitted,2 YEARS - 5 YEARS,60,No,Private,PAD2013,-73.826374,40.763898
FOOTSTEPS CHILDCARE INC,FOOTSTEPS CHILDCARE INC,1125 BROADWAY,BROOKLYN,11221,718-443-0236,7434,2.01509E+16,Permitted,2 YEARS - 5 YEARS,42,No,Private,PAD2013,-73.929177,40.693809
FOOTSTEPS CHILDCARE INC,FOOTSTEPS CHILDCARE INC,1125 BROADWAY,BROOKLYN,11221,718-443-0236,7435,2.01509E+16,Permitted,0 YEARS - 2 YEARS,18,No,Private,PAD2013,-73.929177,40.693809
FOR KIDS ONLY  DAY CARE,FOR KIDS ONLY DAY CARE INC,902 MORRIS PARK AVENUE,BRONX,10462,718-823-8345,6890,2.01509E+16,Permitted,2 YEARS - 5 YEARS,15,No,Private,PAD2013,-73.859006,40.846599
FOR KIDS ONLY DAY CARE,FOR KIDS ONLY DAY CARE INC,900 MORRIS PARK AVENUE,BRONX,10462,718-823-8345,7456,2.01509E+16,Permitted,2 YEARS - 5 YEARS,30,No,Private,PAD2013,-73.859006,40.846599
FOR KIDS ONLY DAY CARE,FOR KIDS ONLY DAY CARE,902 MORRIS PARK AVENUE,BRONX,10462,718-823-8345,53197,2.0151E+16,Permitted,0 YEARS - 2 YEARS,34,No,Private,PAD2013,-73.859006,40.846599
FOR KIDS ONLY DAY CARE,FOR KIDS ONLY DAY CARE INC,904 MORRIS PARK AVENUE,BRONX,10462,718-823-8345,6892,2.01506E+16,Permitted,2 YEARS - 5 YEARS,20,No,Private,PAD2013,-73.859006,40.846599
FOREST HILLS JEWISH CENTER NURSERY SCHOOL AND KINDERGARTEN,FOREST HILLS JEWISH CENTER INC,106-06 QUEENS BOULEVARD,QUEENS,11375,718-263-7000,1857,2.01405E+16,Permitted,2 YEARS - 5 YEARS,150,No,Private,PAD2013,-73.847516,40.721637
FOREST HILLS MONTESSORI,FOREST HILLS MONTESSORI SCHOOL,67-04 AUSTIN STREET,QUEENS,11375,718-275-0173,5615,2.01507E+16,Permitted,2 YEARS - 5 YEARS,60,No,Private,PAD2013,-73.855559,40.723888
FOREST HILLS NURSERY AND KINDERGARTEN,FOREST HILLS NURSERY AND KINDERGARTEN,108-56 69 AVENUE,QUEENS,11375,718-544-3692,4429,2.01405E+16,Permitted,2 YEARS - 5 YEARS,26,No,Private,PAD2013,-73.843469,40.725387
FOREST HILLS WEST SCHOOL,NEW YORK LEAGUE FOR EARLY LEARNING- FOREST HILLS WEST SCHOOL,63-25 DRY HARBOR ROAD,QUEENS,11379,718-639-9750,6629,2.01502E+16,Permitted,2 YEARS - 5 YEARS,113,Yes,Private,PAD2013,-73.873726,40.72163
FOREVER YOUNG DAY CARE INC,FOREVER YOUNG DAY CARE INC,4503 AVENUE D,BROOKLYN,11203,718-451-5050,6991,2.01408E+16,Permitted,2 YEARS - 5 YEARS,35,No,Private,PAD2013,-73.933904,40.642047
