Site ID,Center Name,Permit Holder,Address,Borough,Zip Code,Phone,Permit Number,Permit Expiration Date,Permit Status,Age Range,Maximum Capacity,Certified to Administer Medication,Site Type,Total Maximum Capacity,Lat,Lon
DC11253,COMMUNITY & FAMILY HEAD START,COMMUNITY PARENTS INC.,41-05 BEACH CHANNEL DRIVE,QUEENS,11691,718-471-7970,7639,9/8/2014,Permitted,2 YEARS - 5 YEARS,113,Yes,ACS Head Start,113,40.5957763,-73.7731513
DC1119,COMMUNITY CHURCH OF DOUGLASTON NURSERY SCH,LINDEN DE BIE C.C.D.,39-50 DOUGLASTON PARKWAY,QUEENS,11363,718-767-1961,983,4/26/2014,Expired-InRenewal,2 YEARS - 5 YEARS,20,No,Private,20,40.7700443,-73.749827
DC2339,COMMUNITY HOUSE NURSERY AND KINDERGARTEN,CHURCH IN THE GARDENS COMMUNITY HOUSE,15 BORAGE PLACE,QUEENS,11375,718-268-0490,1546,6/25/2014,Permitted,2 YEARS - 5 YEARS,42,No,Private,42,40.7160352,-73.8410874
DC2713,COMMUNITY LIFE CENTER  INC. ARTHUR EUGENE & THELMA  ADAIR  HEAD START,COMMUNITY LIFE CENTER INC.,221 EAST 122 STREET,MANHATTAN,10035,212-427-6800,7182,1/25/2016,Permitted,2 YEARS - 5 YEARS,159,No,ACS Head Start,159,40.801627,-73.9361972
DC2132,COMMUNITY LIFE CENTER MT. MORRIS HEAD START,"COMMUNITY LIFE CENTER,INC. ARTHUR EUGENE & THELMA ADAIR HEAD START",15 MOUNT MORRIS PARK WEST,MANHATTAN,10027,212-427-1077,8049,9/23/2015,Permitted,2 YEARS - 5 YEARS,135,No,ACS Head Start,135,40.8050612,-73.9456066
DC1161,COMMUNITY NURSERY SCHOOL AT THE CHURCH ON THE HILL,THE CHURCH ON THE HILL - REFORMED,167-07 35 AVENUE,QUEENS,11358,718-539-0732,2323,6/30/2015,Permitted,2 YEARS - 5 YEARS,44,No,Private,44,40.7650706,-73.7985106
DC2039,COMMUNITY PARENTS HEAD START,"COMMUNITY PARENTS, INC.",90 CHAUNCEY STREET,BROOKLYN,11233,718-771-4002,4639,7/1/2015,Permitted,2 YEARS - 5 YEARS,60,Yes,ACS Head Start,60,40.6801996,-73.9305824
DC2142,COMMUNITY RESOURCES PRE-SCHOOL,"STATEN ISLAND AID FOR THE MENTALLY RETARDED, INC.",3651 RICHMOND ROAD,STATEN ISLAND,10306,718-351-6416,6674,5/16/2015,Permitted,2 YEARS - 5 YEARS,81,Yes,Private,81,40.572498,-74.1431039
DC21852,COMPREHENSIVE,COMPREHENSIVE KIDS DEVELOPMENT CENTER,101 NORFOLK STREET,MANHATTAN,10002,917-414-2344,17017,5/22/2014,Expired-InRenewal,2 YEARS - 5 YEARS,57,No,Private,57,40.7187594,-73.9871818
DC17355,COMPREHENSIVE KIDS DEVELOPMENTAL SCHOOL,COMPREHENSIVE KIDS DEVELOPMENTAL SCHOOL,383-387 GRAND STREET,MANHATTAN,10002,212-539-0259,7872,3/17/2016,Permitted,2 YEARS - 5 YEARS,100,No,Private,100,40.7159738,-73.988344
DC22339,CONCERNED PARENTS OF JAMAICA EARLY LEARNING CENTER,"CLIFFORD GLOVER DAY CARE CENTER, INC.",143-04 101 AVENUE,QUEENS,11435,718-658-4091,25257,10/16/2014,Permitted,2 YEARS - 5 YEARS,129,No,ACS Contracted Preschools,129,40.694813,-73.807941
DC11901,CONCOURSE HOUSE DAY CARE CENTER,CONCOURSE HOUSE,2751 GRAND CONCOURSE,BRONX,10468,718-584-4400,6239,9/5/2015,Permitted,2 YEARS - 5 YEARS,38,No,ACS Contracted Preschools,38,40.868404,-73.89336
DC24619,CONEY ISLAND CHILD CARE CENTER,"LABOR & INDUSTRY FOR EDUCATION, INC.",2757 WEST 33RD STREET,BROOKLYN,11224,718-942-4494,24617,10/11/2014,Permitted,2 YEARS - 5 YEARS,58,No,ACS Contracted Preschools,58,40.5780495,-74.0001246
DC22496,CONEY ISLAND DAY CARE,"CONEY ISLAND DAY CARE, INC",1001 NEWKIRK AVENUE,BROOKLYN,11230,347-915-0831,19317,7/23/2014,Permitted,2 YEARS - 5 YEARS,99,No,Private,99,40.634009,-73.966939
DC17815,CONGREGATION B'NAI ISRAEL ACADEMY PRESCHOOL,CONGREGATION B'NAI ISRAEL OF STATEN ISLAND,45 TWOMBLY AVENUE,STATEN ISLAND,10306,718-987-6200,7852,2/4/2016,Permitted,2 YEARS - 5 YEARS,26,No,Private,26,40.558924,-74.132871
DC426,CONGREGATION BETH ELOHIM  ECC,CONGREGATION BETH ELOHIM ECC,274 GARFIELD PLACE,BROOKLYN,11215,718-499-6208,4892,9/22/2014,Permitted,2 YEARS - 5 YEARS,200,No,Private,200,40.6709486,-73.9744505
DC23180,CONGREGATION BNEI YONASAN,CONGREGATION BNEI YONASAN,1362 46TH STREET,BROOKLYN,11219,718-438-1825,50317,8/15/2015,Permitted,2 YEARS - 5 YEARS,30,No,Private,30,40.6357274,-73.9887823
DC2279,"CONGREGATION OF THE MOTHERS OF THE HELPLESS, INC","CONGREGATION OF THE MOTHERS OF THE HELPLESS, INC",432 WEST 20 STREET,MANHATTAN,10011,212-929-0839,6880,9/18/2015,Permitted,0 YEARS - 2 YEARS,8,No,Private,8,40.7450863,-74.0043968
DC14245,"CONGREGATION OF THE MOTHERS OF THE HELPLESS, INC.","CONGREGATION OF THE MOTHERS OF THE HELPLESS, INC.",432 WEST 20TH STREET,MANHATTAN,10011,212-929-0839,1382,3/8/2015,Permitted,2 YEARS - 5 YEARS,57,No,Private,57,40.7450863,-74.0043968
DC1350,CONGREGATION OHEL YITZCHOK,CONGREGATION OHEL YITZCHOK,137-56 70 AVENUE,QUEENS,11367,718-261-7037,5218,4/28/2016,Permitted,2 YEARS - 5 YEARS,70,No,Private,70,40.728278,-73.826087
DC12106,COOPER PARK CHILD CARE CENTER,"EPISCOPAL SOCIAL SERVICES OF NEW YORK, INC.",292 FROST STREET,BROOKLYN,11222,718-389-5959,5281,2/12/2015,Permitted,2 YEARS - 5 YEARS,55,No,ACS Contracted Preschools,55,40.7189033,-73.9395674
DC1638,CORNERSTONE DAY CARE CENTER,"CORNERSTONE DAY CARE CENTER, INC.",289 LEWIS AVENUE,BROOKLYN,11221,718-574-8300,2267,7/8/2014,Permitted,2 YEARS - 5 YEARS,68,No,ACS Contracted Preschools,68,40.6858803,-73.9356095
DC15603,"CORTELYOU  EARLY CHILDHOOD CENTER, INC.","CORTELYOU EARLY CHILDHOOD CENTER, INC.",2739  BEDFORD AVENUE,BROOKLYN,11210,718-421-9581,7676,12/4/2014,Permitted,2 YEARS - 5 YEARS,36,No,Private,36,40.636007,-73.953168
DC1992,CORTELYOU EARLY CHILDHOOD CENTER INC.,"CORTELYOU EARLY CHILDHOOD CENTER, INC.",386 MARLBOROUGH ROAD,BROOKLYN,11226,718-856-2880,6644,4/19/2015,Permitted,2 YEARS - 5 YEARS,70,No,Private,70,40.64063,-73.9646
DC1706,"CORTELYOU EARLY CHILDHOOD CENTER, INC.","CORTELYOU EARLY CHILDHOOD CENTER, INC.",1110 CORTELYOU ROAD,BROOKLYN,11218,718-282-6077,5481,3/2/2016,Permitted,2 YEARS - 5 YEARS,66,No,Private,66,40.639551,-73.9674579
DC22116 / DC22117,COSMOKIDZ PRE-SCHOOL / COSMOKIDZ  INFANTS,COSMOKIDZ LLC / COSMOKIDZ  LLC,71-33 162 STREET,QUEENS,11365,718-380-5439 / 718-380-5439,26457 / 26497,10/25/2014 / 10/25/2014,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,38 / 10,No / No,Private / Private,48,40.7294045,-73.8072184
DC11633,COZY CRIB DAY CARE/PRESCHOOL,COZY CRIB INC.,6808 11 AVENUE,BROOKLYN,11219,718-833-3750,7201,1/27/2016,Permitted,2 YEARS - 5 YEARS,20,No,Private,20,40.62676,-74.00827
DC2206,CPC JACOB RIIS CHILD CARE CENTER,"CHINESE AMERICAN PLANNING COUNCIL, INC.",90 AVENUE D,MANHATTAN,10009,212-533-9138,6419,7/5/2015,Permitted,0 YEARS - 2 YEARS,9,Yes,ACS Contracted Preschools,9,40.7229054,-73.9760113
DC3149 / DC14177,CRAVATH CHILDREN'S CENTER PRESCHOOL / CRAVATH CHILDREN'S CENTER  I/T,"CRAVATH, SWAINE & MOORE LLP / CRAVATH, SWAINE & MOORE LLP",825 8 AVENUE,MANHATTAN,10019,212-474-4445 / 212-474-4445,7120 / 7121,07/11/2015 / 07/11/2015,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,20 / 8,No / No,Private / Private,28,40.7621477,-73.9866514
DC2929,CRAYON BOX PRESCHOOL,"CRAYON BOX, INC.",44-10 192 STREET,QUEENS,11358,718-888-9341,6680,6/20/2015,Permitted,2 YEARS - 5 YEARS,52,No,Private,52,40.7561763,-73.7892674
DC22434 / DC22296,CREATIVE ACADEMY OF NY INFANT/TODDLER / CREATIVE ACADEMY,CREATIVE ACADAMY OF NY LLC / CREATIVE ACADEMY OF NY LLC,228 BUSHWICK AVENUE,BROOKLYN,11206,347-689-2222 / 347-689-2222,20777 / 18897,08/14/2014 / 07/12/2014,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,36 / 63,No / No,Private / Private,99,40.7080589,-73.9400655
DC10993,CREATIVE DISCOVERY PRE-SCHOOL,CREATIVE DISCOVERY PRE-SCHOOL INC,64-01 102 STREET,QUEENS,11374,718-897-5148,7293,10/1/2014,Permitted,2 YEARS - 5 YEARS,64,No,Private,64,40.731709,-73.853252
DC25657,CREATIVE KIDS ACADEMY DAY CARE,BERTRAM THOMAS,917 EAST 82ND STREET,BROOKLYN,11236,347-608-0856,51960,9/13/2015,Permitted,2 YEARS - 5 YEARS,24,No,Private,24,40.636229,-73.911129
DC25313,CREATIVE LEARNING CLUB HOUSE,"CREATIVE LEARNING CLUBHOUSE, INC.",275 WALKER STREET,STATEN ISLAND,10303,718-448-0582,64678,5/20/2016,Permitted,2 YEARS - 5 YEARS,30,No,Private,30,40.631642,-74.148587
DC412,"CREATIVE MINDS CENTER,INC.","CREATIVE MINDS CENTER,INC.",1032 RUTLAND ROAD,BROOKLYN,11212,718-604-8486,5973,11/15/2014,Permitted,2 YEARS - 5 YEARS,35,No,Private,35,40.662994,-73.925372
DC23090 / DC22243,KAYKAR ALL ABOUT THE CHILDREN CENTER / CREATIVE MINDS PRESCHOOL,KAYKAR CENTER CORPORATION / CREATIVE MINDS SERVICE L.L.C.,755 EASTERN PARKWAY,BROOKLYN,11213,347-817-9314 / 718-576-6484,40197 / 36798,05/15/2015 / 04/09/2015,Permitted / Permitted,2 YEARS - 5 YEARS / 2 YEARS - 5 YEARS,23 / 30,Yes / No,Private / Private,53,40.669939,-73.943312
DC26239 / DC26238,CREATIVE STEPS EARLY CARE AND EDUCATION / CREATIVE STEPS EARLY CARE AND EDUCATION,UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK / UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,4 WASHINGTON SQUARE VILLAGE,MANHATTAN,10012,212-982-2273 / 212-982-2273,56101 / 56100,01/17/2016 / 01/17/2016,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,40 / 15,No / No,Private / Private,55,-73.9971446,
DC12283,CREATIVE YEARS DAY CARE CENTER,CREATIVE YEARS DAY CARE CENTER,138-72 FRANCIS LEWIS BOULEVARD,QUEENS,11422,718-341-6288,7368,3/18/2015,Permitted,2 YEARS - 5 YEARS,20,No,Private,20,40.6670923,-73.7372094
DC2268,CROSS ISLAND YMCA,"YOUNG MEN'S CHRISTIAN ASSOCIATION OF GREATER NEW YORK, INC.",238-10 HILLSIDE AVENUE,QUEENS,11427,718-551-9313,3029,5/10/2016,Permitted,2 YEARS - 5 YEARS,74,No,Private,74,40.73221,-73.727493
DC25273,CYPRESS BRONX KATHY'S DAYCARE,CYPRESS BRONX KATHY'S DAYCARE INC.,235 CYPRESS AVENUE,BRONX,10454,718-585-2849,59718,3/31/2016,Permitted,2 YEARS - 5 YEARS,64,No,Private,64,40.80543,-73.914919
DC10551,CYPRESS HILLS CHILD CARE CENTER,CYPRESS HILLS CHILD CARE CENTER CORPORATION,108 PINE STREET,BROOKLYN,11208,718-647-5005,6916,8/17/2015,Permitted,2 YEARS - 5 YEARS,74,No,ACS Contracted Preschools,74,40.6840149,-73.8733875
DC23076,D'LITTLE STAR EDUCATION & ACTIVITY CENTER,D'LITTLE STAR DAY CARE INC.,111-08  SUTPHIN BLVD.,QUEENS,11435,718-297-9779,37037,4/11/2015,Permitted,2 YEARS - 5 YEARS,29,No,Private,29,40.6882884,-73.7953711
DC716,DANIELLE 'S EDUCATING FOR THE FUTURE,"DANIELLE'S EDUCATING FOR THE FUTURE, INC.",144 EAST 56TH  STREET,BROOKLYN,11203,718-345-8778,6085,8/28/2015,Permitted,2 YEARS - 5 YEARS,28,No,Private,28,40.653481,-73.925076
DC21686,DAWNING  VILLAGE TOO,"DAWNING VILLAGE, INC.",2211 FIRST AVENUE,MANHATTAN,10029,212-534-3999,8308,6/20/2013,Expired-InRenewal,2 YEARS - 5 YEARS,35,No,ACS Contracted Preschools,35,40.7945621,-73.9364733
DC1291,"DAWNING VILLAGE, INC.","DAWNING VILLAGE, INC.",2090 1 AVENUE,MANHATTAN,10029,212-369-5313,6465,6/4/2015,Permitted,2 YEARS - 5 YEARS,105,No,ACS Contracted Preschools,105,40.7908534,-73.9391566
DC21175,DAY SCHOOL AT CHRIST & SAINT STEPHEN'S CHURCH,CHRIST AND SAINT STEPHEN'S CHURCH,122 WEST 69TH STREET,MANHATTAN,10023,212-787-2755,10258,12/23/2015,Permitted,2 YEARS - 5 YEARS,58,No,Private,58,40.7757155,-73.9813735
DC2341,DAYTON TOWERS WEST PLAYGROUP,DAYTON TOWERS WEST PLAYGROUP,105-00 SHORE FRONT PARKWAY,QUEENS,11694,718-474-8274,5302,9/8/2014,Permitted,2 YEARS - 5 YEARS,20,No,Private,20,40.58212,-73.8218836
DC21354,DCAIB CENTER,DCAIB CENTER LTD.,140-17 243 STREET,QUEENS,11422,718-528-3000,21637,8/28/2014,Permitted,2 YEARS - 5 YEARS,18,No,Private,18,40.652361,-73.7407747
DC1240,DEWITT REFORMED CHURCH HEAD START,DEWITT REFORMED CHURCH,123 RIDGE STREET,MANHATTAN,10002,212-505-8050,4941,10/5/2014,Permitted,2 YEARS - 5 YEARS,54,Yes,ACS Head Start,54,40.7192842,-73.9830468
DC1241,DEWITT REFORMED CHURCH HEAD START,DEWITT REFORMED CHURCH,280 RIVINGTON STREET,MANHATTAN,10002,212-254-3070,2090,10/5/2014,Permitted,2 YEARS - 5 YEARS,95,Yes,ACS Head Start,95,40.7174929,-73.9795156
DC19351,DIKI DAY CARE,DIKI DAYCARE,30-81 STEINWAY STREET,QUEENS,11103,718-278-1570,8084,10/25/2015,Permitted,2 YEARS - 5 YEARS,37,No,Private,37,40.7617646,-73.9163595
DC26085 / DC24729,DIKI DISCOVERY CENTER / DIKI DISCOVERY CENTER,"DIKI DISCOVERY CENTER / DIKI DISCOVERY CENTER, INC.",30-16 37TH STREET,QUEENS,11103,718-278-7500 / 718-000-0000,54238 / 54237,11/18/2015 / 11/18/2015,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,19 / 9,No / No,Private / Private,28,40.76435,-73.917132
DC2605,DOLLY & FRANK RUSSO SR. FIRST STEP EARLY CHILDHOOD CENTER,HEARTSHARE HUMAN SERVICES OF NEW YORK,118-03 101 AVENUE,QUEENS,11419,718-805-7117,6413,6/4/2015,Permitted,2 YEARS - 5 YEARS,22,No,Private,22,40.6897774,-73.8266535
DC2693,DOLLY/FRANK RUSSO/FIRST STEP,HEARTSHARE HUMAN SERVICE OF NEW YORK,118-01 101 AVENUE,QUEENS,11419,718-805-7117,6354,6/13/2015,Permitted,2 YEARS - 5 YEARS,40,No,Private,40,40.6897299,-73.8268257
DC2088 / DC11636,"DOMINICAN SISTERS FAMILY HEALTH SERVICES, INC. / DOMINICAN SISTERS FAMILY HEALTH  SERVICES, INC.","DOMINICAN SISTERS FAMILY HEALTH SERVICES INC. / DOMINICAN SISTERS FAMILY HEALTH SERVICES, INC.",454 EAST 148 STREET,BRONX,10455,718-993-8963 / 718-993-8963,7074 / 7138,03/02/2015 / 07/26/2015,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,15-Oct,No / No,Private / Private,25,40.8143114,-73.9158808
DC3123,DOROTHY DAY HEAD START,"BROADWAY HOUSING COMMUNITIES,INC.",583 RIVERSIDE DRIVE,MANHATTAN,10031,212-862-7155,7319,8/25/2014,Permitted,2 YEARS - 5 YEARS,51,No,Head Start (Direct Fed. Funding),51,40.8211793,-73.9570705
DC14240,DOWNING STREET PLAYGROUP,"THE DOWNING STREET PLAYGROUP, INC.",32 CARMINE STREET,MANHATTAN,10014,212-924-2557,6705,6/8/2014,Permitted,2 YEARS - 5 YEARS,15,No,Private,15,40.7301318,-74.0030355
DC1124,DOWNTOWN  LITTLE  SCHOOL,DOWNTOWN LITTLE SCHOOL,15 DUTCH STREET,MANHATTAN,10038,212-791-1300,7167,9/12/2015,Permitted,2 YEARS - 5 YEARS,75,No,Private,75,40.7097108,-74.0072095
DC14796,DR C.R. JOHNSON CHRISTIAN DAY CARE,"BROOKLYN TABERNACLE DELIVERANCE CENTER, INC.",600 LAFAYETTE AVENUE,BROOKLYN,11216,718-732-1531,5021,1/18/2014,Expired-InRenewal,2 YEARS - 5 YEARS,29,No,Private,29,40.6896738,-73.9507837
DC14237,DR. KATHARINE DODGE BROWNELL SCHOOL,"LEAKE AND WATTS SERVICES, INC.",450 CASTLE HILL AVENUE,BRONX,10473,718-430-7938,5963,9/19/2015,Permitted,2 YEARS - 5 YEARS,113,No,Private,113,40.816714,-73.847073
DC21458,DREAMLAND DAY CARE CENTER,DREAMLAND DAY CARE CENTER INC.,1379 WEST 7TH STREET,BROOKLYN,11204,718-232-8155,8228,12/23/2014,Permitted,2 YEARS - 5 YEARS,40,No,Private,40,40.6115911,-73.9812463
DC1938 / DC14814,DUFFIELD CHILDREN'S CENTER HEAD START PROGRAM / DUFFIELD CHILDREN'S CENTER,BROOKLYN BUREAU OF COMMUNITY SERVICE / BROOKLYN BUREAU OF COMMUNITY SERVICE,101 FLEET PLACE,BROOKLYN,11201,718-522-5296 / 718-522-5296,6518 / 5895,06/29/2014 / 06/14/2014,Permitted / Permitted,2 YEARS - 5 YEARS / 2 YEARS - 5 YEARS,36 / 77,No / No,Head Start (Direct Fed. Funding) / ACS Contracted Preschools,113,40.692723,-73.9813
DC23168,DVORA/PRESCHOOL,"DVORA,INC.",2817 WEST 12TH STREET,BROOKLYN,11224,718-265-4596,35757,3/20/2015,Permitted,2 YEARS - 5 YEARS,35,No,Private,35,40.5791351,-73.9796019
DC14959,DWIGHT EARLY CHILDHOOD DIVISION,WOODSIDE PRESCHOOL RIVERSIDE BLVD. LLC,140  RIVERSIDE BLVD,MANHATTAN,10069,212-362-2350,7540,12/9/2015,Permitted,2 YEARS - 5 YEARS,75,No,Private,75,40.7772622,-73.9886985
DC17886 / DC14097 / DC2256,"LAGUARDIA COMMUNITY EARLY CHILDHOOD LEARNING CENTER PROGRAM / LAGUARDIA COMMUNITY COLLEGE ECLC PROGRAMS,INC. / EARLY CHILDHOOD LEARNING CENTER PROGRAMS","LAGUARDIA COMMUNITY COLLEGE EARLY CHILDHOOD LEARNING CENTER PROGRAM / LAGUARDIA COMMUNITY COLLEGE ECLC PROGRAMS,INC / LA GUARDIA COMMUNITY COLLEGE -ECLC PROGRAMS INC",31-10 THOMSON AVENUE,QUEENS,11101,718-482-5295 / 718-482-5295 / 718-482-5295,7826 / 4544 / 7063,12/28/2015 / 06/19/2014 / 11/17/2014,Permitted / Permitted / Permitted,2 YEARS - 5 YEARS / 2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,84 / 30 / 30,No / No / No,Private / Private / Private,144,40.7449913,-73.9377986
DC24612,EARLY LIFE,LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK,110 WEST 146TH STREET,MANHATTAN,10039,646-478-7949,24818,10/12/2014,Permitted,2 YEARS - 5 YEARS,110,No,ACS Contracted Preschools,110,40.8214101,-73.9365025
DC24609,EARLY LIFE,LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK,1175 GATES AVENUE,BROOKLYN,11221,212-870-1100,24538,10/10/2014,Permitted,2 YEARS - 5 YEARS,136,No,ACS Contracted Preschools,136,40.6917193,-73.920155
DC24614,EARLY LIFE,"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC.",151-157 WEST 136TH STREET,MANHATTAN,10030,212-933-1815,24797,10/12/2014,Permitted,2 YEARS - 5 YEARS,66,No,ACS Contracted Preschools,66,-73.942285,
DC24607,EARLY LIFE,LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK,200 WEST TREMONT AVENUE,BRONX,10453,917-962-4344,26157,10/24/2014,Permitted,2 YEARS - 5 YEARS,175,Yes,ACS Contracted Preschools,175,40.8518427,-73.9170441
DC22393,EARLY LIFE,"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC.",2125 WATSON AVENUE,BRONX,10472,718-943-0580,28757,12/6/2014,Permitted,2 YEARS - 5 YEARS,115,No,ACS Contracted Preschools,115,40.829799,-73.852836
DC24615,EARLY LIFE,LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK,218 WEST 147TH STREET,MANHATTAN,10039,646-360-4093,26578,10/26/2014,Permitted,2 YEARS - 5 YEARS,264,No,ACS Contracted Preschools,264,40.8235134,-73.939509
DC24610,EARLY LIFE,"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC.",265 MARCUS GARVEY BLVD.,BROOKLYN,11221,347-689-8303,24777,10/12/2014,Permitted,2 YEARS - 5 YEARS,116,No,ACS Contracted Preschools,116,40.68854,-73.93879
DC24613,EARLY LIFE,"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC.",510-516 WEST 145TH STREET,MANHATTAN,10031,646-449-0814,26441,10/25/2014,Permitted,2 YEARS - 5 YEARS,149,No,ACS Contracted Preschools,149,40.825391,-73.948725
DC24606,EARLY LIFE,"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC.",80 EAST 181ST STREET,BRONX,10453,718-365-6247,26737,10/31/2014,Permitted,2 YEARS - 5 YEARS,240,Yes,ACS Contracted Preschools,240,40.8550106,-73.9043248
DC24608,EARLY LIFE,LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK,888 WESTCHESTER AVENUE,BRONX,10459,718-450-3556,26118,10/24/2014,Permitted,2 YEARS - 5 YEARS,145,Yes,ACS Contracted Preschools,145,40.8207922,-73.8994529
DC2975,EARLY SUNRISE PRESCHOOL AND KINDERGARTEN,"EARLY SUNRISE PRE-SCHOOL AND KINDERGARTEN,INC.",187-08 HILLSIDE AVENUE,QUEENS,11432,718-736-9064,6827,10/25/2014,Permitted,2 YEARS - 5 YEARS,29,No,Private,29,40.7147386,-73.7748844
DC1178,"EARLY SUNRISE PRESCHOOL&KINDERGARTEN,INC.","EARLY SUNRISE PRESCHOOL&KINDERGARTEN,INC.",187-10 HILLSIDE AVENUE,QUEENS,11432,718-736-9064,7000,7/7/2014,Permitted,2 YEARS - 5 YEARS,29,No,Private,29,40.714535,-73.774739
DC18943,EAST BRONX DAY CARE,TREMONT CROTONA DAY CARE CENTER INC.,1113 COLGATE AVENUE,BRONX,10472,718-617-2900,7942,9/12/2014,Permitted,2 YEARS - 5 YEARS,80,No,ACS Contracted Preschools,80,40.8258507,-73.8814244
DC1493,EAST CALVARY DAY CARE CENTER INC.,EAST CALVARY DAY CARE CENTER INC.,1 WEST 112 STREET,MANHATTAN,10026,212-534-5249,1483,3/27/2015,Permitted,2 YEARS - 5 YEARS,59,No,ACS Contracted Preschools,59,40.7981626,-73.9483435
DC2419,EAST CHELSEA CHILDRENS WORKSHOP,JACQUELYN MARKS,17 EAST 16 STREET,MANHATTAN,10003,212-691-8964,4869,7/15/2015,Permitted,2 YEARS - 5 YEARS,29,No,Private,29,40.7369864,-73.991442
DC1242,EAST HARLEM BILINGUAL   HEAD START,"EAST HARLEM COUNCIL FOR HUMAN SERVICES,INC.",440 EAST 116 STREET,MANHATTAN,10029,212-427-9010,4529,10/26/2014,Permitted,2 YEARS - 5 YEARS,160,No,ACS Head Start,160,40.7952872,-73.9337465
DC1285,EAST HARLEM BLOCK  NURSERY #2,EAST HARLEM BLOCK SCHOOLS,2112 MADISON AVENUE,MANHATTAN,10037,212-234-3333,879,5/4/2014,Expired-InRenewal,2 YEARS - 5 YEARS,79,No,ACS Contracted Preschools,79,40.8106234,-73.9371012
DC2153,EAST HARLEM BLOCK NURSERY #1,"EAST HARLEM BLOCK NURSERY,INC.",215 EAST 106 STREET,MANHATTAN,10029,212-427-2571,2261,7/2/2015,Permitted,2 YEARS - 5 YEARS,56,No,ACS Contracted Preschools,56,40.7915377,-73.9439798
DC21651,EAST HARLEM BLOCK NURSERY/GRANT DAY CARE CENTER,"EAST HARLEM BLOCK NURSERY, INC.",1299 AMSTERDAM AVENUE,MANHATTAN,10027,212-666-6000,8281,5/23/2015,Permitted,2 YEARS - 5 YEARS,68,No,ACS Contracted Preschools,68,40.8119955,-73.9572652
DC11067,EAST HARLEM COUNCIL FOR HUMAN SERVICES INC.BILINGUAL HEAD START,EAST HARLEM COUNCIL FOR HUMAN SERVICES INC.,30 EAST 111 STREET,MANHATTAN,10029,212-860-7201,6385,1/24/2015,Permitted,2 YEARS - 5 YEARS,87,No,ACS Head Start,87,40.7969324,-73.9479732
DC1785,EAST MIDWOOD HEBREW DAY SCHOOL,RABBI HARRY HALPERN DAY SCHOOL,1256 EAST 21 STREET,BROOKLYN,11210,718-253-1555,1465,10/28/2014,Permitted,2 YEARS - 5 YEARS,83,No,Private,83,40.622416,-73.954984
DC2635,EAST RIVER CHILD DEVELOPMENT CENTER,EAST RIVER CHILD DEVELOPMENT CENTER,570 GRAND STREET,MANHATTAN,10002,212-254-7301,6952,2/29/2016,Permitted,2 YEARS - 5 YEARS,37,No,Private,37,40.71401,-73.9788572
DC1446,EAST RIVER CHILD DEVELOPMENT CENTER,EAST RIVER CHILD DEVELOPMENT CENTER,577 GRAND STREET,MANHATTAN,10002,212-254-7300,4149,7/18/2015,Permitted,2 YEARS - 5 YEARS,77,No,Private,77,40.7134938,-73.9793021
DC181,EAST SIDE HOUSE SETTLEMENT HEAD START/DAY CARE,EAST SIDE HOUSE SETTLEMENT,201 ST. ANN'S AVENUE,BRONX,10454,718-993-4854,4636,7/17/2014,Permitted,2 YEARS - 5 YEARS,27,No,ACS Head Start,27,40.8060784,-73.9180742
DC182,EAST SIDE HOUSE SETTLEMENT HEAD START/DAY CARE,EAST SIDE HOUSE SETTLEMENT,375 EAST 143RD STREET,BRONX,10454,718-292-5335,2094,11/10/2014,Permitted,2 YEARS - 5 YEARS,80,No,ACS Head Start,80,40.8128241,-73.9213417
DC14111,EAST SIDE SETTLEMENT HOUSE HEAD START/ DAY CARE,EAST SIDE HOUSE SETTLEMENT,414 MORRIS AVENUE,BRONX,10451,718-401-4242,7400,6/28/2015,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,60,40.814486,-73.922739
