Site ID,Center Name,Permit Holder,Address,Borough,Zip Code,Phone,Permit Number,Permit Expiration Date,Permit Status,Age Range,Maximum Capacity,Certified to Administer Medication,Site Type,Lat,Lon
DC10551,CYPRESS HILLS CHILD CARE CENTER,CYPRESS HILLS CHILD CARE CENTER CORPORATION,108 PINE STREET,BROOKLYN,11208,718-647-5005,6916,08/17/2015,Permitted,2 YEARS - 5 YEARS,74,No,ACS Contracted Preschools,40.6840149,-73.87338749999999
DC23076,D'LITTLE STAR EDUCATION & ACTIVITY CENTER,D'LITTLE STAR DAY CARE INC.,111-08  SUTPHIN BLVD.,QUEENS,11435,718-297-9779,37037,04/11/2015,Permitted,2 YEARS - 5 YEARS,29,No,Private,40.6882884,-73.79537110000001
DC716,DANIELLE 'S EDUCATING FOR THE FUTURE,"DANIELLE'S EDUCATING FOR THE FUTURE, INC.",144 EAST 56TH  STREET,BROOKLYN,11203,718-345-8778,6085,08/28/2015,Permitted,2 YEARS - 5 YEARS,28,No,Private,40.653481,-73.92507599999999
DC21686,DAWNING  VILLAGE TOO,"DAWNING VILLAGE, INC.",2211 FIRST AVENUE,MANHATTAN,10029,212-534-3999,8308,06/20/2013,Expired-InRenewal,2 YEARS - 5 YEARS,35,No,ACS Contracted Preschools,40.7945621,-73.93647330000002
DC1291,"DAWNING VILLAGE, INC.","DAWNING VILLAGE, INC.",2090 1 AVENUE,MANHATTAN,10029,212-369-5313,6465,06/04/2015,Permitted,2 YEARS - 5 YEARS,105,No,ACS Contracted Preschools,40.7908534,-73.93915659999999
DC21175,DAY SCHOOL AT CHRIST & SAINT STEPHEN'S CHURCH,CHRIST AND SAINT STEPHEN'S CHURCH,122 WEST 69TH STREET,MANHATTAN,10023,212-787-2755,10258,12/23/2015,Permitted,2 YEARS - 5 YEARS,58,No,Private,40.7757155,-73.9813735
DC2341,DAYTON TOWERS WEST PLAYGROUP,DAYTON TOWERS WEST PLAYGROUP,105-00 SHORE FRONT PARKWAY,QUEENS,11694,718-474-8274,5302,09/08/2014,Permitted,2 YEARS - 5 YEARS,20,No,Private,40.58212,-73.82188359999999
DC21354,DCAIB CENTER,DCAIB CENTER LTD.,140-17 243 STREET,QUEENS,11422,718-528-3000,21637,08/28/2014,Permitted,2 YEARS - 5 YEARS,18,No,Private,40.652361,-73.7407747
DC1240,DEWITT REFORMED CHURCH HEAD START,DEWITT REFORMED CHURCH,123 RIDGE STREET,MANHATTAN,10002,212-505-8050,4941,10/05/2014,Permitted,2 YEARS - 5 YEARS,54,Yes,ACS Head Start,40.7192842,-73.9830468
DC1241,DEWITT REFORMED CHURCH HEAD START,DEWITT REFORMED CHURCH,280 RIVINGTON STREET,MANHATTAN,10002,212-254-3070,2090,10/05/2014,Permitted,2 YEARS - 5 YEARS,95,Yes,ACS Head Start,40.7174929,-73.9795156
DC19351,DIKI DAY CARE,DIKI DAYCARE,30-81 STEINWAY STREET,QUEENS,11103,718-278-1570,8084,10/25/2015,Permitted,2 YEARS - 5 YEARS,37,No,Private,40.7617646,-73.9163595
DC24729,DIKI DISCOVERY CENTER,"DIKI DISCOVERY CENTER, INC.",30-16 37TH STREET,QUEENS,11103,718-000-0000,54237,11/18/2015,Permitted,0 YEARS - 2 YEARS,9,No,Private,40.76435,-73.917132
DC26085,DIKI DISCOVERY CENTER,DIKI DISCOVERY CENTER,30-16 37TH STREET,QUEENS,11103,718-278-7500,54238,11/18/2015,Permitted,2 YEARS - 5 YEARS,19,No,Private,40.76435,-73.917132
DC2605,DOLLY & FRANK RUSSO SR. FIRST STEP EARLY CHILDHOOD CENTER,HEARTSHARE HUMAN SERVICES OF NEW YORK,118-03 101 AVENUE,QUEENS,11419,718-805-7117,6413,06/04/2015,Permitted,2 YEARS - 5 YEARS,22,No,Private,40.6897774,-73.8266535
DC2693,DOLLY/FRANK RUSSO/FIRST STEP,HEARTSHARE HUMAN SERVICE OF NEW YORK,118-01 101 AVENUE,QUEENS,11419,718-805-7117,6354,06/13/2015,Permitted,2 YEARS - 5 YEARS,40,No,Private,40.6897299,-73.8268257
DC11636,"DOMINICAN SISTERS FAMILY HEALTH  SERVICES, INC.","DOMINICAN SISTERS FAMILY HEALTH SERVICES, INC.",454 EAST 148 STREET,BRONX,10455,718-993-8963,7138,07/26/2015,Permitted,2 YEARS - 5 YEARS,15,No,Private,40.8143114,-73.9158808
DC2088,"DOMINICAN SISTERS FAMILY HEALTH SERVICES, INC.",DOMINICAN SISTERS FAMILY HEALTH SERVICES INC.,454 EAST 148 STREET,BRONX,10455,718-993-8963,7074,03/02/2015,Permitted,0 YEARS - 2 YEARS,10,No,Private,40.8143114,-73.9158808
DC3123,DOROTHY DAY HEAD START,"BROADWAY HOUSING COMMUNITIES,INC.",583 RIVERSIDE DRIVE,MANHATTAN,10031,212-862-7155,7319,08/25/2014,Permitted,2 YEARS - 5 YEARS,51,No,Head Start (Direct Fed. Funding),40.8211793,-73.9570705
DC14240,DOWNING STREET PLAYGROUP,"THE DOWNING STREET PLAYGROUP, INC.",32 CARMINE STREET,MANHATTAN,10014,212-924-2557,6705,06/08/2014,Expired-InRenewal,2 YEARS - 5 YEARS,15,No,Private,40.7301318,-74.0030355
DC1124,DOWNTOWN  LITTLE  SCHOOL,DOWNTOWN LITTLE SCHOOL,15 DUTCH STREET,MANHATTAN,10038,212-791-1300,7167,09/12/2015,Permitted,2 YEARS - 5 YEARS,75,No,Private,40.7097108,-74.0072095
DC14796,DR C.R. JOHNSON CHRISTIAN DAY CARE,"BROOKLYN TABERNACLE DELIVERANCE CENTER, INC.",600 LAFAYETTE AVENUE,BROOKLYN,11216,718-732-1531,5021,01/18/2014,Expired-InRenewal,2 YEARS - 5 YEARS,29,No,Private,40.6896738,-73.9507837
DC14237,DR. KATHARINE DODGE BROWNELL SCHOOL,"LEAKE AND WATTS SERVICES, INC.",450 CASTLE HILL AVENUE,BRONX,10473,718-430-7938,5963,09/19/2015,Permitted,2 YEARS - 5 YEARS,113,No,Private,40.816714,-73.847073
DC21458,DREAMLAND DAY CARE CENTER,DREAMLAND DAY CARE CENTER INC.,1379 WEST 7TH STREET,BROOKLYN,11204,718-232-8155,8228,12/23/2014,Permitted,2 YEARS - 5 YEARS,40,No,Private,40.6115911,-73.9812463
DC14814,DUFFIELD CHILDREN'S CENTER,BROOKLYN BUREAU OF COMMUNITY SERVICE,101 FLEET PLACE,BROOKLYN,11201,718-522-5296,5895,06/14/2014,Permitted,2 YEARS - 5 YEARS,77,No,ACS Contracted Preschools,40.69272300000001,-73.98129999999999
DC1938,DUFFIELD CHILDREN'S CENTER HEAD START PROGRAM,BROOKLYN BUREAU OF COMMUNITY SERVICE,101 FLEET PLACE,BROOKLYN,11201,718-522-5296,6518,06/29/2014,Permitted,2 YEARS - 5 YEARS,36,No,Head Start (Direct Fed. Funding),40.69272300000001,-73.98129999999999
DC23168,DVORA/PRESCHOOL,"DVORA,INC.",2817 WEST 12TH STREET,BROOKLYN,11224,718-265-4596,35757,03/20/2015,Permitted,2 YEARS - 5 YEARS,35,No,Private,40.57913509999999,-73.97960189999999
DC14959,DWIGHT EARLY CHILDHOOD DIVISION,WOODSIDE PRESCHOOL RIVERSIDE BLVD. LLC,140  RIVERSIDE BLVD,MANHATTAN,10069,212-362-2350,7540,12/09/2015,Permitted,2 YEARS - 5 YEARS,75,No,Private,40.7772622,-73.9886985
DC2256,EARLY CHILDHOOD LEARNING CENTER PROGRAMS,LA GUARDIA COMMUNITY COLLEGE -ECLC PROGRAMS INC,31-10 THOMSON AVENUE,QUEENS,11101,718-482-5295,7063,11/17/2014,Permitted,0 YEARS - 2 YEARS,30,No,Private,40.7449913,-73.9377986
DC24612,EARLY LIFE,LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK,110 WEST 146TH STREET,MANHATTAN,10039,646-478-7949,24818,10/12/2014,Permitted,2 YEARS - 5 YEARS,110,Yes,ACS Contracted Preschools,40.8214101,-73.9365025
DC24609,EARLY LIFE,LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK,1175 GATES AVENUE,BROOKLYN,11221,212-870-1100,24538,10/10/2014,Permitted,2 YEARS - 5 YEARS,136,No,ACS Contracted Preschools,40.6917193,-73.920155
DC24614,EARLY LIFE,"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC.",151-157 WEST 136TH STREET,MANHATTAN,10030,212-933-1815,24797,10/12/2014,Permitted,2 YEARS - 5 YEARS,66,No,ACS Contracted Preschools,40.8156153,-73.942285
DC24607,EARLY LIFE,LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK,200 WEST TREMONT AVENUE,BRONX,10453,917-962-4344,26157,10/24/2014,Permitted,2 YEARS - 5 YEARS,175,Yes,ACS Contracted Preschools,40.8518427,-73.9170441
DC22393,EARLY LIFE,"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC.",2125 WATSON AVENUE,BRONX,10472,718-943-0580,28757,12/06/2014,Permitted,2 YEARS - 5 YEARS,115,No,ACS Contracted Preschools,40.82979900000001,-73.852836
DC24615,EARLY LIFE,LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK,218 WEST 147TH STREET,MANHATTAN,10039,646-360-4093,26578,10/26/2014,Permitted,2 YEARS - 5 YEARS,264,No,ACS Contracted Preschools,40.8235134,-73.939509
DC24610,EARLY LIFE,"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC.",265 MARCUS GARVEY BLVD.,BROOKLYN,11221,347-689-8303,24777,10/12/2014,Permitted,2 YEARS - 5 YEARS,116,No,ACS Contracted Preschools,40.68854,-73.93879
DC24613,EARLY LIFE,"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC.",510-516 WEST 145TH STREET,MANHATTAN,10031,646-449-0814,26441,10/25/2014,Permitted,2 YEARS - 5 YEARS,149,No,ACS Contracted Preschools,40.825391,-73.948725
DC24606,EARLY LIFE,"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC.",80 EAST 181ST STREET,BRONX,10453,718-365-6247,26737,10/31/2014,Permitted,2 YEARS - 5 YEARS,240,Yes,ACS Contracted Preschools,40.8550106,-73.9043248
DC24608,EARLY LIFE,LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK,888 WESTCHESTER AVENUE,BRONX,10459,718-450-3556,26118,10/24/2014,Permitted,2 YEARS - 5 YEARS,145,Yes,ACS Contracted Preschools,40.8207922,-73.8994529
DC2975,EARLY SUNRISE PRESCHOOL AND KINDERGARTEN,"EARLY SUNRISE PRE-SCHOOL AND KINDERGARTEN,INC.",187-08 HILLSIDE AVENUE,QUEENS,11432,718-736-9064,6827,10/25/2014,Permitted,2 YEARS - 5 YEARS,29,No,Private,40.7147386,-73.77488439999999
DC1178,"EARLY SUNRISE PRESCHOOL&KINDERGARTEN,INC.","EARLY SUNRISE PRESCHOOL&KINDERGARTEN,INC.",187-10 HILLSIDE AVENUE,QUEENS,11432,718-736-9064,7000,07/07/2014,Permitted,2 YEARS - 5 YEARS,29,No,Private,40.714535,-73.774739
DC18943,EAST BRONX DAY CARE,TREMONT CROTONA DAY CARE CENTER INC.,1113 COLGATE AVENUE,BRONX,10472,718-617-2900,7942,09/12/2014,Permitted,2 YEARS - 5 YEARS,80,No,ACS Contracted Preschools,40.8258507,-73.8814244
DC1493,EAST CALVARY DAY CARE CENTER INC.,EAST CALVARY DAY CARE CENTER INC.,1 WEST 112 STREET,MANHATTAN,10026,212-534-5249,1483,03/27/2015,Permitted,2 YEARS - 5 YEARS,59,No,ACS Contracted Preschools,40.7981626,-73.9483435
DC2419,EAST CHELSEA CHILDRENS WORKSHOP,JACQUELYN MARKS,17 EAST 16 STREET,MANHATTAN,10003,212-691-8964,4869,07/15/2015,Permitted,2 YEARS - 5 YEARS,29,No,Private,40.7369864,-73.99144199999999
DC1242,EAST HARLEM BILINGUAL   HEAD START,"EAST HARLEM COUNCIL FOR HUMAN SERVICES,INC.",440 EAST 116 STREET,MANHATTAN,10029,212-427-9010,4529,10/26/2014,Permitted,2 YEARS - 5 YEARS,160,No,ACS Head Start,40.7952872,-73.9337465
DC1285,EAST HARLEM BLOCK  NURSERY #2,EAST HARLEM BLOCK SCHOOLS,2112 MADISON AVENUE,MANHATTAN,10037,212-234-3333,879,05/04/2014,Expired-InRenewal,2 YEARS - 5 YEARS,79,No,ACS Contracted Preschools,40.8106234,-73.9371012
DC2153,EAST HARLEM BLOCK NURSERY #1,"EAST HARLEM BLOCK NURSERY,INC.",215 EAST 106 STREET,MANHATTAN,10029,212-427-2571,2261,07/02/2015,Permitted,2 YEARS - 5 YEARS,56,No,ACS Contracted Preschools,40.7915377,-73.9439798
DC21651,EAST HARLEM BLOCK NURSERY/GRANT DAY CARE CENTER,"EAST HARLEM BLOCK NURSERY, INC.",1299 AMSTERDAM AVENUE,MANHATTAN,10027,212-666-6000,8281,05/23/2015,Permitted,2 YEARS - 5 YEARS,68,No,ACS Contracted Preschools,40.81199549999999,-73.9572652
DC11067,EAST HARLEM COUNCIL FOR HUMAN SERVICES INC.BILINGUAL HEAD START,EAST HARLEM COUNCIL FOR HUMAN SERVICES INC.,30 EAST 111 STREET,MANHATTAN,10029,212-860-7201,6385,01/24/2015,Permitted,2 YEARS - 5 YEARS,87,No,ACS Head Start,40.7969324,-73.94797319999999
DC1785,EAST MIDWOOD HEBREW DAY SCHOOL,RABBI HARRY HALPERN DAY SCHOOL,1256 EAST 21 STREET,BROOKLYN,11210,718-253-1555,1465,10/28/2014,Permitted,2 YEARS - 5 YEARS,83,No,Private,40.622416,-73.954984
DC2635,EAST RIVER CHILD DEVELOPMENT CENTER,EAST RIVER CHILD DEVELOPMENT CENTER,570 GRAND STREET,MANHATTAN,10002,212-254-7301,6952,02/29/2016,Permitted,2 YEARS - 5 YEARS,37,No,Private,40.71400999999999,-73.9788572
DC1446,EAST RIVER CHILD DEVELOPMENT CENTER,EAST RIVER CHILD DEVELOPMENT CENTER,577 GRAND STREET,MANHATTAN,10002,212-254-7300,4149,07/18/2015,Permitted,2 YEARS - 5 YEARS,77,No,Private,40.71349379999999,-73.9793021
DC181,EAST SIDE HOUSE SETTLEMENT HEAD START/DAY CARE,EAST SIDE HOUSE SETTLEMENT,201 ST. ANN'S AVENUE,BRONX,10454,718-993-4854,4636,07/17/2014,Permitted,2 YEARS - 5 YEARS,27,No,ACS Head Start,40.8060784,-73.91807419999999
DC182,EAST SIDE HOUSE SETTLEMENT HEAD START/DAY CARE,EAST SIDE HOUSE SETTLEMENT,375 EAST 143RD STREET,BRONX,10454,718-292-5335,2094,11/10/2014,Permitted,2 YEARS - 5 YEARS,80,No,ACS Head Start,40.8128241,-73.9213417
DC14111,EAST SIDE SETTLEMENT HOUSE HEAD START/ DAY CARE,EAST SIDE HOUSE SETTLEMENT,414 MORRIS AVENUE,BRONX,10451,718-401-4242,7400,06/28/2015,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,40.814486,-73.92273899999999
DC1643,EAST TREMONT CHILD CARE AND DEVELOPMENT CENTER,EAST TREMONT CHILD CARE AND DEVELOPMENT CENTER,1811 CROTONA AVENUE,BRONX,10457,718-731-4166,1956,08/17/2014,Permitted,2 YEARS - 5 YEARS,60,Yes,ACS Contracted Preschools,40.8428317,-73.8935237
DC979,"EAST TREMONT HEAD START ALUMNI DCC, INC./ PAUL T. MATSON HEAD START SITE I I I",EAST TREMONT HEAD START ALUMNI DCC,2431 MORRIS AVENUE,BRONX,10468,718-563-5139,6209,09/10/2015,Permitted,2 YEARS - 5 YEARS,55,Yes,ACS Contracted Preschools,40.8614521,-73.90022189999999
DC1484,EAST VILLAGE CHILD CARE CENTER,EAST VILLAGE CHILD CARE CENTER,297 EAST 10 STREET,MANHATTAN,10009,212-982-8701,5039,02/06/2016,Permitted,2 YEARS - 5 YEARS,15,No,Private,40.7278789,-73.98178759999999
DC17787,EASTER SEALS CHILD DEVELOPMENT CENTER,"EASTER SEALS NEW YORK, INC.",2433 EAST TREMONT AVENUE,BRONX,10461,718-409-4227,7815,10/15/2015,Permitted,2 YEARS - 5 YEARS,121,No,ACS Contracted Preschools,40.843043,-73.852136
DC15104,ECDO  CHILDSTART CENTER,ECUMENICAL COMMUNITY DEVELOPMENT ORGANIZATION,249 WEST 144TH STREET,MANHATTAN,10030,212-234-8135,7439,09/23/2015,Permitted,2 YEARS - 5 YEARS,69,No,ACS Head Start,40.821911,-73.941216
DC1832,EDEN CHRISTIAN ACADEMY & EARLY CHILDHOOD CENTER,EDEN CHRISTIAN ACADEMY & EARLY CHILDHOOD CENTER,1509 MORRIS AVENUE,BRONX,10457,718-684-2962,7142,03/08/2016,Permitted,2 YEARS - 5 YEARS,27,No,Private,40.8414601,-73.9097865
DC2095,EDUCATIONAL ALLIANCE  HEAD START,THE EDUCATIONAL ALLIANCE,333 EAST 4 STREET,MANHATTAN,10009,212-254-2614,7272,02/26/2015,Permitted,2 YEARS - 5 YEARS,40,No,Head Start (Direct Fed. Funding),40.721868,-73.9787712
DC1642,EDWARDS L. CLEAVELAND DAY CARE CENTER,BROOKLYN KINDERGARTEN SOCIETY,1185 PARK PLACE,BROOKLYN,11213,718-778-6559,1848,02/27/2015,Permitted,2 YEARS - 5 YEARS,74,No,ACS Contracted Preschools,40.672841,-73.93901079999999
DC18141,EFFIE B'S EARLY CHILDHOOD DEVELOPMENT CENTER,EFFIE B'S EARLY CHILDHOOD DEVELOPMENT CENTER CORP.,1173 EASTERN PARKWAY,BROOKLYN,11213,718-735-5500,8096,11/16/2015,Permitted,0 YEARS - 2 YEARS,28,No,Private,40.669163,-73.929446
DC20208,"EFFIE B'S EARLY CHILDHOOD DEVELOPMENT CENTER, PRESCHOOL",EFFIE B'S EARLY CHILDHOOD DEVELOPMENT CENTER CORP.,1173 EASTERN PARKWAY,BROOKLYN,11213,718-735-5500,8095,11/16/2015,Permitted,2 YEARS - 5 YEARS,35,No,Private,40.669163,-73.929446
DC25918,EL SHADDAI INTERNATIONAL,VIOLET APPLEWHITE,1475 HAMMERSLEY AVENUE,BRONX,10469,718-515-5004,52818,10/04/2015,Permitted,2 YEARS - 5 YEARS,95,No,Private,40.87113919999999,-73.844084
DC22613,ELADIA'S  KIDS,ELADIA'S KIDS PARENT LLC,266 FLATBUSH AVENUE,BROOKLYN,11217,718-230-7560,21817,08/31/2014,Permitted,2 YEARS - 5 YEARS,42,No,Private,40.6793203,-73.97402799999999
DC15647,ELADIA'S KIDS,ELADIA'S KIDS PARENT LLC,147 5TH AVENUE,BROOKLYN,11217,718-622-3316,7767,06/11/2015,Permitted,0 YEARS - 2 YEARS,18,No,Private,40.6781186,-73.9792811
DC23039,ELADIA'S KIDS,"ELADIA'S KIDS PARENT, LLC",175 VANDERBILT AVENUE,BROOKLYN,11205,718-230-7560,43797,06/14/2015,Permitted,0 YEARS - 2 YEARS,14,No,Private,40.69267199999999,-73.9697266
DC23041,ELADIA'S KIDS,ELADIA'S KIDS PARENT LLC,175 VANDERBILT AVENUE,BROOKLYN,11205,718-522-6361,43777,06/14/2015,Permitted,2 YEARS - 5 YEARS,35,No,Private,40.69267199999999,-73.9697266
DC20505,ELADIA'S KIDS,ELADIA'S KIDS PARENTS LLC,266 FLATBUSH AVENUE,BROOKLYN,11217,718-230-7560,8186,06/10/2014,Permitted,0 YEARS - 2 YEARS,27,No,Private,40.6793203,-73.97402799999999
DC17543,ELADIA'S KIDS PRESCHOOL,ELADIA'S KIDS PARENT LLC,147 5TH AVENUE,BROOKLYN,11217,718-633-3316,7786,08/07/2015,Permitted,2 YEARS - 5 YEARS,16,No,Private,40.6781186,-73.9792811
DC434,ELF DAY CARE CENTER,ELF SERVICES LLC,550 OCEAN PARKWAY,BROOKLYN,11218,718-871-4301,7285,08/02/2015,Permitted,0 YEARS - 2 YEARS,18,No,Private,40.63451,-73.973058
DC14457,ELF SERVICES DAY CARE CENTER,"ELF SERVICES, LLC",550 OCEAN PARKWAY,BROOKLYN,11218,718-871-4301,7283,08/02/2014,Permitted,2 YEARS - 5 YEARS,78,No,Private,40.63451,-73.973058
DC2750,ELISHAMA CHILDREN'S PREP SCHOOL,ELISHAMA CHILDREN'S PREP SCHOOL,206-18 HOLLIS AVENUE,QUEENS,11429,718-468-8744,6469,08/29/2015,Permitted,2 YEARS - 5 YEARS,72,No,Private,40.7073826,-73.75079819999999
DC14381,ELITE DAY CARE LEARNING CENTER,"KONVA,INC.",4239 RICHMOND AVENUE,STATEN ISLAND,10312,718-608-1833,7581,11/25/2014,Permitted,2 YEARS - 5 YEARS,26,No,Private,40.535961,-74.15649900000001
DC17243,ELITE DAY CARE LEARNING CENTER,"KONVA,INC.",990 HYLAN BLVD,STATEN ISLAND,10305,718-448-5075,7915,09/02/2014,Permitted,2 YEARS - 5 YEARS,61,No,Private,40.59769350000001,-74.075724
DC21975,ELIZABETH SETON PRE-SCHOOL,NEW YORK FOUNDLING,245 EAST 92ND  STREET,MANHATTAN,10128,212-369-9626,15457,04/26/2014,Expired-InRenewal,2 YEARS - 5 YEARS,70,No,Private,40.7819201,-73.94908079999999
DC397,ELLA BAKER / CHARLES ROMAIN CHILD DEVELOPMENT CENTER,"ELLA BAKER/CHARLES ROMAIN CHILD DEVELOPMENT CENTER, INC.",1150 CARROLL STREET,BROOKLYN,11225,718-270-6017,5121,11/10/2013,Expired-InRenewal,2 YEARS - 5 YEARS,29,No,Private,40.6672456,-73.9522102
DC19699,EMILIA'S KIDS,EMILIA'S KIDS INC,84-03 57TH AVENUE,QUEENS,11373,718-899-9060,8232,11/18/2014,Permitted,2 YEARS - 5 YEARS,35,No,Private,40.7304189,-73.87932870000002
DC947,EMMANUEL DAY CARE CENTER KINDERGARTEN,EMMANUEL BAPTIST CHURCH,279 LAFAYETTE AVENUE,BROOKLYN,11238,718-622-1233,1760,09/28/2015,Permitted,2 YEARS - 5 YEARS,30,No,Private,40.6884856,-73.9652065
DC14234,EPIPHANY COMMUNITY NURSERY SCHOOL,EPIPHANY COMMUNITY NURSERY SCHOOL,510 EAST 74TH STREET,MANHATTAN,10021,212-737-2977,6488,04/07/2014,Expired-InRenewal,2 YEARS - 5 YEARS,123,No,Private,40.767641,-73.952144
DC22345,EPISCOPAL SOCAL SERVICES EARLY HEADSTART,EPISCOPAL SOCIAL SERVICES,500 BERGEN AVENUE,BRONX,10455,718-401-5192,23717,10/01/2014,Permitted,2 YEARS - 5 YEARS,65,No,ACS Contracted Preschools,40.8148383,-73.9181692
DC16726,EPISCOPAL SOCIAL SERVICE THERAPEUTIC NURSERY SCHOOL,"EPISCOPAL SOCIAL SERVICE OF NEW YORK, INC.",2289 5TH AVENUE,MANHATTAN,10037,212-283-3100,7839,11/08/2015,Permitted,2 YEARS - 5 YEARS,64,No,ACS Contracted Preschools,40.81497359999999,-73.9356328
DC15234,EPISCOPAL SOCIAL SERVICES EARLY HEAD START,EPISCOPAL SOCIAL SERVICES,500 BERGEN AVENUE,BRONX,10455,718-401-5192,7637,09/08/2014,Permitted,0 YEARS - 2 YEARS,36,No,Head Start (Direct Fed. Funding),40.8148383,-73.9181692
DC24687,EPISCOPAL SOCIAL SERVICES/LENOX AVENUE,"EPISCOPAL SOCIAL SERVICES, INC.",669 LENOX AVENUE,MANHATTAN,10037,212-491-8501,24557,10/11/2014,Permitted,2 YEARS - 5 YEARS,136,No,ACS Contracted Preschools,40.8195574,-73.9371555
DC25953,ESCALERA HEAD START,THE CHILD CENTER OF NEW YORK,169 WEST 87TH STREET,MANHATTAN,10024,212-799-2440,52257,09/19/2015,Permitted,2 YEARS - 5 YEARS,52,No,ACS Head Start,40.788186,-73.973511
DC20894,ESCUELA HISPANA  MONTESSORI,ESCUELA HISPANA MONTESSORI,180 SUFFOLK STREET,MANHATTAN,10002,212-982-6650,8173,05/25/2014,Expired-InRenewal,2 YEARS - 5 YEARS,201,No,ACS Head Start,40.7212064,-73.9846913
DC2294,ESCUELA HISPANA MONTESSORI HEAD START,ESCUELA HISPANA MONTESSORI,185 AVENUE D,MANHATTAN,10009,212-982-6651,6968,07/14/2014,Permitted,2 YEARS - 5 YEARS,89,No,ACS Head Start,40.72643679999999,-73.9740494
DC24696,ESS WILLIAMSBURG EARLY CHILDHOOD DEVELOPMENT CENTER,"EPISCOPAL SOCIAL SERVICES OF NEW YORK, INC.",110 TAYLOR STREET,BROOKLYN,11249,347-943-7682,26218,10/24/2014,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,40.7052771,-73.9638502
DC14228,ESTHER  ASHKENAS CENTRAL PARK EARLY LEARNING CENTER,"NYSARC, INC. NEW YORK CITY CHAPTER",15 WEST 65TH STREET,MANHATTAN,10023,212-787-5400,5892,04/02/2014,Expired-InRenewal,2 YEARS - 5 YEARS,162,No,Private,40.772534,-73.98038199999999
DC10516,EUREKA NURSERY & DAY CARE,EUREKA NURSERY & DAY CARE,2502 CLARENDON ROAD,BROOKLYN,11226,718-284-2155,7347,05/10/2016,Permitted,2 YEARS - 5 YEARS,25,No,Private,40.642708,-73.953344
DC14603,EXCEL  PRESCHOOL INFANT/TODDLER PROGRAM,DR. SYNG Y. KWAK,2144 RICHMOND AVENUE,STATEN ISLAND,10314,718-370-3784,7152,11/01/2015,Permitted,0 YEARS - 2 YEARS,6,No,Private,40.594954,-74.162384
DC2935,EXCEL PRESCHOOL,SYNG YONG KWAK,2144 RICHMOND AVENUE,STATEN ISLAND,10314,718-370-3784,6859,12/21/2014,Permitted,2 YEARS - 5 YEARS,30,No,Private,40.594954,-74.162384
DC84,F.V.M. BETHEL DAY CARE (I/T),"FERNANDE VALME MINISTRIES, INC. (I/T)",1120 FLATBUSH AVENUE,BROOKLYN,11226,718-824-1809,7220,09/21/2015,Permitted,0 YEARS - 2 YEARS,9,No,Private,40.643124,-73.9578339
DC14724,F.V.M. BETHEL DAY CARE (P.S.),"FERNANDE VALME MINISTRIES, INC.",1120 FLATBUSH AVENUE,BROOKLYN,11226,718-284-1809,7221,10/03/2015,Permitted,2 YEARS - 5 YEARS,19,No,Private,40.643124,-73.9578339
DC10606,"FACES OF THE FUTURE DAY CARE CENTER, LLC","FACES OF THE FUTURE DAY CARE CENTER, LLC",5302 CLARENDON RD,BROOKLYN,11203,718-451-9474,7226,04/05/2016,Permitted,2 YEARS - 5 YEARS,26,No,Private,40.6446104,-73.92643749999999
DC26207,"FACES OF THE FUTURE EARLY LEARNING CENTER, LLC.","FACES OF THE FUTURE EARLY LEARNING CENTER, LLC",1080 UTICA AVENUE,BROOKLYN,11203,646-409-8030,59057,03/18/2016,Permitted,2 YEARS - 5 YEARS,30,No,Private,40.646516,-73.9301739
DC1814,FAITH CHRISTIAN ACADEMY,1137 E. 223RD STREET CORPORATION,1137 EAST 223 STREET,BRONX,10466,718-881-1085,6514,09/29/2015,Permitted,2 YEARS - 5 YEARS,18,No,Private,40.8825594,-73.84891689999999
DC14424,FALU  FOUNDATION,"DR. FALU FOUNDATION, INC.",333 EAST 118 STREET,MANHATTAN,10035,212-828-6699,7520,01/03/2016,Permitted,2 YEARS - 5 YEARS,11,No,Private,40.797909,-73.93529
DC2639,FAMILY  SCHOOL  WEST,THE MONTESSORI FAMILY SCHOOL OF MANHATTAN,308 WEST 46 STREET,MANHATTAN,10036,212-582-1240,5645,01/20/2015,Permitted,2 YEARS - 5 YEARS,28,No,Private,40.7598012,-73.9887256
DC21658,FAMILY CENTER AT BROOKLYN FRIENDS,BROOKLYN FRIENDS SCHOOL,189 SCHERMERHORN STREET,BROOKLYN,11201,718-852-1029,8399,09/29/2015,Permitted,2 YEARS - 5 YEARS,36,No,Private,40.6894567,-73.9866198
